character_skill_level_to_effects_junctions_tables
1
character_skill_key	effect_key	effect_scope	level	value
wh2_main_skill_innate_def_malekith	wh2_main_effect_loyalty_penalty_faction_leader_outranked	character_to_character_own	1	3
wh2_main_skill_innate_def_malekith	wh2_main_effect_percentage_of_xp_to_give_other_characters_of_same_type_hidden	character_to_character_own	1	10
wh2_main_skill_innate_def_malekith	wh2_main_effect_upkeep_reduction_malekith_witch_king	general_to_force_own	1	-25
wh2_main_skill_innate_def_morathi	wh2_main_effect_character_mod_loyalty_regional	character_to_character_regionwide_local_region	1	2
wh2_main_skill_innate_def_morathi	wh_main_effect_building_construction_cost_mod_sorcery_def	faction_to_region_own_unseen	1	-25
wh2_main_skill_innate_hef_teclis_preeminent_mage	wh_main_effect_ability_enable_fireball	character_to_character_own	1	1
wh2_main_skill_innate_hef_teclis_preeminent_mage	wh_main_effect_military_force_winds_of_magic_depletion_mod_character	character_to_force_own_unseen	1	30
wh2_main_skill_innate_hef_tyrion_great_warrior	wh2_main_effect_upkeep_reduction_hef_spearmen_archers_silverhelms	general_to_force_own	1	-25
wh2_main_skill_innate_lzd_kroq_gar	wh2_main_effect_upkeep_reduction_lzd_saurus_coldones	general_to_force_own	1	-25
wh2_main_skill_innate_lzd_kroq_gar	wh_main_effect_force_army_campaign_ambush_attack_success_chance	general_to_force_own	1	25
wh2_main_skill_innate_lzd_kroq_gar	wh_main_effect_force_unit_stat_morale	general_to_force_own	1	5
wh2_main_skill_innate_lzd_mazdamundi_venerated	wh2_main_effect_upkeep_reduction_lzd_temple_guard	general_to_force_own	1	-25
wh2_main_skill_innate_skv_queek_gnawdwells_right_claw	wh2_main_effect_ability_army_enable_the_menace_below	character_to_force_own_unseen	1	1
wh2_main_skill_innate_skv_queek_gnawdwells_right_claw	wh2_main_effect_ability_army_num_uses_the_menace_below	character_to_force_own_unseen	1	2
wh2_main_skill_innate_skv_queek_gnawdwells_right_claw	wh2_main_effect_faction_trait_upkeep_reduction_skv_stormvermin_clanrats	general_to_force_own	1	-25
wh2_main_skill_innate_skv_queek_gnawdwells_right_claw	wh2_main_effect_percentage_of_xp_to_steal_from_characters_of_same_type_hidden	character_to_character_own	1	10
wh2_main_skill_innate_skv_skrolk_plaguelord	wh2_main_effect_upkeep_reduction_skv_plague_units	general_to_force_own	1	-25
wh2_main_skill_innate_skv_skrolk_plaguelord	wh_main_effect_religion_conversion_skaven	character_to_character_own_provincetext	1	4
wh_dlc03_skill_innate_bst_khazrak_the_one_eye	wh_dlc03_effect_tech_recruitment_cost_reduction_bestigors	general_to_force_own	1	-50
wh_dlc03_skill_innate_bst_khazrak_the_one_eye	wh_main_effect_character_campaign_spotting_chance	general_to_force_own	1	15
wh_dlc03_skill_innate_bst_malagor	wh_dlc03_effect_agent_recruitment_xp_wizard_beastmen	general_to_force_own	1	4
wh_dlc03_skill_innate_bst_malagor	wh_main_effect_military_force_winds_of_magic_starting_mod_enemy	character_to_enemy_province	1	-15
wh_dlc04_skill_innate_emp_volkmar_the_grim	wh_main_effect_agent_recruitment_xp_dignitary_empire	character_to_province_own	1	3
wh_dlc04_skill_innate_vmp_helman_ghorst	wh_dlc03_effect_technology_research_points	character_to_faction	1	15
wh_dlc04_skill_innate_vmp_vlad_von_carstein	wh_dlc04_effect_unit_enable_can_siege_dummy	character_to_character_own	1	1
wh_dlc05_skill_innate_wef_durthu	wh_dlc05_durthu_trait_effect_attrition_immunity	general_to_force_own	1	1
wh_dlc05_skill_innate_wef_orion	wh_dlc05_effect_battle_speed_elf_units	general_to_force_own	1	8
wh_dlc06_skill_innate_dwf_belegar	wh_dlc04_effect_unit_enable_can_siege_dummy	character_to_character_own	1	1
wh_dlc06_skill_innate_dwf_belegar	wh_dlc06_effect_belegar_trait_enable_attribute_guerrilla_deployment_for_all_dummy	character_to_force_own_factionwide	1	1
wh_dlc06_skill_innate_dwf_belegar	wh_main_effect_force_army_campaign_tunnelling_evasion_chance	character_to_character_own	1	30
wh_dlc06_skill_innate_grn_skarsnik	wh_main_effect_conquest_enable_night_battles	character_to_character_own	1	1
wh_dlc06_skill_innate_grn_wurrzag	wh_dlc06_effect_character_stat_mod_ward_save_physical_savage	general_to_force_own	1	15
wh_dlc06_skill_innate_grn_wurrzag	wh_dlc06_effect_upkeep_savage_orcs	general_to_force_own	1	-25
wh_dlc07_skill_brt_innate_fay_enchantress	wh_dlc07_effect_chivalry_dummy	character_to_faction_unseen	1	10
wh_dlc07_skill_brt_innate_fay_enchantress	wh_main_effect_ability_enable_blessing_of_the_lady	character_to_character_own	1	1
wh_dlc07_skill_brt_innate_fay_enchantress	wh_main_effect_unit_enable_attribute_fear	character_to_character_own	1	1
wh_main_skill_innate_brt_louen_leoncouer	wh_dlc07_effect_chivalry_dummy	character_to_faction_unseen	1	10
wh_main_skill_innate_brt_louen_leoncouer	wh_main_effect_ability_enable_blessing_of_the_lady	character_to_character_own	1	1
wh_main_skill_innate_dwf_thorgrim_grudgebearer	wh_main_effect_character_stat_mod_personal_aura_morale_effect	character_to_character_own	1	5
wh_main_skill_innate_dwf_ungrim_ironfist	wh_main_effect_tech_melee_attack_increase_slayers	general_to_force_own	1	6
wh_main_skill_innate_emp_balthasar_gelt	wh_main_effect_agent_recruitment_xp_wizard_empire	character_to_province_own	1	2
wh_main_skill_innate_emp_balthasar_gelt	wh_main_effect_technology_research_points_mod	character_to_faction	1	20
wh_main_skill_innate_grn_azhag_the_slaughterer	wh_main_effect_character_stat_mod_personal_aura_morale_effect	character_to_character_own	1	3
wh_main_skill_innate_grn_azhag_the_slaughterer	wh_main_effect_force_army_battle_enemy_unit_morale	general_to_force_enemy_regionwide	1	-3
wh_main_skill_innate_vmp_heinrich_kemmler	wh_main_effect_agent_recruitment_xp_wizard_vampire_counts	character_to_province_own	1	3
wh_main_skill_innate_vmp_heinrich_kemmler	wh_main_effect_tech_melee_damage_increase_skeleton_warriors_spears	general_to_force_own	1	25
wh_pro01_skill_innate_dwf_grombrindal	wh_main_effect_force_all_campaign_reinforcement_range	character_to_character_own_armytext	1	40
wh_pro02_skill_innate_vmp_isabella	wh_pro02_effect_vampire_heroes_isabella_trait_attack	general_to_force_own	1	10
wh_pro02_skill_innate_vmp_isabella	wh_pro02_effect_vampire_heroes_isabella_trait_defence	general_to_force_own	1	10
wh_dlc03_skill_innate_bst_morghur_shadowgave	wh_dlc03_effect_force_army_campaign_attrition_chaos_territory	character_to_force_enemy_provincewide	1	10
wh_dlc03_skill_innate_bst_morghur_shadowgave	wh_dlc05_morghur_trait_immortalitiy	character_to_character_own	1	-100
wh_dlc03_skill_innate_bst_morghur_shadowgave	wh_main_effect_force_army_campaign_experience_base_chaos_spawn	general_to_force_own	1	2
wh_main_skill_innate_chs_archaon_the_everchosen	wh_main_effect_force_all_campaign_razing_income	character_to_character_own	1	20
wh_main_skill_innate_chs_kholek_suneater	wh_main_effect_tech_recruitment_cost_reduction_dragon_ogres	general_to_force_own	1	-50
wh_main_skill_innate_chs_kholek_suneater	wh_main_effect_tech_melee_attack_increase_dragon_ogre_saggoths	general_to_force_own	1	7
wh_main_skill_innate_chs_prince_sigvald_the_magnificent	wh_main_effect_hordebuilding_growth_characters	general_to_force_own	1	4
wh_main_skill_innate_chs_prince_sigvald_the_magnificent	wh_main_effect_tech_movement_speed_infantry	general_to_force_own	1	10
wh_main_skill_innate_chs_archaon_the_everchosen	wh_main_effect_building_upkeep_reduction_chaos_warriors	general_to_force_own	1	-25
wh_main_skill_innate_vmp_mannfred_von_carstein	wh_main_effect_force_unit_stat_morale_versus_men	general_to_force_own	1	5
wh_main_skill_innate_vmp_mannfred_von_carstein	wh_main_effect_unit_recruitment_points	force_to_province_own	1	1
wh_main_skill_innate_vmp_mannfred_von_carstein	wh_main_effect_religion_conversion_undeath	character_to_character_own_provincetext	1	5
wh_dlc04_skill_innate_vmp_helman_ghorst	wh_main_effect_tech_upkeep_cost_reduction_zombies	general_to_force_own	1	-75
wh_dlc04_skill_innate_vmp_vlad_von_carstein	wh_main_effect_tech_upkeep_cost_reduction_varghulfs_vargheists	general_to_force_own	1	-25
wh_main_skill_innate_emp_balthasar_gelt	wh_main_effect_agent_action_success_chance_wizard_empire	faction_to_character_own_factionwide	1	5
wh_main_skill_innate_emp_karl_franz	wh_main_effect_force_unit_stat_morale	general_to_force_own	1	3
wh_main_skill_innate_emp_karl_franz	wh_main_effect_public_order_characters	character_to_province_own	1	3
wh_main_skill_innate_emp_karl_franz	wh_dlc08_effect_melee_attack_reiksguard	general_to_force_own	1	6
wh_dlc04_skill_innate_emp_volkmar_the_grim	wh_main_effect_religion_conversion_untainted	character_to_character_own_provincetext	1	5
wh_main_skill_innate_dwf_thorgrim_grudgebearer	wh_main_effect_tech_upkeep_cost_reduction_longbeards_hammerers	general_to_force_own	1	-25
wh_main_skill_innate_dwf_ungrim_ironfist	wh_main_effect_character_stat_mod_bonus_v_large	character_to_character_own	1	16
wh_main_skill_innate_dwf_ungrim_ironfist	wh_main_effect_religion_conversion_untainted	character_to_province_own	1	2
wh_dlc06_skill_innate_dwf_belegar	wh_dlc06_effect_unit_xp_levels_rangers	general_to_force_own	1	1
wh_main_skill_innate_grn_azhag_the_slaughterer	wh_main_effect_tech_melee_damage_increase_orcs	general_to_force_own	1	10
