character_skill_level_to_effects_junctions_tables
1
character_skill_key	effect_key	effect_scope	level	value
wh_main_skill_brt_lord_campaign_bonded_service	wh_main_effect_force_all_campaign_recruitment_cost_all	general_to_force_own	1	-7
wh_main_skill_brt_lord_campaign_bonded_service	wh_main_effect_force_all_campaign_recruitment_cost_all	general_to_force_own	2	-15
wh_main_skill_brt_lord_campaign_bonded_service	wh_main_effect_force_all_campaign_recruitment_cost_all	general_to_force_own	3	-30
wh_main_skill_chs_lord_campaign_serve_or_die	wh_main_effect_force_all_campaign_recruitment_cost_all	general_to_force_own	1	-7
wh_main_skill_chs_lord_campaign_serve_or_die	wh_main_effect_force_all_campaign_recruitment_cost_all	general_to_force_own	2	-15
wh_main_skill_chs_lord_campaign_serve_or_die	wh_main_effect_force_all_campaign_recruitment_cost_all	general_to_force_own	3	-30
wh_main_skill_emp_lord_campaign_leader_of_renown	wh_main_effect_force_all_campaign_recruitment_cost_all	general_to_force_own	1	-7
wh_main_skill_emp_lord_campaign_leader_of_renown	wh_main_effect_force_all_campaign_recruitment_cost_all	general_to_force_own	2	-15
wh_main_skill_emp_lord_campaign_leader_of_renown	wh_main_effect_force_all_campaign_recruitment_cost_all	general_to_force_own	3	-30
wh_main_skill_chs_lord_unique_archaon_lord_of_the_end_times	wh_main_effect_agent_action_success_chance_enemy_skill	character_to_character_own	1	-1
wh_main_skill_chs_lord_unique_archaon_lord_of_the_end_times	wh_main_effect_agent_action_success_chance_skill	character_to_character_own	1	1
wh_main_skill_chs_lord_unique_archaon_lord_of_the_end_times	wh_main_effect_character_stat_mod_personal_aura_size	character_to_character_own	1	25
wh_main_skill_chs_lord_unique_archaon_the_swords_of_chaos	wh_main_effect_agent_action_success_chance_enemy_skill	character_to_character_own	1	-1
wh_main_skill_chs_lord_unique_archaon_the_swords_of_chaos	wh_main_effect_agent_action_success_chance_skill	character_to_character_own	1	1
wh_main_skill_chs_lord_unique_archaon_the_swords_of_chaos	wh_main_effect_force_army_battle_chaos_knights_charge_bonus	general_to_force_own	1	3
wh_main_skill_chs_lord_unique_archaon_the_swords_of_chaos	wh_main_effect_agent_action_success_chance_enemy_skill	character_to_character_own	2	-2
wh_main_skill_chs_lord_unique_archaon_the_swords_of_chaos	wh_main_effect_agent_action_success_chance_skill	character_to_character_own	2	2
wh_main_skill_chs_lord_unique_archaon_the_swords_of_chaos	wh_main_effect_force_army_battle_chaos_knights_charge_bonus	general_to_force_own	2	7
wh_main_skill_chs_lord_unique_archaon_the_swords_of_chaos	wh_main_effect_agent_action_success_chance_enemy_skill	character_to_character_own	3	-3
wh_main_skill_chs_lord_unique_archaon_the_swords_of_chaos	wh_main_effect_agent_action_success_chance_skill	character_to_character_own	3	3
wh_main_skill_chs_lord_unique_archaon_the_swords_of_chaos	wh_main_effect_force_army_battle_chaos_knights_charge_bonus	general_to_force_own	3	12
wh_main_skill_chs_lord_unique_kholek_storm_rage	wh_main_effect_agent_action_success_chance_enemy_skill	character_to_character_own	1	-1
wh_main_skill_chs_lord_unique_kholek_storm_rage	wh_main_effect_agent_action_success_chance_skill	character_to_character_own	1	1
wh_main_skill_chs_lord_unique_kholek_storm_rage	wh_main_effect_character_stat_mod_ward_save	character_to_character_own	1	15
wh_main_skill_chs_lord_unique_sigvald_favoured_son	wh_main_effect_agent_action_success_chance_enemy_skill	character_to_character_own	1	-1
wh_main_skill_chs_lord_unique_sigvald_favoured_son	wh_main_effect_agent_action_success_chance_skill	character_to_character_own	1	1
wh_main_skill_chs_lord_unique_sigvald_favoured_son	wh_main_effect_character_stat_mod_melee_attack	character_to_character_own	1	3
wh_main_skill_chs_lord_unique_sigvald_favoured_son	wh_main_effect_agent_action_success_chance_enemy_skill	character_to_character_own	2	-2
wh_main_skill_chs_lord_unique_sigvald_favoured_son	wh_main_effect_agent_action_success_chance_skill	character_to_character_own	2	2
wh_main_skill_chs_lord_unique_sigvald_favoured_son	wh_main_effect_character_stat_mod_melee_attack	character_to_character_own	2	7
wh_main_skill_chs_lord_unique_sigvald_favoured_son	wh_main_effect_agent_action_success_chance_enemy_skill	character_to_character_own	3	-3
wh_main_skill_chs_lord_unique_sigvald_favoured_son	wh_main_effect_agent_action_success_chance_skill	character_to_character_own	3	3
wh_main_skill_chs_lord_unique_sigvald_favoured_son	wh_main_effect_character_stat_mod_melee_attack	character_to_character_own	3	12
wh_main_skill_chs_lord_unique_sigvald_marked_by_slaanesh	wh_main_effect_agent_action_success_chance_enemy_skill	character_to_character_own	1	-1
wh_main_skill_chs_lord_unique_sigvald_marked_by_slaanesh	wh_main_effect_agent_action_success_chance_skill	character_to_character_own	1	1
wh_main_skill_chs_lord_unique_sigvald_marked_by_slaanesh	wh_main_effect_character_stat_mod_morale	character_to_character_own	1	3
wh_main_skill_chs_lord_unique_sigvald_marked_by_slaanesh	wh_main_effect_agent_action_success_chance_enemy_skill	character_to_character_own	2	-2
wh_main_skill_chs_lord_unique_sigvald_marked_by_slaanesh	wh_main_effect_agent_action_success_chance_skill	character_to_character_own	2	2
wh_main_skill_chs_lord_unique_sigvald_marked_by_slaanesh	wh_main_effect_character_stat_mod_morale	character_to_character_own	2	6
wh_main_skill_chs_lord_unique_sigvald_marked_by_slaanesh	wh_main_effect_agent_action_success_chance_enemy_skill	character_to_character_own	3	-3
wh_main_skill_chs_lord_unique_sigvald_marked_by_slaanesh	wh_main_effect_agent_action_success_chance_skill	character_to_character_own	3	3
wh_main_skill_chs_lord_unique_sigvald_marked_by_slaanesh	wh_main_effect_character_stat_mod_morale	character_to_character_own	3	9
wh_main_skill_dwf_lord_unique_ungrim_daemon_slayer	wh_main_effect_agent_action_success_chance_enemy_skill	character_to_character_own	1	-1
wh_main_skill_dwf_lord_unique_ungrim_daemon_slayer	wh_main_effect_agent_action_success_chance_skill	character_to_character_own	1	1
wh_main_skill_dwf_lord_unique_ungrim_daemon_slayer	wh_main_effect_force_unit_stat_melee_attack_versus_chaos	character_to_character_own	1	2
wh_main_skill_dwf_lord_unique_ungrim_daemon_slayer	wh_main_effect_agent_action_success_chance_enemy_skill	character_to_character_own	2	-2
wh_main_skill_dwf_lord_unique_ungrim_daemon_slayer	wh_main_effect_agent_action_success_chance_skill	character_to_character_own	2	2
wh_main_skill_dwf_lord_unique_ungrim_daemon_slayer	wh_main_effect_force_unit_stat_melee_attack_versus_chaos	character_to_character_own	2	4
wh_main_skill_dwf_lord_unique_ungrim_daemon_slayer	wh_main_effect_agent_action_success_chance_enemy_skill	character_to_character_own	3	-3
wh_main_skill_dwf_lord_unique_ungrim_daemon_slayer	wh_main_effect_agent_action_success_chance_skill	character_to_character_own	3	3
wh_main_skill_dwf_lord_unique_ungrim_daemon_slayer	wh_main_effect_force_unit_stat_melee_attack_versus_chaos	character_to_character_own	3	8
wh_main_skill_dwf_lord_unique_ungrim_dragon_slayer	wh_main_effect_agent_action_success_chance_enemy_skill	character_to_character_own	1	-1
wh_main_skill_dwf_lord_unique_ungrim_dragon_slayer	wh_main_effect_agent_action_success_chance_skill	character_to_character_own	1	1
wh_main_skill_dwf_lord_unique_ungrim_dragon_slayer	wh_main_effect_character_stat_mod_bonus_v_large	character_to_character_own	1	6
wh_main_skill_dwf_lord_unique_ungrim_dragon_slayer	wh_main_effect_agent_action_success_chance_enemy_skill	character_to_character_own	2	-2
wh_main_skill_dwf_lord_unique_ungrim_dragon_slayer	wh_main_effect_agent_action_success_chance_skill	character_to_character_own	2	2
wh_main_skill_dwf_lord_unique_ungrim_dragon_slayer	wh_main_effect_character_stat_mod_bonus_v_large	character_to_character_own	2	12
wh_main_skill_dwf_lord_unique_ungrim_dragon_slayer	wh_main_effect_agent_action_success_chance_enemy_skill	character_to_character_own	3	-3
wh_main_skill_dwf_lord_unique_ungrim_dragon_slayer	wh_main_effect_agent_action_success_chance_skill	character_to_character_own	3	3
wh_main_skill_dwf_lord_unique_ungrim_dragon_slayer	wh_main_effect_character_stat_mod_bonus_v_large	character_to_character_own	3	24
wh_main_skill_dwf_lord_unique_ungrim_slayer	wh_main_effect_agent_action_success_chance_enemy_skill	character_to_character_own	1	-1
wh_main_skill_dwf_lord_unique_ungrim_slayer	wh_main_effect_agent_action_success_chance_skill	character_to_character_own	1	1
wh_main_skill_dwf_lord_unique_ungrim_slayer	wh_main_effect_character_stat_mod_melee_attack	character_to_character_own	1	2
wh_main_skill_dwf_lord_unique_ungrim_slayer	wh_main_effect_agent_action_success_chance_enemy_skill	character_to_character_own	2	-2
wh_main_skill_dwf_lord_unique_ungrim_slayer	wh_main_effect_agent_action_success_chance_skill	character_to_character_own	2	2
wh_main_skill_dwf_lord_unique_ungrim_slayer	wh_main_effect_character_stat_mod_melee_attack	character_to_character_own	2	4
wh_main_skill_dwf_lord_unique_ungrim_slayer	wh_main_effect_agent_action_success_chance_enemy_skill	character_to_character_own	3	-3
wh_main_skill_dwf_lord_unique_ungrim_slayer	wh_main_effect_agent_action_success_chance_skill	character_to_character_own	3	3
wh_main_skill_dwf_lord_unique_ungrim_slayer	wh_main_effect_character_stat_mod_melee_attack	character_to_character_own	3	8
wh_main_skill_dwf_lord_unique_ungrim_slayer_king	wh_main_effect_agent_action_success_chance_enemy_skill	character_to_character_own	1	-1
wh_main_skill_dwf_lord_unique_ungrim_slayer_king	wh_main_effect_agent_action_success_chance_skill	character_to_character_own	1	1
wh_main_skill_dwf_lord_unique_ungrim_slayer_king	wh_main_effect_force_army_battle_slayer_melee_attack	general_to_force_own	1	3
wh_main_skill_dwf_lord_unique_ungrim_slayer_king	wh_main_effect_agent_action_success_chance_enemy_skill	character_to_character_own	2	-2
wh_main_skill_dwf_lord_unique_ungrim_slayer_king	wh_main_effect_agent_action_success_chance_skill	character_to_character_own	2	2
wh_main_skill_dwf_lord_unique_ungrim_slayer_king	wh_main_effect_force_army_battle_slayer_melee_attack	general_to_force_own	2	7
wh_main_skill_dwf_lord_unique_ungrim_slayer_king	wh_main_effect_agent_action_success_chance_enemy_skill	character_to_character_own	3	-3
wh_main_skill_dwf_lord_unique_ungrim_slayer_king	wh_main_effect_agent_action_success_chance_skill	character_to_character_own	3	3
wh_main_skill_dwf_lord_unique_ungrim_slayer_king	wh_main_effect_force_army_battle_slayer_melee_attack	general_to_force_own	3	10
wh_main_skill_emp_lord_unique_balthasar_loremaster_lore_of_metal	wh_main_effect_character_stat_mod_ap_damage	character_to_character_own	1	25
wh_main_skill_emp_lord_unique_karl_franz_leader_of_men	wh_main_effect_agent_action_success_chance_enemy_skill	character_to_character_own	1	-1
wh_main_skill_emp_lord_unique_karl_franz_leader_of_men	wh_main_effect_agent_action_success_chance_skill	character_to_character_own	1	1
wh_main_skill_emp_lord_unique_karl_franz_leader_of_men	wh_main_effect_character_stat_mod_personal_aura_size	character_to_character_own	1	25
wh_main_skill_vmp_lord_unique_loremaster_lore_of_vampires	wh_main_effect_religion_conversion_undeath	character_to_character_own_provincetext	1	4
wh_main_skill_vmp_lord_unique_mannfred_loremaster_lore_of_death	wh_main_effect_force_army_battle_enemy_unit_morale	general_to_force_enemy_regionwide	1	-3
wh_dlc03_skill_bst_lord_bestial_cunning	wh_main_effect_agent_action_success_chance_enemy_skill	character_to_character_own	1	-1
wh_dlc03_skill_bst_lord_bestial_cunning	wh_main_effect_agent_action_success_chance_skill	character_to_character_own	1	1
