effect_bundles_tables
1
key	localised_description	localised_title	ui_icon	bundle_target
wh_twh_empire_rule_choice_iron_fist	placeholder	With an Iron Fist	public_order.png	faction
wh_twh_empire_rule_choice_leader	placeholder	Leader of Men	diplomacy.png	faction
wh_twh_empire_please_marienburg	placeholder	placeholder	diplomacy.png	faction
wh_twh_empire_please_nordland	placeholder	placeholder	diplomacy.png	faction
wh_twh_payload_beer_for_the_fish_positive	placeholder	placeholder	treasury.png	faction
wh_twh_payload_beer_for_the_fish_negative	placeholder	placeholder	diplomacy.png	faction
wh_twh_payload_mordheim_warpstone	placeholder	placeholder	treasury.png	region
wh_twh_emp_integrity_good	placeholder	placeholder	empire_state_good.png	faction
wh_twh_emp_integrity_bad_1	placeholder	placeholder	empire_state_half_good.png	faction
wh_twh_emp_integrity_bad_2	placeholder	placeholder	empire_state_bad.png	faction
wh_twh_emp_integrity_bad_4	placeholder	placeholder	empire_state_half_very_bad.png	faction
wh_twh_emp_integrity_bad_6	placeholder	placeholder	empire_state_very_bad.png	faction
wh_twh_payload_for_sigmar	placeholder	placeholder	religion.png	faction
wh_twh_empire_rule_choice_building_up	placeholder	Building Up	treasury.png	faction
wh_twh_empire_rule_choice_religion	placeholder	For Sigmar	religion.png	faction
wh_twh_empire_taxes_low	placeholder	placeholder	treasury.png	faction
wh_twh_empire_taxes_high	placeholder	placeholder	treasury.png	faction
wh_twh_empire_taxes_very_high	placeholder	placeholder	treasury.png	faction
wh_twh_payload_refugees	placeholder	placeholder	growth.png	region
wh_twh_emp_integrity_bad_5	placeholder	placeholder	empire_state_very_bad.png	faction
wh_twh_emp_integrity_bad_3	placeholder	placeholder	empire_state_half_very_bad.png	faction
wh_twh_payload_kislev_friendship	placeholder	placeholder	diplomacy.png	faction
wh_twh_emp_payload_pax_imperia_AI	placeholder	placeholder	diplomacy.png	faction
wh_twh_emp_payload_manoeuvres_positive	placeholder	placeholder	melee.png	faction
wh_twh_emp_payload_skaven_exist	placeholder	placeholder	morale.png	faction
wh_twh_emp_payload_skaven_dont_exist	placeholder	placeholder	morale.png	faction
