effect_bundles_tables
1
key	localised_description	localised_title	ui_icon	bundle_target
def_public_order_1_outraged	The people of this province are outraged and there is great risk of a local uprising!	Outraged Populace	public_order_unhappy.png	province
def_public_order_2_unhappy	The people of this province are unhappy with current affairs.	Unhappy Populace	public_order_unhappy.png	province
def_public_order_3_troubled	The people of this province are troubled by current affairs.	Troubled Populace	public_order_unhappy.png	province
def_public_order_4_indifferent	The people of this province are indifferent to current affairs.	Indifferent Populace	public_order.png	province
def_public_order_5_content	The people of this province are encouraged by current affairs.	Encouraged Populace	public_order_happy.png	province
def_public_order_6_happy	The people of this province are motivated by current affairs.	Motivated Populace	public_order_happy.png	province
def_public_order_7_jubilant	The people of this province are inspired by current affairs.	Inspired Populace	public_order_happy.png	province
lzd_public_order_1_outraged	The people of this province are outraged and there is great risk of a local uprising!	Outraged Populace	public_order_unhappy.png	province
lzd_public_order_2_unhappy	The people of this province are unhappy with current affairs.	Unhappy Populace	public_order_unhappy.png	province
lzd_public_order_3_troubled	The people of this province are troubled by current affairs.	Troubled Populace	public_order_unhappy.png	province
lzd_public_order_4_indifferent	The people of this province are indifferent to current affairs.	Indifferent Populace	public_order.png	province
lzd_public_order_5_content	The people of this province are encouraged by current affairs.	Encouraged Populace	public_order_happy.png	province
lzd_public_order_6_happy	The people of this province are motivated by current affairs.	Motivated Populace	public_order_happy.png	province
lzd_public_order_7_jubilant	The people of this province are inspired by current affairs.	Inspired Populace	public_order_happy.png	province
skv_public_order_1_outraged	The people of this province are outraged and there is great risk of a local uprising!	Outraged Populace	public_order_unhappy.png	province
skv_public_order_2_unhappy	The people of this province are unhappy with current affairs.	Unhappy Populace	public_order_unhappy.png	province
skv_public_order_3_troubled	The people of this province are troubled by current affairs.	Troubled Populace	public_order_unhappy.png	province
skv_public_order_4_indifferent	The people of this province are indifferent to current affairs.	Indifferent Populace	public_order.png	province
skv_public_order_5_content	The people of this province are encouraged by current affairs.	Encouraged Populace	public_order_happy.png	province
skv_public_order_6_happy	The people of this province are motivated by current affairs.	Motivated Populace	public_order_happy.png	province
skv_public_order_7_jubilant	The people of this province are inspired by current affairs.	Inspired Populace	public_order_happy.png	province
wef_public_order_1_outraged	The people of this province are outraged and there is great risk of a local uprising!	Outraged Populace	public_order_unhappy.png	province
wef_public_order_2_unhappy	The people of this province are unhappy with current affairs.	Unhappy Populace	public_order_unhappy.png	province
wef_public_order_3_troubled	The people of this province are troubled by current affairs.	Troubled Populace	public_order_unhappy.png	province
wef_public_order_4_indifferent	The people of this province are indifferent to current affairs.	Indifferent Populace	public_order.png	province
wef_public_order_5_content	The people of this province are encouraged by current affairs.	Encouraged Populace	public_order_happy.png	province
wef_public_order_6_happy	The people of this province are motivated by current affairs.	Motivated Populace	public_order_happy.png	province
wef_public_order_7_jubilant	The people of this province are inspired by current affairs.	Inspired Populace	public_order_happy.png	province
emp_public_order_7_jubilant	The people of this province are inspired by current affairs.	Inspired Populace	public_order_happy.png	province
emp_public_order_1_outraged	The people of this province are outraged and there is great risk of a local uprising!	Outraged Populace	public_order_unhappy.png	province
