effect_bundles_to_effects_junctions_tables
2
effect_bundle_key	effect_key	effect_scope	value	advancement_stage
zar_sk_payload_food_for_gold	wh2_main_pooled_resource_skaven_food_raiding	faction_to_faction_own	15	start_turn_completed
wh2_pooled_resource_skaven_food_plentiful	wh_main_effect_force_unit_stat_morale_own_territory	faction_to_force_own_factionwide	10	start_turn_completed
wh2_pooled_resource_skaven_food_plentiful	wh_main_effect_province_food_shortage_public_order_happiness	faction_to_province_own	2	start_turn_completed
wh2_pooled_resource_skaven_food_plentiful	wh_main_effect_province_growth_food	faction_to_province_own	40	start_turn_completed
wh2_pooled_resource_skaven_food_shortage	wh_main_effect_force_unit_stat_morale	faction_to_force_own_factionwide	-5	start_turn_completed
wh2_pooled_resource_skaven_food_shortage	wh_main_effect_province_food_shortage_public_order_happiness	faction_to_province_own	-1	start_turn_completed
wh2_pooled_resource_skaven_food_shortage	wh_main_effect_province_growth_food	faction_to_province_own	-40	start_turn_completed
wh2_pooled_resource_skaven_food_starvation	wh2_main_effect_force_all_campaign_sacking_income	faction_to_character_own_factionwide	-10	start_turn_completed
wh2_pooled_resource_skaven_food_starvation	wh_main_effect_force_all_campaign_post_battle_loot_mod	faction_to_faction_own	-10	start_turn_completed
wh2_pooled_resource_skaven_food_starvation	wh_main_effect_force_all_campaign_raid_income	faction_to_force_own_factionwide	-10	start_turn_completed
wh2_pooled_resource_skaven_food_starvation	wh_main_effect_force_unit_stat_morale	faction_to_force_own_factionwide	-10	start_turn_completed
wh2_pooled_resource_skaven_food_starvation	wh_main_effect_province_food_shortage_public_order_happiness	faction_to_province_own	-2	start_turn_completed
wh2_pooled_resource_skaven_food_starvation	wh_main_effect_province_growth_food	faction_to_province_own	-80	start_turn_completed
wh2_pooled_resource_skaven_food_surplus	wh_main_effect_force_unit_stat_morale_own_territory	faction_to_force_own_factionwide	5	start_turn_completed
wh2_pooled_resource_skaven_food_surplus	wh_main_effect_province_food_shortage_public_order_happiness	faction_to_province_own	1	start_turn_completed
wh2_pooled_resource_skaven_food_surplus	wh_main_effect_province_growth_food	faction_to_province_own	20	start_turn_completed
wh2_pooled_resource_skaven_food_average	wh_main_effect_province_growth_food	faction_to_province_own	5	start_turn_completed
zar_sk_payload_fury_thieves	wh2_main_pooled_resource_skaven_food_raiding	faction_to_faction_own	15	start_turn_completed
wh2_pooled_resource_skaven_food_shortage	wh_main_effect_force_all_campaign_replenishment_rate	faction_to_force_own_factionwide	-5	start_turn_completed
wh2_pooled_resource_skaven_food_starvation	wh_main_effect_force_all_campaign_replenishment_rate	faction_to_force_own_factionwide	-10	start_turn_completed
zar_sk_payload_false_prophet_use	wh_main_effect_public_order_events	region_to_province_own	2	start_turn_completed
zar_sk_payload_false_prophet_kill	wh_main_effect_public_order_events	region_to_province_own	-20	start_turn_completed
zar_sk_payload_false_prophet_kill	wh2_main_pooled_resource_skaven_food_cannibalism_zar	faction_to_faction_own	10	start_turn_completed
zar_sk_region_skaven_lair	wh_main_effect_religion_conversion_skaven	region_to_region_own	1	start_turn_completed
zar_sk_payload_skaven_food_theft	wh_main_effect_province_growth_province	region_to_province_own	-20	start_turn_completed
zar_sk_payload_skaven_food_theft	wh_main_effect_public_order_events	region_to_province_own	-2	start_turn_completed
zar_sk_payload_skaven_raid_2	wh_main_effect_public_order_events	region_to_province_own	-4	start_turn_completed
zar_sk_payload_skaven_raid_2	wh_main_effect_religion_conversion_skaven	region_to_region_own	10	start_turn_completed
zar_sk_payload_skaven_raid_2	wh_main_effect_economy_gdp_mod_all	region_to_region_own	-20	start_turn_completed
zar_sk_payload_skaven_raid_2	wh_main_effect_province_growth_province	region_to_province_own	-40	start_turn_completed
zar_sk_payload_sewer_patrol	wh_main_effect_religion_conversion_skaven	region_to_region_own	-1	start_turn_completed
zar_sk_payload_sewer_patrol	zar_sk_effect_sewer_patrol_dummy	region_to_region_own	1	start_turn_completed
zar_sk_payload_skaven_raid_3	wh_main_effect_public_order_events	region_to_province_own	-6	start_turn_completed
zar_sk_payload_skaven_raid_3	wh_main_effect_religion_conversion_skaven	region_to_region_own	20	start_turn_completed
zar_sk_payload_skaven_raid_3	wh_main_effect_economy_gdp_mod_all	region_to_region_own	-30	start_turn_completed
zar_sk_payload_skaven_raid_3	wh_main_effect_province_growth_province	region_to_province_own	-60	start_turn_completed
zar_sk_payload_skaven_food_theft	wh_main_effect_economy_gdp_mod_all	region_to_region_own	-10	start_turn_completed
zar_sk_payload_skaven_food_theft	wh_main_effect_religion_conversion_skaven	region_to_region_own	5	start_turn_completed
zar_sk_payload_vermintide_heroes	wh_main_effect_public_order_events	region_to_province_own	3	start_turn_completed
zar_sk_payload_vermintide_heroes	wh_main_effect_religion_conversion_skaven	region_to_region_own	-10	start_turn_completed
zar_sk_payload_bad_food	wh2_main_pooled_resource_skaven_food_regions	faction_to_faction_own	-20	start_turn_completed
zar_sk_payload_sewer_patrol	wh_main_effect_economy_gdp_mod_all	region_to_region_own	-5	start_turn_completed
zar_sk_payload_retake_skavenblight_denied	wh2_main_effect_diplomacy_bonus_skaven	faction_to_faction_own	-20	start_turn_completed
zar_sk_payload_skavenblight_has_fallen	wh_main_effect_force_unit_stat_morale	faction_to_force_own_factionwide	-8	start_turn_completed
zar_sk_payload_skavenblight_has_fallen	wh_main_effect_public_order_events	faction_to_province_own	-2	start_turn_completed
zar_sk_payload_skaven_lair_support	wh_main_effect_force_all_campaign_replenishment_rate	force_to_force_own	10	start_turn_completed
zar_sk_payload_skaven_lair_support	wh2_main_pooled_resource_skaven_food_raiding	faction_to_faction_own	1	start_turn_completed
