effect_bundles_to_effects_junctions_tables
2
effect_bundle_key	effect_key	effect_scope	value	advancement_stage
def_public_order_1_outraged	wh2_main_effect_slave_decline_modifier	province_to_province_own	15	start_turn_completed
def_public_order_2_unhappy	wh2_main_effect_slave_decline_modifier	province_to_province_own	10	start_turn_completed
def_public_order_3_troubled	wh2_main_effect_slave_decline_modifier	province_to_province_own	5	start_turn_completed
def_public_order_4_indifferent	wh2_main_effect_slave_decline_modifier	province_to_province_own	0	start_turn_completed
def_public_order_5_content	wh2_main_effect_slave_decline_modifier	province_to_province_own	-5	start_turn_completed
def_public_order_6_happy	wh2_main_effect_slave_decline_modifier	province_to_province_own	-10	start_turn_completed
def_public_order_7_jubilant	wh2_main_effect_slave_decline_modifier	province_to_province_own	-15	start_turn_completed
lzd_public_order_1_outraged	wh_main_effect_province_tax_rate	province_to_province_own	-15	start_turn_completed
lzd_public_order_2_unhappy	wh_main_effect_province_tax_rate	province_to_province_own	-10	start_turn_completed
lzd_public_order_3_troubled	wh_main_effect_province_tax_rate	province_to_province_own	-5	start_turn_completed
lzd_public_order_4_indifferent	wh_main_effect_province_tax_rate	province_to_province_own	0	start_turn_completed
lzd_public_order_5_content	wh_main_effect_province_tax_rate	province_to_province_own	5	start_turn_completed
lzd_public_order_6_happy	wh_main_effect_province_tax_rate	province_to_province_own	10	start_turn_completed
lzd_public_order_7_jubilant	wh_main_effect_province_tax_rate	province_to_province_own	15	start_turn_completed
lzd_public_order_1_outraged	wh_main_effect_technology_research_points	faction_to_faction_own_unseen	-12	start_turn_completed
lzd_public_order_2_unhappy	wh_main_effect_technology_research_points	faction_to_faction_own_unseen	-8	start_turn_completed
lzd_public_order_3_troubled	wh_main_effect_technology_research_points	faction_to_faction_own_unseen	-4	start_turn_completed
lzd_public_order_4_indifferent	wh_main_effect_technology_research_points	faction_to_faction_own_unseen	0	start_turn_completed
lzd_public_order_5_content	wh_main_effect_technology_research_points	faction_to_faction_own_unseen	2	start_turn_completed
lzd_public_order_6_happy	wh_main_effect_technology_research_points	faction_to_faction_own_unseen	4	start_turn_completed
lzd_public_order_7_jubilant	wh_main_effect_technology_research_points	faction_to_faction_own_unseen	6	start_turn_completed
def_public_order_1_outraged	wh_main_effect_force_all_campaign_recruitment_cost_all	province_to_force_own_provincewide	15	start_turn_completed
def_public_order_2_unhappy	wh_main_effect_force_all_campaign_recruitment_cost_all	province_to_force_own_provincewide	10	start_turn_completed
def_public_order_3_troubled	wh_main_effect_force_all_campaign_recruitment_cost_all	province_to_force_own_provincewide	5	start_turn_completed
def_public_order_4_indifferent	wh_main_effect_force_all_campaign_recruitment_cost_all	province_to_force_own_provincewide	0	start_turn_completed
def_public_order_5_content	wh_main_effect_force_all_campaign_recruitment_cost_all	province_to_force_own_provincewide	-2	start_turn_completed
def_public_order_6_happy	wh_main_effect_force_all_campaign_recruitment_cost_all	province_to_force_own_provincewide	-4	start_turn_completed
def_public_order_7_jubilant	wh_main_effect_force_all_campaign_recruitment_cost_all	province_to_force_own_provincewide	-6	start_turn_completed
skv_public_order_1_outraged	wh_main_effect_province_tax_rate	province_to_province_own	-15	start_turn_completed
skv_public_order_2_unhappy	wh_main_effect_province_tax_rate	province_to_province_own	-10	start_turn_completed
skv_public_order_3_troubled	wh_main_effect_province_tax_rate	province_to_province_own	-5	start_turn_completed
skv_public_order_4_indifferent	wh_main_effect_province_tax_rate	province_to_province_own	0	start_turn_completed
skv_public_order_5_content	wh_main_effect_province_tax_rate	province_to_province_own	5	start_turn_completed
skv_public_order_6_happy	wh_main_effect_province_tax_rate	province_to_province_own	10	start_turn_completed
skv_public_order_7_jubilant	wh_main_effect_province_tax_rate	province_to_province_own	15	start_turn_completed
skv_public_order_1_outraged	wh_main_effect_province_growth_other	province_to_province_own	-30	start_turn_completed
skv_public_order_2_unhappy	wh_main_effect_province_growth_other	province_to_province_own	-20	start_turn_completed
skv_public_order_3_troubled	wh_main_effect_province_growth_other	province_to_province_own	-10	start_turn_completed
skv_public_order_4_indifferent	wh_main_effect_province_growth_other	province_to_province_own	0	start_turn_completed
skv_public_order_5_content	wh_main_effect_province_growth_other	province_to_province_own	5	start_turn_completed
skv_public_order_6_happy	wh_main_effect_province_growth_other	province_to_province_own	10	start_turn_completed
skv_public_order_7_jubilant	wh_main_effect_province_growth_other	province_to_province_own	15	start_turn_completed
wef_public_order_1_outraged	wh_main_effect_province_tax_rate	province_to_province_own	-15	start_turn_completed
