effect_bundles_to_effects_junctions_tables
2
effect_bundle_key	effect_key	effect_scope	value	advancement_stage
wh2_main_lord_trait_def_morathi_hag_sorceress_of_ghrond	wh2_main_effect_attrition_immunity_chaos_morathi_textonly	faction_to_faction_own_unseen	1	start_turn_completed
wh2_main_lord_trait_def_morathi_hag_sorceress_of_ghrond	wh2_main_faction_political_diplomacy_mod_darkelves	faction_to_faction_own_unseen	20	start_turn_completed
wh2_main_lord_trait_def_morathi_hag_sorceress_of_ghrond	wh_main_effect_agent_action_cost_mod	faction_to_character_own_unseen	-50	start_turn_completed
wh2_main_lord_trait_def_morathi_hag_sorceress_of_ghrond	wh_main_effect_religion_conversion_chaos	faction_to_character_own_factionwide	1	start_turn_completed
wh2_main_lord_trait_hef_teclis	wh2_main_effect_agent_recruitment_xp_hef_mage	faction_to_province_own_unseen	5	start_turn_completed
wh2_main_lord_trait_hef_teclis	wh2_main_effect_diplomacy_bonus_humans_elves	faction_to_faction_own_unseen	20	start_turn_completed
wh2_main_lord_trait_hef_tyrion	wh2_main_effect_trait_unit_recruitment_duration_hef_infantry_cavalry	faction_to_province_own_unseen	-1	start_turn_completed
wh2_main_lord_trait_lzd_kroq_gar	wh2_main_effect_tech_upkeep_cost_reduction_lzd_beasts	faction_to_force_own_unseen	-10	start_turn_completed
wh2_main_lord_trait_lzd_lord_mazdamundi	wh2_main_effect_agent_cap_increase_lzd_slann	faction_to_faction_own_unseen	1	start_turn_completed
wh2_main_lord_trait_lzd_lord_mazdamundi	wh2_main_effect_building_construction_cost_mod_lzd_starchamber	faction_to_region_own_unseen	-50	start_turn_completed
wh2_main_lord_trait_lzd_lord_mazdamundi	wh2_main_faction_trait_diplomacy_penalty_mazdamundi	faction_to_faction_own_unseen	-10	start_turn_completed
wh2_main_lord_trait_lzd_lord_mazdamundi	wh2_main_faction_trait_ritual_cost_mazdamundi	faction_to_faction_own_unseen	-30	start_turn_completed
wh2_main_lord_trait_malekith_black_council	wh2_main_effect_character_mod_loyalty_all	faction_to_faction_own_unseen	2	start_turn_completed
wh2_main_lord_trait_malekith_black_council	wh2_main_effect_loyalty_penalty_faction_leader_outranked_dummy	faction_to_faction_own_unseen	3	start_turn_completed
wh2_main_lord_trait_malekith_black_council	wh2_main_effect_percentage_of_xp_to_give_other_characters_of_same_type_dummy	faction_to_character_own_unseen	3	start_turn_completed
wh2_main_lord_trait_malekith_black_council	wh2_main_faction_trait_diplomacy_bonus_morathi	faction_to_faction_own_unseen	30	start_turn_completed
wh2_main_lord_trait_skv_lord_skrolk	wh2_main_effect_building_construction_cost_mod_skv_plague_temple_chain	faction_to_region_own_unseen	-50	start_turn_completed
wh2_main_lord_trait_skv_lord_skrolk	wh2_main_faction_trait_ritual_cost_skrolk	faction_to_faction_own_unseen	-75	start_turn_completed
wh2_main_lord_trait_skv_queek_headtaker_monstrous_ego	wh2_main_effect_character_mod_loyalty_grey_seers	faction_to_faction_own_unseen	-2	start_turn_completed
wh2_main_lord_trait_skv_queek_headtaker_monstrous_ego	wh2_main_effect_percentage_of_xp_to_steal_from_characters_of_same_type_dummy	faction_to_character_own_unseen	1	start_turn_completed
wh_dlc03_lord_trait_beastmen_khazrak	wh_main_effect_force_all_campaign_raid_income	faction_to_character_own_unseen	25	start_turn_completed
wh_dlc03_lord_trait_beastmen_khazrak	wh_main_effect_force_unit_stat_morale_versus_men	faction_to_force_own_unseen	5	start_turn_completed
wh_dlc03_lord_trait_beastmen_khazrak	wh_main_effect_character_stat_mod_personal_aura_morale_effect	general_to_force_own	2	start_turn_completed
wh_dlc03_lord_trait_bst_malagor	wh_dlc03_effect_agent_action_cost_mod_wizard_beastmen	faction_to_faction_own_unseen	-25	start_turn_completed
wh_dlc03_lord_trait_bst_malagor	wh_main_effect_military_force_winds_of_magic_depletion_mod_character	general_to_force_own_unseen	10	start_turn_completed
wh_dlc03_lord_trait_bst_malagor	wh_main_effect_force_all_campaign_recruitment_cost_all	faction_to_force_own_unseen	-10	start_turn_completed
wh_dlc04_lord_trait_emp_volkmar_the_grim	wh_dlc04_effect_tech_melee_damage_increase_flagellants	faction_to_force_own_unseen	20	start_turn_completed
wh_dlc04_lord_trait_emp_volkmar_the_grim	wh_dlc04_effect_tech_upkeep_reduction_flagellants	faction_to_force_own_unseen	-15	start_turn_completed
wh_dlc04_lord_trait_vmp_helman_ghorst	wh_main_effect_character_stat_enable_poison_attacks_dummy	faction_to_army_own_unseen	1	start_turn_completed
