land_units_tables
43
accuracy	armour	campaign_action_points	category	charge_bonus	class	dismounted_charge_bonus	dismounted_melee_attack	historical_description_text	key	man_animation	man_entity	melee_attack	melee_defence	morale	bonus_hit_points	mount	num_animals	animal	num_mounts	primary_melee_weapon	primary_missile_weapon	rank_depth	shield	short_description_text	spacing	strenghts_weaknesses_text	supports_first_person	training_level	officer	articulated_record	engine	is_male	visibility_spotting_range_min	visibility_spotting_range_max	ability_global_recharge	attribute_group	spot_dist_tree	spot_dist_scrub	reload	loose_spacing	selected_vo	selected_vo_secondary	selected_vo_tertiary	hiding_scalar	capture_power	ground_stat_effect_group	secondary_ammo	primary_ammo	damage_mod_flames	damage_mod_magic	num_engines	damage_mod_physical	damage_mod_missiles	damage_mod_all	ai_usage_group	can_skirmish	mounted_draughts	sync_locomotion
10	wh2_main_plate_30	2100	artillery	2	art_fld	2	10	wh2_main_unit_long_text_def_art_reaper_bolt_thrower	wh2_main_def_art_reaper_bolt_thrower	hu1d_elf_sword	wh2_main_def_infantry_blood_dismembers	18	18	70	70		0		0	wh2_main_def_shortsword		3	none	wh2_main_unit_short_text_def_art_reaper_bolt_thrower	wh_main_artillery	placeholder	True	trained	A_blank_record		wh2_main_def_art_reaper_bolt_thrower	True	40	1500	0	wh2_cantRun_hideForest	60	80	10	False	vo_sel_def_Repeater_Bolt_Thrower	vo_sel_artillery	vo_sel_generic	1	10	small	0	24	0	0	4	0	0	0	ranged_direct	False	False	False
15	wh2_main_plate_110	2100	war_machine	60	chariot	20	33	wh2_main_unit_long_text_def_cav_cold_one_chariot	wh2_main_def_cav_cold_one_chariot	hu1d_elf_sword_crossbow	wh_main_cavalry_rider_standard_blood	26	24	65	1800	wh2_main_def_mnt_cold_one_chariot	0		2	wh2_main_def_cold_one_chariot	wh2_main_def_crossbow_bolt_chariot	1	none	wh2_main_unit_short_text_def_cav_cold_one_chariot	wh_main_chariot	placeholder	False	trained	wh2_main_def_cold_one_chariot	wh2_main_def_cold_one_chariot	wh2_main_def_cold_one_chariot	True	40	1500	0	wh_fear_hideForest	60	80	10	False	vo_sel_def_Cold_One_Chariot	vo_sel_cavalry	vo_sel_culture	1	8	large	0	48	0	0	4	0	0	0	hybrid_flanker_shock_harasser	True	False	False
10	wh2_main_plate_100	2100	cavalry	55	cav_shk	20	33	wh2_main_unit_long_text_def_cav_cold_one_knights_0	wh2_main_def_cav_cold_one_knights_0	hu1d_elf_rp3_cold_one_lance_sword_shield	wh_main_cavalry_rider_standard_blood	40	25	75	200	wh2_main_def_mnt_cold_one	0		48	wh2_main_def_cold_one_lance		3	wh_missile_block_45_knight_metal	wh2_main_unit_short_text_def_cav_cold_one_knights_0	wh2_main_cavalry_cold_ones	placeholder	False	trained	A_blank_record			True	40	1500	0	wh_fear_hideForest	60	80	0	False	vo_sel_def_Cold_Ones	vo_sel_cavalry	vo_sel_culture	1	8	large	0	0	0	0	0	0	5	0	melee_flanker_shock	False	False	False
10	wh2_main_plate_120	2100	cavalry	65	cav_mel	20	33	wh2_main_unit_long_text_def_cav_cold_one_knights_1	wh2_main_def_cav_cold_one_knights_1	hu1d_elf_rp3_cold_one_mace_shield	wh_main_cavalry_rider_standard_blood	52	35	80	360	wh2_main_def_mnt_cold_one_armoured	0		30	wh2_main_def_cold_one_mace		3	wh_missile_block_45_knight_metal	wh2_main_unit_short_text_def_cav_cold_one_knights_1	wh2_main_cavalry_cold_ones	placeholder	False	trained	A_blank_record			True	40	1500	0	wh_fear_hideForest	60	80	0	False	vo_sel_def_Cold_One_Dread_Knights	vo_sel_cavalry	vo_sel_culture	1	8	large	0	0	0	0	0	0	5	0	melee_flanker	False	False	False
10	wh2_main_leather_35	2100	cavalry	50	cav_shk	20	33	wh2_main_unit_long_text_def_cav_dark_riders_0	wh2_main_def_cav_dark_riders_0	hu1d_elf_hr1_warhorse_spear	wh_main_cavalry_rider_standard_blood	36	22	55	110	wh2_main_def_mnt_dark_steed	0		60	wh2_main_def_spear_darkriders		3	none	wh2_main_unit_short_text_def_cav_dark_riders_0	wh_main_cavalry_chaotic	placeholder	False	trained	A_blank_record			True	40	1500	0	wh_guerrilla_hideForest	60	80	10	False	vo_sel_def_Dark_Riders	vo_sel_cavalry	vo_sel_culture	1	8	large	0	0	0	0	0	0	5	0	melee_flanker_shock	False	False	False
10	wh2_main_leather_35	2100	cavalry	45	cav_shk	20	33	wh2_main_unit_long_text_def_cav_dark_riders_1	wh2_main_def_cav_dark_riders_1	hu1d_elf_hr1_warhorse_spear_shield	wh_main_cavalry_rider_standard_blood	30	25	55	110	wh2_main_def_mnt_dark_steed	0		60	wh2_main_def_spear_darkriders		3	wh_missile_block_45_knight_metal	wh2_main_unit_short_text_def_cav_dark_riders_1	wh_main_cavalry_chaotic	placeholder	False	trained	A_blank_record			True	40	1500	0	wh_guerrilla_hideForest	60	80	10	False	vo_sel_def_Dark_Riders	vo_sel_cavalry	vo_sel_culture	1	8	large	0	0	0	0	0	0	5	0	melee_flanker_shock	False	False	False
15	wh2_main_leather_35	2100	cavalry	20	cav_mis	20	33	wh2_main_unit_long_text_def_cav_dark_riders_2	wh2_main_def_cav_dark_riders_2	hu1d_elf_hr1_warhorse_sword_crossbow	wh2_main_cavarly_rider_170_blood	28	16	52	110	wh2_main_def_mnt_dark_steed	0		60	wh2_main_def_shortsword	wh2_main_def_repeater_crossbow_horse	3	none	wh2_main_unit_short_text_def_cav_dark_riders_2	wh_main_cavalry_chaotic	placeholder	False	trained	A_blank_record			True	40	1500	0	wh_guerrilla_hideForest	60	80	10	False	vo_sel_def_Dark_Rider_Crossbows	vo_sel_cavalry	vo_sel_ranged	1	8	large	0	18	0	0	0	0	5	0	ranged_cav_harasser	True	False	False
10	wh2_main_body_10	2100	inf_melee	35	com	13	71	wh2_main_unit_long_text_def_cha_death_hag_0	wh2_main_def_cha_death_hag_0	hu1b_elf_dual_sword	wh2_main_def_infantry_death_hag_blood_dismembers	64	33	75	4250		0		0	wh2_main_def_death_hag		1	none	wh2_main_unit_short_text_def_cha_death_hag_0	wh_main_infantry	placeholder	False	elite	A_blank_record			False	40	1500	0	wh_encourage_hideForest	60	80	10	False	vo_sel_default	vo_sel_default	vo_sel_culture	1	10	small	0	0	0	0	0	0	15	0	melee_highvalue	False	False	False
10	wh2_main_plate_80	2100	war_machine	35	com	13	71	wh2_main_unit_long_text_def_cha_death_hag_1	wh2_main_def_cha_death_hag_1	hu1b_elf_dual_sword	wh2_main_def_infantry_hero_blood	34	19	75	7000		0		0	wh2_main_def_death_hag_cauldron		1	none	wh2_main_unit_short_text_def_cha_death_hag_1	wh_main_chariot	placeholder	False	elite	wh2_main_def_cauldron_of_blood		wh2_main_def_veh_cauldron_of_blood	False	40	1500	0	wh_encourage_fear_terror	60	80	10	False	vo_sel_default	vo_sel_default	vo_sel_culture	1	10	large	0	0	0	25	1	0	25	0	melee_cav_shock_highvalue	False	False	False
10	wh2_main_plate_90	2100	inf_ranged	35	com	13	71	wh2_main_unit_long_text_def_cha_dreadlord_0	wh2_main_def_cha_dreadlord_0	hu1d_elf_sword_crossbow	wh2_main_def_infantry_hero_blood	62	43	80	4700		0		0	wh2_main_def_dreadlord_sword	wh2_main_def_crossbow_bolt_dreadlord	1	none	wh2_main_unit_short_text_def_cha_dreadlord_0	wh_main_infantry	placeholder	False	elite	A_blank_record			True	40	1500	0	wh_encourage_hideForest	60	80	10	False	vo_sel_default	vo_sel_melee	vo_sel_culture	1	10	small	0	40	0	0	0	0	15	0	hybrid_highvalue	True	False	False
