land_units_to_unit_abilites_junctions_tables
0
ability	land_unit
wh2_main_faction_abilities_murderous_prowess	wh2_main_def_art_reaper_bolt_thrower
wh2_main_faction_abilities_murderous_prowess_indicator	wh2_main_def_art_reaper_bolt_thrower
wh2_main_faction_abilities_murderous_prowess	wh2_main_def_cav_cold_one_chariot
wh2_main_faction_abilities_murderous_prowess_indicator	wh2_main_def_cav_cold_one_chariot
wh2_main_faction_abilities_murderous_prowess	wh2_main_def_cav_cold_one_knights_0
wh2_main_faction_abilities_murderous_prowess_indicator	wh2_main_def_cav_cold_one_knights_0
wh2_main_faction_abilities_murderous_prowess	wh2_main_def_cav_cold_one_knights_1
wh2_main_faction_abilities_murderous_prowess_indicator	wh2_main_def_cav_cold_one_knights_1
wh2_main_faction_abilities_murderous_prowess	wh2_main_def_cav_dark_riders_0
wh2_main_faction_abilities_murderous_prowess_indicator	wh2_main_def_cav_dark_riders_0
wh2_main_faction_abilities_murderous_prowess	wh2_main_def_cav_dark_riders_1
wh2_main_faction_abilities_murderous_prowess_indicator	wh2_main_def_cav_dark_riders_1
wh2_main_faction_abilities_murderous_prowess	wh2_main_def_cav_dark_riders_2
wh2_main_faction_abilities_murderous_prowess_indicator	wh2_main_def_cav_dark_riders_2
wh2_main_character_abilities_witchbrew	wh2_main_def_cha_death_hag_0
wh2_main_faction_abilities_murderous_mastery	wh2_main_def_cha_death_hag_0
wh2_main_faction_abilities_murderous_prowess_indicator	wh2_main_def_cha_death_hag_0
wh_main_character_abilities_foe_seeker	wh2_main_def_cha_death_hag_0
wh_main_unit_passive_frenzy	wh2_main_def_cha_death_hag_0
wh2_main_character_abilities_witchbrew	wh2_main_def_cha_death_hag_1
wh2_main_faction_abilities_murderous_mastery	wh2_main_def_cha_death_hag_1
wh2_main_faction_abilities_murderous_prowess_indicator	wh2_main_def_cha_death_hag_1
wh2_main_unit_abilities_fury_of_khaine	wh2_main_def_cha_death_hag_1
wh2_main_unit_passive_bloodshield_of_khaine	wh2_main_def_cha_death_hag_1
wh_main_character_abilities_foe_seeker	wh2_main_def_cha_death_hag_1
wh_main_unit_passive_frenzy	wh2_main_def_cha_death_hag_1
wh2_main_character_abilities_volley_of_dark_arrows	wh2_main_def_cha_dreadlord_0
wh2_main_character_passive_loose	wh2_main_def_cha_dreadlord_0
wh2_main_faction_abilities_murderous_prowess	wh2_main_def_cha_dreadlord_0
wh2_main_faction_abilities_murderous_prowess_indicator	wh2_main_def_cha_dreadlord_0
wh_main_character_abilities_foe_seeker	wh2_main_def_cha_dreadlord_0
wh2_main_character_abilities_volley_of_dark_arrows	wh2_main_def_cha_dreadlord_1
wh2_main_character_passive_loose	wh2_main_def_cha_dreadlord_1
wh2_main_faction_abilities_murderous_prowess	wh2_main_def_cha_dreadlord_1
wh2_main_faction_abilities_murderous_prowess_indicator	wh2_main_def_cha_dreadlord_1
wh_main_character_abilities_foe_seeker	wh2_main_def_cha_dreadlord_1
wh2_main_character_abilities_volley_of_dark_arrows	wh2_main_def_cha_dreadlord_2
wh2_main_character_passive_loose	wh2_main_def_cha_dreadlord_2
wh2_main_faction_abilities_murderous_prowess	wh2_main_def_cha_dreadlord_2
wh2_main_faction_abilities_murderous_prowess_indicator	wh2_main_def_cha_dreadlord_2
wh_main_character_abilities_foe_seeker	wh2_main_def_cha_dreadlord_2
wh2_main_character_abilities_volley_of_dark_arrows	wh2_main_def_cha_dreadlord_4
wh2_main_character_passive_loose	wh2_main_def_cha_dreadlord_4
wh2_main_unit_abilities_noxious_breath	wh2_main_def_cha_dreadlord_4
wh_main_character_abilities_foe_seeker	wh2_main_def_cha_dreadlord_4
wh2_main_character_abilities_volley_of_dark_arrows	wh2_main_def_cha_dreadlord_5
wh2_main_character_passive_loose	wh2_main_def_cha_dreadlord_5
wh2_main_faction_abilities_murderous_prowess	wh2_main_def_cha_dreadlord_5
wh2_main_faction_abilities_murderous_prowess_indicator	wh2_main_def_cha_dreadlord_5
wh_main_character_abilities_foe_seeker	wh2_main_def_cha_dreadlord_5
wh2_main_faction_abilities_murderous_prowess	wh2_main_def_cha_dreadlord_female_0
wh2_main_faction_abilities_murderous_prowess_indicator	wh2_main_def_cha_dreadlord_female_0
wh2_main_lord_passive_strength_through_spite	wh2_main_def_cha_dreadlord_female_0
wh_main_character_abilities_deadly_onslaught	wh2_main_def_cha_dreadlord_female_0
wh_main_character_abilities_foe_seeker	wh2_main_def_cha_dreadlord_female_0
wh2_main_faction_abilities_murderous_prowess	wh2_main_def_cha_dreadlord_female_1
wh2_main_faction_abilities_murderous_prowess_indicator	wh2_main_def_cha_dreadlord_female_1
wh2_main_lord_passive_strength_through_spite	wh2_main_def_cha_dreadlord_female_1
wh_main_character_abilities_deadly_onslaught	wh2_main_def_cha_dreadlord_female_1
wh_main_character_abilities_foe_seeker	wh2_main_def_cha_dreadlord_female_1
wh2_main_faction_abilities_murderous_prowess	wh2_main_def_cha_dreadlord_female_2
wh2_main_faction_abilities_murderous_prowess_indicator	wh2_main_def_cha_dreadlord_female_2
wh2_main_lord_passive_strength_through_spite	wh2_main_def_cha_dreadlord_female_2
wh_main_character_abilities_deadly_onslaught	wh2_main_def_cha_dreadlord_female_2
wh_main_character_abilities_foe_seeker	wh2_main_def_cha_dreadlord_female_2
wh2_main_lord_passive_strength_through_spite	wh2_main_def_cha_dreadlord_female_4
wh2_main_unit_abilities_noxious_breath	wh2_main_def_cha_dreadlord_female_4
wh_main_character_abilities_deadly_onslaught	wh2_main_def_cha_dreadlord_female_4
