missile_weapons_tables
11
key	precursor	default_projectile	weapon_type	can_fire_at_buildings
wh_dlc03_bst_centigor_throwing_axe	False	wh_dlc03_bst_centigor_throwing_axe	none	False
wh_dlc03_bst_cygor_rock	False	wh_dlc03_bst_cygor_boulder	none	False
wh_dlc03_bst_ungor_bow	False	wh_dlc03_bst_ungor_arrow	bow	False
wh_dlc04_emp_cannon_hammer_witches	False	wh_dlc04_emp_great_cannon_ball_hammer_witches	great_cannon	False
wh_dlc04_emp_free_company_pistol	False	wh_dlc04_emp_free_company_pistol_bullet	pistol	False
wh_dlc04_emp_rifle_silver_bullets	False	wh_dlc04_emp_rifle_bullet_silver_bullets	repeater_gun	False
wh_dlc04_emp_stirlands_pistol	False	wh_dlc04_emp_stirlands_pistol_bullet	pistol	False
wh_dlc04_emp_sunmaker_rocket	False	wh_dlc04_emp_sunmaker_rocket	rocket_battery	False
wh_dlc05_wef_durthu_arrow	False	wh_dlc05_wef_treemen_arrow	none	False
wh_dlc05_wef_glade_lord_bow	False	wh_dlc05_wef_cha_trueflight_arrow	bow	False
wh_dlc05_wef_hagbane_bow	False	wh_dlc05_wef_hagbane_arrow	bow	False
wh_dlc05_wef_hagbane_bow_mounted	False	wh_dlc05_wef_hagbane_arrow_mounted	bow	False
wh_dlc05_wef_hawk_rider_bow	False	wh_dlc05_wef_hawk_rider_arrow	bow	False
wh_dlc05_wef_javelin	False	wh_dlc05_wef_javelin	none	False
wh_dlc05_wef_orion_spear	False	wh_dlc05_wef_orion_spear	none	False
wh_dlc05_wef_scout_bow	False	wh_dlc05_wef_scout_arrow	bow	False
wh_dlc05_wef_standard_bow	False	wh_dlc05_wef_standard_arrow	bow	False
wh_dlc05_wef_standard_bow_mounted	False	wh_dlc05_wef_standard_arrow_mounted	bow	False
wh_dlc05_wef_starfire_bow	False	wh_dlc05_wef_starfire_arrow	bow	False
wh_dlc05_wef_starfire_bow_mounted	False	wh_dlc05_wef_starfire_arrow_mounted	bow	False
wh_dlc05_wef_swift_shiver_bow	False	wh_dlc05_wef_swiftshiver_arrow	bow	False
wh_dlc05_wef_swift_shiver_bow_mounted	False	wh_dlc05_wef_swiftshiver_arrow_mounted	bow	False
wh_dlc05_wef_treemen_arrow	False	wh_dlc05_wef_treemen_arrow	none	False
wh_dlc05_wef_waywatchers_bow	False	wh_dlc05_wef_waywatchers_arrow	bow	False
wh_dlc06_dwf_blasting_charges_ekrund	False	wh_dlc06_blasting_charge_ekrund	none	False
wh_dlc06_dwf_bolt_thrower_bolt	False	wh_dwf_bolt_thrower_bolt	bolt_large	False
wh_dlc06_dwf_cinderblast_bomb	False	wh_dlc06_norgrimlings_cinder_bomb	none	False
wh_dlc06_dwf_drakegun_skolder	False	wh_dwf_drakegun_skolder	drakegun	False
wh_dlc06_dwf_raiders_throwing_axe	False	wh_dlc06_dwf_rangers_throwing_axe	none	False
wh_dlc06_dwf_rangers_throwing_axe	False	wh_dlc06_dwf_rangers_throwing_axe	none	False
wh_dlc06_emp_witchhunter_boss_pistol	False	wh_emp_witchhunter_boss_pistol	pistol	False
wh_dlc06_grn_goblin_bow_mogrubb	False	wh_dlc06_grn_goblin_arrow_mogrubb	bow	False
wh_dlc06_grn_goblin_rock_lobber_rock_gork	False	wh_dlc06_grn_goblin_rock_lobber_rock_blinded	none	False
wh_dlc06_grn_grudge_thrower_goblin	False	wh_dwf_grudge_stone_goblin	none	False
