missile_weapons_tables
11
key	precursor	default_projectile	weapon_type	can_fire_at_buildings
wh2_main_def_black_dragon_breath	False	wh2_main_def_black_dragon_breath	dragons_breath	False
wh2_main_def_crossbow_bolt_chariot	False	wh2_main_def_crossbow_bolt_chariot	crossbow	False
wh2_main_def_crossbow_bolt_dreadlord	False	wh2_main_def_crossbow_bolt_dreadlord	crossbow	False
wh2_main_def_crossbow_bolt_horse	False	wh2_main_def_crossbow_bolt_horse	crossbow	False
wh2_main_def_handbow_bolt	False	wh2_main_def_handbow_bolt	crossbow	False
wh2_main_def_handbow_bolt_khainite_assassin	False	wh2_main_def_handbow_bolt_khainite_assassin	crossbow	False
wh2_main_def_reaper_bolt_thrower_bolt	False	wh2_main_def_reaper_bolt_thrower_bolt	bolt_large	False
wh2_main_def_repeater_crossbow	False	wh2_main_def_crossbow_bolt	crossbow	False
wh2_main_def_repeater_crossbow_horse	False	wh2_main_def_crossbow_bolt_horse	crossbow	False
wh2_main_def_repeater_crossbow_shades	False	wh2_main_def_crossbow_bolt_shades	crossbow	False
wh2_main_hef_bow_arrow	False	wh2_main_hef_bow_arrow	bow	False
wh2_main_hef_bow_arrow_rider	False	wh2_main_hef_bow_arrow_mounted	bow	False
wh2_main_hef_eagle_claw_bolt	False	wh2_main_hef_eagle_claw_bolt	bolt_launcher_eagle_claw	False
wh2_main_hef_longbow_arrow	False	wh2_main_hef_longbow_arrow	bow	False
wh2_main_hef_longbow_arrow_princess	False	wh2_main_hef_longbow_arrow_princess	bow	False
wh2_main_hef_longbow_arrow_tiranoc_chariot	False	wh2_main_hef_reaver_bow_arrow_tiranoc_chariot	bow	False
wh2_main_hef_moon_dragon_breath	False	wh2_main_hef_moon_dragon_breath	dragons_breath	False
wh2_main_hef_sea_guard_bow	False	wh2_main_hef_sea_guard_arrow	bow	False
wh2_main_hef_star_dragon_breath	False	wh2_main_hef_star_dragon_breath	dragons_breath	False
wh2_main_hef_sun_dragon_breath	False	wh2_main_hef_sun_dragon_breath	dragons_breath	False
wh2_main_lzd_bastiladon_solar_engine	False	wh2_main_lzd_bastiladon_solar_engine		False
wh2_main_lzd_blowpipe	False	wh2_main_lzd_blowpipe		False
wh2_main_lzd_blowpipe_chamelon_skinks	False	wh2_main_lzd_blowpipe_chamelon_skinks		False
wh2_main_lzd_blowpipe_skink_chief	False	wh2_main_lzd_blowpipe_skink_chief		False
wh2_main_lzd_fireleech_bola_terradon	False	wh2_main_lzd_fireleech_bolas_terradon		False
wh2_main_lzd_javelin	False	wh2_main_lzd_javelin		False
wh2_main_lzd_javelin_rider	False	wh2_main_lzd_javelin_mounted		True
wh2_main_lzd_javelin_rider_primary_ammo	False	wh2_main_lzd_javelin_mounted		False
wh2_main_lzd_javelin_terradon	False	wh2_main_lzd_javelin_terradon		False
wh2_main_lzd_mon_stegadon_blowpipe	False	wh2_main_lzd_mon_stegadon_giant_blowpipe	giant_blowpipe	False
wh2_main_lzd_mon_stegadon_crossbow	False	wh2_main_lzd_mon_stegadon_crossbow	bolt_mounted	False
wh2_main_lzd_mon_stegadon_crossbow_skink_chief	False	wh2_main_lzd_mon_stegadon_crossbow_skink_chief	bolt_large	False
wh2_main_lzd_mon_stegadon_crossbow_skink_priest	False	wh2_main_lzd_mon_stegadon_crossbow_skink_priest	bolt_large	False
wh2_main_lzd_mon_stegadon_giant_blowpipe_skink_chief	False	wh2_main_lzd_mon_stegadon_giant_blowpipe_skink_chief		False
wh2_main_lzd_mon_stegadon_giant_blowpipe_skink_priest	False	wh2_main_lzd_mon_stegadon_giant_blowpipe_skink_priest		False
wh2_main_skv_death_globe	False	wh2_main_skv_death_globe		False
wh2_main_skv_doomwheel_warp_lightning	False	wh2_main_skv_doomwheel_warp_lightning		False
wh2_main_skv_plagueclaw_catapult	False	wh2_main_skv_plagueclaw		False
wh2_main_skv_poison_wind_globe	False	wh2_main_skv_poison_wind_globe		False
wh2_main_skv_sling	False	wh2_main_skv_sling		False
wh2_main_skv_sling_gutter_runners	False	wh2_main_skv_sling_gutter_runners		False
wh2_main_skv_sling_gutter_runners_poison	False	wh2_main_skv_sling_gutter_runners_poison		False
wh2_main_skv_sling_night_runners	False	wh2_main_skv_sling_night_runners		False
wh2_main_skv_throwing_star_gutter_runners	False	wh2_main_skv_throwing_star_gutter_runners		False
wh2_main_skv_throwing_star_gutter_runners_poison	False	wh2_main_skv_throwing_star_gutter_runners_poison		False
wh2_main_skv_throwing_stars	False	wh2_main_skv_throwing_star		False
wh2_main_skv_warlock_doomrocket	False	wh2_main_skv_warlock_doomrocket		False
wh2_main_skv_warp_lightning	False	wh2_main_skv_warp_lightning		False
wh2_main_skv_warpfire	False	wh2_main_skv_warpfire	warpfiregun	False
wh2_tower_def_bolt_1	False	wh2_tower_def_bolt_1		False
wh2_tower_def_bolt_2	False	wh2_tower_def_bolt_2		False
wh2_tower_def_magic_missile_1	False	wh2_tower_def_magic_missile_1		False
wh2_tower_def_magic_missile_2	False	wh2_tower_def_magic_missile_2		False
wh2_tower_hef_bolt_1	False	wh2_tower_hef_bolt_1		False
wh2_tower_hef_bolt_2	False	wh2_tower_hef_bolt_2		False
wh2_tower_hef_magic_missile_1	False	wh2_tower_hef_magic_missile_1		False
wh2_tower_hef_magic_missile_2	False	wh2_tower_hef_magic_missile_2		False
wh2_tower_lzd_bolt_1	False	wh2_tower_lzd_bolt_1		False
wh2_tower_lzd_bolt_2	False	wh2_tower_lzd_bolt_2		False
wh2_tower_lzd_magic_missile	False	wh2_tower_lzd_magic_missile		False
wh2_tower_lzd_solar_engine_beam	False	wh2_tower_lzd_solar_engine_beam		False
wh2_tower_skv_doomrocket	False	wh2_tower_skv_doomrocket		False
wh2_tower_skv_sniper_bullet_1	False	wh2_tower_skv_sniper_bullet_1		False
wh2_tower_skv_sniper_bullet_2	False	wh2_tower_skv_sniper_bullet_2		False
wh2_tower_skv_warp_lightning	False	wh2_tower_skv_warp_lightning		False
wh2_main_hef_longbow_arrow_gate	False	wh2_main_hef_longbow_arrow_gate	bow	False
wh2_main_hef_longbow_arrow_ap	False	wh2_main_hef_longbow_arrow_ap	bow	False
wh2_main_def_repeater_crossbow_rate	False	wh2_main_def_crossbow_bolt_rate	crossbow	False
