projectiles_explosions_tables
18
key	detonator_type	detonation_type	detonation_radius	detonation_duration	detonation_speed	detonation_damage	projectile_name	explosion_particle_effect	distance_from_target	explosion_particle_effect_on_ground	explosion_audio	contact_phase_effect	ignition_amount	is_magical	detonation_damage_ap	shrapnel	fuse_distance_from_target	fuse_fixed_time	affects_allies
wh2_main_army_abilities_bloodwrack_cauldron	percussive	shockwave	18	1	10	0			0		wh2_main_ability_bloodwrack_cauldron		0	True	84	wh_main_unit_explosion_heavy	500	-1	True
wh2_main_army_abilities_bolt_of_spite	percussive	shockwave	6	1	11	180		wh2_main_abilities_bolt_of_spite_explosion	0		wh_main_spell_fire_fireball		1	True	0	wh_main_unit_explosion_light	450	-1	True
wh2_main_army_abilities_brazen_cauldron	percussive	shockwave	18	1	10	0			0		wh2_main_ability_brazen_cauldron		0	True	42	wh_main_unit_explosion_heavy	500	-1	True
wh2_main_army_abilities_khaines_flail	percussive	shockwave	6	1	11	0			0		wh_urannons_thunderbolt		0	True	68	wh_main_unit_explosion_light	450	-1	True
wh2_main_army_abilities_khaines_lash	percussive	shockwave	6	1	11	0			0		wh_urannons_thunderbolt		0	True	68	wh_main_unit_explosion_light	450	-1	True
wh2_main_army_abilities_khaines_scourge	percussive	shockwave	6	1	11	0			0		wh_urannons_thunderbolt		0	True	68	wh_main_unit_explosion_light	450	-1	True
wh2_main_army_abilities_sky_cauldron	percussive	shockwave	18	1	10	0			0		wh2_main_ability_sky_cauldron		0	True	24	wh_main_unit_explosion_heavy	500	-1	True
wh2_main_army_abilities_soul_rain	percussive	shockwave	3	1	12	0		wh2_main_abilities_soul_rain_explosion	0		wh2_main_ability_soul_rain		1	True	24	wh_main_unit_explosion_light	400	-1	True
wh2_main_army_abilities_soul_storm	percussive	shockwave	3	1	12	0		wh2_main_abilities_soul_storm_explosion	0		wh2_main_ability_soul_storm		1	True	24	wh_main_unit_explosion_light	400	-1	True
wh2_main_army_abilities_soul_torrent	percussive	shockwave	3	1	12	0		wh2_main_abilities_soul_torrent_explosion	0		wh2_main_ability_soul_torrent		1	True	24	wh_main_unit_explosion_light	400	-1	True
wh2_main_army_abilities_vauls_hammer	percussive	shockwave	1	0	10	0		wh2_main_abilities_vauls_hammer	0		wh2_main_ability_vauls_hammer		1	False	15000	wh2_vauls_hammer	400	-1	True
wh2_main_army_abilities_vortic_blast	percussive	shockwave	12	1	12	0	skaven_bomb	wh2_main_abilities_vortic_blast	0		wh2_main_ability_vortic_blast		1	False	132	wh_main_unit_explosion_heavy	500	-1	True
wh2_main_army_abilities_vortic_blast_shrapnel	percussive	shockwave	2	1	12	0		wh2_main_abilities_vortic_blast_shrapnel_explosion	0		wh_bomb		1	False	132	wh_main_unit_explosion_medium	400	-1	True
wh2_main_army_abilities_vortic_enrichment	percussive	shockwave	28	4	12	0	heal_splosion	wh2_main_abilities_vortic_enrichment	0		wh2_main_ability_vortic_enrichment	wh2_main_unit_contact_healing_heavy	0	False	0	wh_main_unit_explosion_light	20	-1	True
wh2_main_army_abilities_vortic_enrichment_shrapnel	percussive	shockwave	2	1	12	0		wh2_main_abilities_vortic_enrichment_shrapnel_explosion	0		wh_bomb	wh2_main_unit_contact_healing_light	0	False	0	wh_main_unit_explosion_light	10	-1	True
wh2_main_army_abilities_warpbomb	percussive	shockwave	2	0	100	0			0			wh2_main_unit_contact_kill_self	1	False	0	wh_main_unit_explosion_medium	0	-1	True
wh2_main_bound_doombolt	percussive	shockwave	10	1	11	0		wh2_main_dark_doombolt_impact	0		wh_main_spell_dark_magic_doombolt		1	True	250	wh_main_unit_explosion_light	450	-1	True
wh2_main_bound_shems_burning_gaze	percussive	shockwave	3	1	5	100		wh_main_light_shems_burning_gaze_explosion	0		wh_generic_small		1	True	100	wh_main_unit_explosion_light	40	-1	True
wh2_main_bound_urannons_thunderbolt	percussive	shockwave	6	1	12	0			0		wh_urannons_thunderbolt		0	True	68	wh_main_unit_explosion_light	400	-1	True
wh2_main_character_abilities_volley_of_dark_arrows	percussive	shockwave	4	1	10	0		wh2_main_ability_def_volley_arrows_explosion	0		wh_generic_small		0	True	150	wh_main_unit_explosion_light	150	-1	True
wh2_main_character_abilities_volley_of_high_arrows	percussive	shockwave	4	1	10	0		wh2_main_ability_hef_volley_arrows_explosion	0		wh_generic_small		0	True	150	wh_main_unit_explosion_light	150	-1	True
wh2_main_character_passive_fallen_mages	percussive	shockwave	3	1	10	288		wh2_main_mage_death	0		wh_generic_small		0	True	300	wh_main_unit_explosion_light	150	-1	True
wh2_main_chs_chaos_dragon_explosion	percussive	shockwave	10	0	11	40			0		none		1	False	40	wh_main_unit_explosion_medium	170	-1	True
wh2_main_def_black_dragon_explosion	percussive	shockwave	10	0	11	50			0		none	wh2_main_unit_contact_noxious_breath	0	False	25	wh_main_unit_explosion_medium	50	-1	True
wh2_main_def_war_hydra_explosion	percussive	shockwave	10	0	7	30			0		none		0	False	30	wh_main_unit_explosion_medium	120	-1	True
wh2_main_hef_moon_dragon_explosion	percussive	shockwave	10	0	11	20			0		none		1	False	50	wh_main_unit_explosion_medium	170	-1	True
wh2_main_hef_star_dragon_explosion	percussive	shockwave	10	0	11	50			0		none		1	False	50	wh_main_unit_explosion_medium	170	-1	True
wh2_main_hef_sun_dragon_explosion	percussive	shockwave	10	0	11	50			0		none		1	False	25	wh_main_unit_explosion_medium	170	-1	True
wh2_main_hero_abilities_doomrocket	fuse	shockwave	6	1	10	52	doom_shrapnel	wh2_main_abilities_doomrocket_impact	40		wh_rocket		1	True	26	wh_main_unit_explosion_light	150	-1	True
wh2_main_hero_abilities_doomrocket_shrapnel	percussive	shockwave	6	1	10	52		wh2_main_abilities_doomrocket_shrapnel_impact	-1		wh_rocket		1	True	26	wh_main_unit_explosion_light	150	1	True
wh2_main_lzd_bastiladon_solar_engine	percussive	shockwave	4	1	10	154		wh2_main_weapon_solar_engine_explosion	0				1	True	66	wh_main_unit_explosion_medium	200	-1	True
wh2_main_rebirth_miscast	percussive	shockwave	1	1	10	0			0		wh_generic_small	wh2_main_rebirth_miscast	0	False	0		0	-1	True
wh2_main_skaven_miscast	percussive	shockwave	3	1	12	400		wh2_main_machine_warp_lightning_cannon_explosion	0		wh_generic_small		0	True	300	wh_main_unit_explosion_light	150	-1	True
wh2_main_skv_death_globe	percussive	shockwave	4	0	15	15		wh2_main_death_cloud_impact	0	empty	wh2_globe_death		0	True	35	wh_main_unit_explosion_light	65	-1	True
wh2_main_skv_doomwheel_warp_lightning	percussive	shockwave	4	0	8	0		wh2_main_machine_warp_lightning_doomwheel_impact	0		wh_lord_of_the_storm		0	True	25	wh_main_unit_explosion_medium	75	-1	True
