regions_tables
5
key	r	g	b	owner_bundle	native
wh2_main_atalan_mountains_vulture_mountain	0	192	198	zar_sk_region_skaven_lair	grn
wh2_main_charnel_valley_karag_orrud	128	0	194	zar_sk_region_skaven_lair	grn
wh2_main_coast_of_araby_al_haikk	86	1	92	zar_sk_region_skaven_lair	brt
wh2_main_headhunters_jungle_oyxl	171	28	246	zar_sk_region_skaven_lair	lzd
wh2_main_hell_pit_hell_pit	23	0	111	zar_sk_region_skaven_lair	skv
wh2_main_iron_mountains_naggarond	41	23	103	zar_sk_region_skaven_lair	def
wh2_main_isthmus_of_lustria_hexoatl	166	41	92	zar_sk_region_skaven_lair	lzd
wh2_main_jungles_of_green_mists_spektazuma	120	249	137	zar_sk_region_skaven_lair	lzd
wh2_main_kingdom_of_beasts_temple_of_skulls	130	116	96	zar_sk_region_skaven_lair	lzd
wh2_main_land_of_assassins_lashiek	127	231	14	zar_sk_region_skaven_lair	brt
wh2_main_land_of_the_dead_khemri	26	174	17	zar_sk_region_skaven_lair	vmp
wh2_main_obsidian_peaks_clar_karond	148	205	69	zar_sk_region_skaven_lair	def
wh2_main_skavenblight_skavenblight	0	211	98	zar_sk_region_skaven_lair	skv
wh2_main_southern_great_jungle_itza	65	135	168	zar_sk_region_skaven_lair	lzd
wh2_main_southlands_jungle_teotiqua	157	136	113	zar_sk_region_skaven_lair	lzd
wh2_main_southlands_worlds_edge_mountains_karak_zorn	22	202	210	zar_sk_region_skaven_lair	dwf
wh2_main_spine_of_sotek_hualotal	219	178	135	zar_sk_region_skaven_lair	grn
wh2_main_the_chill_road_ghrond	71	68	153	zar_sk_region_skaven_lair	def
wh2_main_titan_peaks_ancient_city_of_quintex	122	73	208	zar_sk_region_skaven_lair	def
wh2_main_vampire_coast_the_awakening	21	97	68	zar_sk_region_skaven_lair	vmp
wh2_main_vor_cobra_pass_vulture_mountain	76	190	123	zar_sk_region_skaven_lair	dwf
wh2_main_vor_forest_of_the_viper_mirror_pool_of_tepok	123	138	61	zar_sk_region_skaven_lair	lzd
wh2_main_vor_headhunters_jungle_altar_of_the_horned_rat	49	240	239	zar_sk_region_skaven_lair	lzd
wh2_main_vor_iron_peaks_ancient_city_of_quintex	41	50	214	zar_sk_region_skaven_lair	def
wh2_main_vor_jungles_of_green_mist_spektazuma	174	244	117	zar_sk_region_skaven_lair	lzd
wh2_main_vor_land_of_assassins_lashiek	180	145	129	zar_sk_region_skaven_lair	brt
wh2_main_vor_land_of_the_dead_khemri	89	101	128	zar_sk_region_skaven_lair	vmp
wh2_main_vor_naggarond_naggarond	18	29	222	zar_sk_region_skaven_lair	def
wh2_main_vor_northern_great_jungle_itza	168	35	170	zar_sk_region_skaven_lair	lzd
wh2_main_vor_obsidian_peaks_keshta_vault	226	170	71	zar_sk_region_skaven_lair	def
wh2_main_vor_settlers_coast_skeggi	210	99	87	zar_sk_region_skaven_lair	emp
wh2_main_vor_shifting_mangrove_coastline_teotiqua	55	253	253	zar_sk_region_skaven_lair	lzd
wh2_main_vor_southern_jungles_yuatek	167	242	211	zar_sk_region_skaven_lair	lzd
wh2_main_vor_southlands_world_edge_mountains_karak_zorn	101	165	250	zar_sk_region_skaven_lair	dwf
wh2_main_vor_the_black_coast_bleak_hold_fortress	145	242	213	zar_sk_region_skaven_lair	def
wh2_main_vor_the_chill_road_ghrond	239	147	111	zar_sk_region_skaven_lair	def
wh2_main_vor_the_forbidden_jungle_sentinels_of_xeti	144	216	84	zar_sk_region_skaven_lair	lzd
wh2_main_vor_the_lost_valleys_oyxl	208	79	236	zar_sk_region_skaven_lair	lzd
wh2_main_vor_the_red_rivers_zlatan	118	68	121	zar_sk_region_skaven_lair	lzd
wh2_main_vor_the_vampire_coast_the_awakening	140	119	74	zar_sk_region_skaven_lair	vmp
wh_main_blightwater_karak_azgal	235	96	249	zar_sk_region_skaven_lair	grn
wh_main_bordeleaux_et_aquitaine_bordeleaux	50	64	187	zar_sk_region_skaven_lair	brt
wh_main_carcassone_et_brionne_castle_carcassonne	199	105	218	zar_sk_region_skaven_lair	brt
wh_main_death_pass_karak_drazh	152	157	251	zar_sk_region_skaven_lair	grn
wh_main_desolation_of_nagash_karak_azul	194	149	54	zar_sk_region_skaven_lair	dwf
wh_main_eastern_badlands_karak_eight_peaks	45	230	239	zar_sk_region_skaven_lair	grn
wh_main_eastern_border_princes_akendorf	185	53	125	zar_sk_region_skaven_lair	emp
wh_main_eastern_sylvania_castle_drakenhof	94	178	248	zar_sk_region_skaven_lair	vmp
wh_main_estalia_magritta	50	199	42	zar_sk_region_skaven_lair	emp
wh_main_gianthome_mountains_kraka_drak	93	83	42	zar_sk_region_skaven_lair	dwf
wh_main_lyonesse_mousillon	174	197	56	zar_sk_region_skaven_lair	vmp
wh_main_middenland_middenheim	209	194	5	zar_sk_region_skaven_lair	emp
wh_main_northern_worlds_edge_mountains_karak_ungor	16	99	83	zar_sk_region_skaven_lair	grn
wh_main_parravon_et_quenelles_parravon	125	26	124	zar_sk_region_skaven_lair	brt
wh_main_peak_pass_karak_kadrin	234	252	229	zar_sk_region_skaven_lair	dwf
wh_main_reikland_altdorf	3	123	70	zar_sk_region_skaven_lair	emp
wh_main_southern_grey_mountains_karak_norn	245	187	168	zar_sk_region_skaven_lair	dwf
wh_main_southern_oblast_kislev	106	80	21	zar_sk_region_skaven_lair	emp
wh_main_talabecland_talabheim	69	244	167	zar_sk_region_skaven_lair	emp
wh_main_the_silver_road_karaz_a_karak	253	123	167	zar_sk_region_skaven_lair	dwf
wh_main_the_vaults_karak_izor	69	198	188	zar_sk_region_skaven_lair	dwf
wh_main_the_wasteland_marienburg	217	17	38	zar_sk_region_skaven_lair	emp
wh_main_tilea_miragliano	106	23	217	zar_sk_region_skaven_lair	emp
wh_main_western_badlands_ekrund	76	161	168	zar_sk_region_skaven_lair	grn
wh_main_wissenland_nuln	213	154	139	zar_sk_region_skaven_lair	emp
wh2_main_vor_the_jungles_of_the_gods_tor_surpindar	51	90	20	zar_sk_region_skaven_lair	hef
