ui_unit_bullet_point_unit_overrides_tables
0
bullet_point	unit_key
magical_aura	wh_main_vmp_cha_heinrich_kemmler
knockback_hit_resist	wh_dlc06_chs_inf_aspiring_champions_0
knockback_hit_resist	wh_main_chs_inf_chosen_0
knockback_hit_resist	wh_main_chs_inf_chosen_1
knockback_hit_resist	wh_dlc01_chs_inf_chosen_2
knockback_hit_resist	wh_main_chs_inf_chaos_warriors_0
knockback_hit_resist	wh_dlc01_chs_inf_chaos_warriors_2
knockback_hit_resist	wh_main_chs_inf_chaos_warriors_1
vigorous	wh_dlc06_chs_inf_aspiring_champions_0
vigorous	wh_main_chs_inf_chosen_0
vigorous	wh_main_chs_inf_chosen_1
vigorous	wh_dlc01_chs_inf_chosen_2
vigorous	wh_main_vmp_cav_hexwraiths
vigorous	wh_main_vmp_inf_cairn_wraiths
lethal_poison	wh_main_vmp_inf_crypt_ghouls
lethal_poison	wh_main_vmp_mon_crypt_horrors
lethal_poison	wh_dlc04_vmp_inf_feasters_in_the_dusk_0
lethal_poison	wh_main_grn_cha_orc_warboss_1
lethal_poison	wh_main_grn_cha_azhag_the_slaughterer_1
lethal_poison	wh_dlc03_bst_cha_khazrak_one_eye_0
lethal_poison	wh_dlc03_bst_cha_khazrak_one_eye_1
vigorous	wh_dlc07_brt_cha_fay_enchantress_0
vigorous	wh_dlc07_brt_cha_fay_enchantress_1
vigorous	wh_main_chs_cav_chaos_knights_0
vigorous	wh_main_chs_cav_chaos_knights_1
knockback_hit_resist	wh_main_chs_cav_chaos_knights_0
knockback_hit_resist	wh_main_chs_cav_chaos_knights_1
vigorous	wh_dlc07_brt_cha_green_knight_0
vigorous	wh_dlc07_brt_cav_grail_guardians_0
vigorous	wh_main_brt_cav_grail_knights
vigorous	wh_dlc07_brt_cav_royal_pegasus_knights_0
lethal_poison	wh_main_grn_cha_goblin_big_boss_2
lethal_poison	wh_dlc06_grn_cav_deff_creepers_0
knockback_hit_resist	wh_main_grn_inf_black_orcs
lethal_poison	wh_main_vmp_cha_mannfred_von_carstein_3
lethal_poison	wh_main_vmp_cha_vampire_lord_3
lethal_poison	wh_dlc05_vmp_cha_red_duke_3
resilience	wh_main_vmp_inf_grave_guard_0
resilience	wh_main_vmp_inf_grave_guard_1
resilience	wh_main_vmp_inf_zombie
resilience	wh_main_vmp_inf_zombie_summoned
resilience	wh_main_vmp_inf_grave_guard_0_summoned
resilience	wh_main_vmp_cha_wight_king_0
resilience	wh_main_vmp_cha_wight_king_1
resilience	wh_main_vmp_cha_wight_king_0_summoned
resilience	wh_dlc04_vmp_inf_tithe_0
resilience	wh_main_vmp_cav_black_knights_0
resilience	wh_main_vmp_cav_black_knights_3
lethal_poison	wh_main_nor_mon_chaos_warhounds_1
lethal_poison	wh_main_chs_mon_chaos_warhounds_1
lethal_poison	wh_dlc03_bst_inf_chaos_warhounds_1
knockback_hit_resist	wh_main_grn_cha_grimgor_ironhide
lethal_poison	wh_pro04_wef_inf_wildwood_rangers_ror_0
vigorous	wh_pro04_chs_cav_chaos_knights_ror_0
knockback_hit_resist	wh_pro04_chs_cav_chaos_knights_ror_0
vigorous	wh_pro04_chs_inf_chaos_warriors_ror_0
knockback_hit_resist	wh_pro04_chs_inf_chaos_warriors_ror_0
knockback_hit_resist	wh_pro04_bst_inf_bestigor_herd_ror_0
vigorous	wh_dlc07_brt_cav_royal_hippogryph_knights_0
lethal_poison	wh2_main_def_cav_cold_one_knights_1
