ui_unit_bullet_point_unit_overrides_tables
0
bullet_point	unit_key
armour_piercing_ranged	wh2_main_def_art_reaper_bolt_thrower
multishot	wh2_main_def_art_reaper_bolt_thrower
anti_infantry	wh2_main_def_cav_cold_one_chariot
armour_piercing	wh2_main_def_cav_cold_one_chariot
armoured	wh2_main_def_cav_cold_one_chariot
anti_large	wh2_main_def_cav_cold_one_knights_0
armour_piercing	wh2_main_def_cav_cold_one_knights_0
armoured_and_shielded	wh2_main_def_cav_cold_one_knights_0
armour_piercing	wh2_main_def_cav_cold_one_knights_1
armoured_and_shielded	wh2_main_def_cav_cold_one_knights_1
vanguard_deployment	wh2_main_def_cav_dark_riders_0
very_fast	wh2_main_def_cav_dark_riders_0
shielded	wh2_main_def_cav_dark_riders_1
vanguard_deployment	wh2_main_def_cav_dark_riders_1
very_fast	wh2_main_def_cav_dark_riders_1
armour_piercing_ranged	wh2_main_def_cav_dark_riders_2
vanguard_deployment	wh2_main_def_cav_dark_riders_2
very_fast	wh2_main_def_cav_dark_riders_2
anti_infantry	wh2_main_def_cha_death_hag_0
damage_dealer	wh2_main_def_cha_death_hag_0
frenzy	wh2_main_def_cha_death_hag_0
poison	wh2_main_def_cha_death_hag_0
anti_infantry	wh2_main_def_cha_death_hag_1
frenzy	wh2_main_def_cha_death_hag_1
poison	wh2_main_def_cha_death_hag_1
terror	wh2_main_def_cha_death_hag_1
armour_piercing_ranged	wh2_main_def_cha_dreadlord_0_black_ark
armoured	wh2_main_def_cha_dreadlord_0_black_ark
armour_piercing_ranged	wh2_main_def_cha_dreadlord_0
armoured	wh2_main_def_cha_dreadlord_0
armour_piercing_ranged	wh2_main_def_cha_dreadlord_1
armoured	wh2_main_def_cha_dreadlord_1
very_fast	wh2_main_def_cha_dreadlord_1
armour_piercing	wh2_main_def_cha_dreadlord_2
armoured	wh2_main_def_cha_dreadlord_2
armour_piercing	wh2_main_def_cha_dreadlord_4
armoured	wh2_main_def_cha_dreadlord_4
dragon_breath_noxious	wh2_main_def_cha_dreadlord_4
terror	wh2_main_def_cha_dreadlord_4
armour_piercing_ranged	wh2_main_def_cha_dreadlord_5
armoured	wh2_main_def_cha_dreadlord_5
very_fast	wh2_main_def_cha_dreadlord_5
armoured_and_shielded	wh2_main_def_cha_dreadlord_female_0
melee_expert	wh2_main_def_cha_dreadlord_female_0
armoured_and_shielded	wh2_main_def_cha_dreadlord_female_1
melee_expert	wh2_main_def_cha_dreadlord_female_1
very_fast	wh2_main_def_cha_dreadlord_female_1
armour_piercing	wh2_main_def_cha_dreadlord_female_2
armoured_and_shielded	wh2_main_def_cha_dreadlord_female_2
melee_expert	wh2_main_def_cha_dreadlord_female_2
armour_piercing	wh2_main_def_cha_dreadlord_female_4
armoured	wh2_main_def_cha_dreadlord_female_4
dragon_breath_noxious	wh2_main_def_cha_dreadlord_female_4
terror	wh2_main_def_cha_dreadlord_female_4
armoured_and_shielded	wh2_main_def_cha_dreadlord_female_5
melee_expert	wh2_main_def_cha_dreadlord_female_5
very_fast	wh2_main_def_cha_dreadlord_female_5
duellist	wh2_main_def_cha_khainite_assassin_0
good_against_gates_assassin	wh2_main_def_cha_khainite_assassin_0
poison	wh2_main_def_cha_khainite_assassin_0
stalk	wh2_main_def_cha_khainite_assassin_0
armoured_and_shielded	wh2_main_def_cha_malekith_0
melee_expert	wh2_main_def_cha_malekith_0
spellcaster	wh2_main_def_cha_malekith_0
armour_piercing	wh2_main_def_cha_malekith_1
armoured_and_shielded	wh2_main_def_cha_malekith_1
melee_expert	wh2_main_def_cha_malekith_1
spellcaster	wh2_main_def_cha_malekith_1
anti_infantry	wh2_main_def_cav_dark_riders_0
armour_piercing	wh2_main_def_cha_malekith_2
armoured	wh2_main_def_cha_malekith_2
spellcaster	wh2_main_def_cha_malekith_2
armoured	wh2_main_def_cha_malekith_3
dragon_breath_noxious	wh2_main_def_cha_malekith_3
spellcaster	wh2_main_def_cha_malekith_3
terror	wh2_main_def_cha_malekith_3
anti_large	wh2_main_def_cha_morathi_0
armour_piercing	wh2_main_def_cha_morathi_0
spellcaster	wh2_main_def_cha_morathi_0
anti_large	wh2_main_def_cha_morathi_1
armour_piercing	wh2_main_def_cha_morathi_1
spellcaster	wh2_main_def_cha_morathi_1
very_fast	wh2_main_def_cha_morathi_1
spellcaster	wh2_main_def_cha_sorceress_dark_0
spellcaster	wh2_main_def_cha_sorceress_dark_1
very_fast	wh2_main_def_cha_sorceress_dark_1
armour_piercing	wh2_main_def_cha_sorceress_dark_2
spellcaster	wh2_main_def_cha_sorceress_dark_2
spellcaster	wh2_main_def_cha_sorceress_dark_3
very_fast	wh2_main_def_cha_sorceress_dark_3
spellcaster	wh2_main_def_cha_sorceress_fire_0
spellcaster	wh2_main_def_cha_sorceress_fire_1
very_fast	wh2_main_def_cha_sorceress_fire_1
armour_piercing	wh2_main_def_cha_sorceress_fire_2
spellcaster	wh2_main_def_cha_sorceress_fire_2
spellcaster	wh2_main_def_cha_sorceress_fire_3
very_fast	wh2_main_def_cha_sorceress_fire_3
spellcaster	wh2_main_def_cha_sorceress_shadow_0
spellcaster	wh2_main_def_cha_sorceress_shadow_1
very_fast	wh2_main_def_cha_sorceress_shadow_1
armour_piercing	wh2_main_def_cha_sorceress_shadow_2
spellcaster	wh2_main_def_cha_sorceress_shadow_2
spellcaster	wh2_main_def_cha_sorceress_shadow_3
very_fast	wh2_main_def_cha_sorceress_shadow_3
anti_infantry	wh2_main_def_cav_dark_riders_1
sea_dragon_cloak	wh2_main_def_inf_black_ark_corsairs_0
fire_whilst_moving	wh2_main_def_inf_black_ark_corsairs_1
sea_dragon_cloak	wh2_main_def_inf_black_ark_corsairs_1
anti_large	wh2_main_def_inf_black_guard_0
armour_piercing	wh2_main_def_inf_black_guard_0
armoured	wh2_main_def_inf_black_guard_0
charge_reflector_vs_large	wh2_main_def_inf_black_guard_0
shielded	wh2_main_def_inf_bleakswords_0
armour_piercing_ranged	wh2_main_def_inf_darkshards_0
armour_piercing_ranged	wh2_main_def_inf_darkshards_1
shielded	wh2_main_def_inf_darkshards_1
anti_large	wh2_main_def_inf_dreadspears_0
charge_reflector_vs_large	wh2_main_def_inf_dreadspears_0
shielded	wh2_main_def_inf_dreadspears_0
anti_infantry	wh2_main_def_inf_har_ganeth_executioners_0
armour_piercing	wh2_main_def_inf_har_ganeth_executioners_0
armoured	wh2_main_def_inf_har_ganeth_executioners_0
murderous_mastery	wh2_main_def_inf_har_ganeth_executioners_0
vanguard_deployment	wh2_main_def_inf_harpies
very_fast	wh2_main_def_inf_harpies
armour_piercing_ranged	wh2_main_def_inf_shades_0
stalk	wh2_main_def_inf_shades_0
vanguard_deployment	wh2_main_def_inf_shades_0
anti_infantry	wh2_main_def_inf_shades_1
armour_piercing_ranged	wh2_main_def_inf_shades_1
stalk	wh2_main_def_inf_shades_1
vanguard_deployment	wh2_main_def_inf_shades_1
anti_infantry	wh2_main_def_inf_shades_2
armour_piercing	wh2_main_def_inf_shades_2
stalk	wh2_main_def_inf_shades_2
vanguard_deployment	wh2_main_def_inf_shades_2
anti_infantry	wh2_main_def_inf_witch_elves_0
dodge	wh2_main_def_inf_witch_elves_0
madness_of_khaine	wh2_main_def_inf_witch_elves_0
murderous_mastery	wh2_main_def_inf_witch_elves_0
armour_piercing	wh2_main_def_mon_black_dragon
