unit_abilities_to_additional_ui_effects_juncs_tables
0
unknown0	unknown1
wh_main_unit_passive_bloodknight_regeneration	wh_main_all_replenish
wh_main_unit_passive_grailknight_regeneration	wh_main_all_replenish
wh_main_unit_passive_trollflesh	wh_main_all_replenish
vmp_black_grail_regeneration	wh_main_all_replenish
vmp_unit_terrorgheist_shreik	wh_main_all_direct_damage
we_spell_passive_shadow_dancers_mana_regen	wh_main_all_improved_recharge_rate
wh_main_lord_passive_dorghar	wh_main_all_replenish
wh_main_lord_passive_kemmler	wh_main_all_direct_damage
we_spell_shadow_dancers_withering	wh_main_all_direct_damage
we_spell_shadow_dancers_withering	wh_main_all_strong_against_multiple
chs_zealot_dark_healing	wh_main_all_replenish
chs_soul_drain	wh_main_all_direct_damage
wh_main_unit_passive_hydra	wh_main_all_replenish
