unit_set_to_unit_junctions_tables
0
exclude	unit_caste	unit_category	unit_class	unit_record	unit_set
False				brt_macemen	wh_dlc07_peasant_economy_unit_set
False				brt_crossbow	wh_dlc07_peasant_economy_unit_set
False				brt_tournament	dlc07_brt_grail_vow
False				brt_tournament	brt_knights
False				brt_macemen	brt_sword_inf
False				brt_crossbow	brt_sword_inf
False				brt_crossbow	brt_bow_inf
False				bst_Pestigor	bst_dlc03_melee_infantry_tier_2
False				bst_Pestigor	bst_dlc03_bestigors
False				bst_Khorngor	bst_dlc03_melee_infantry_tier_2
False				bst_Khorngor	bst_dlc03_bestigors
False				bst_Slaangor	bst_dlc03_melee_infantry_tier_2
False				bst_Slaangor	bst_dlc03_bestigors
False				bst_Tzaangor	bst_dlc03_bestigors
False				bst_Tzaangor	bst_dlc03_melee_infantry_tier_2
False				emp_imp_guard	emp_melee_infantry_tier_2
False				emp_imp_guard	emp_reiksguard
False				emp_imp_guard	emp_infantry
False				emp_imp_guard	emp_halberds
False				emp_witch_squad	emp_crossbow
False				emp_witch_squad	emp_infantry
False				emp_witch_squad	emp_swords
False				emp_witch_squad	emp_melee_infantry_tier_2
False				emp_sigmar_war	emp_flagellants
False				emp_sigmar_war	emp_infantry
False				emp_sigmar_war	emp_melee_infantry_tier_2
False				emp_huntsmen	emp_infantry
False				emp_huntsmen	emp_crossbow
False				emp_huntsmen	emp_state_troops
False				emp_nuln_ironsides	emp_infantry
False				emp_nuln_ironsides	emp_melee_infantry_tier_2
False				emp_nuln_ironsides	emp_handgunners
False				emp_nuln_ironsides	emp_state_troops
False				emp_knights_panther	emp_knights
False				emp_knights_panther	cavalry_units
False				emp_knights_panther	emp_reiksguard
False				dwf_oathsworn	dwf_hammerers
False				dwf_oathsworn	dwf_infantry
False				dwf_oathsworn	dwf_melee_infantry
False				dwf_giant_slayer	dwf_infantry
False				dwf_giant_slayer	dwf_melee_infantry
False				dwf_giant_slayer	dwf_slayers
False				dwf_sniper	dwf_blackpowder
False				dwf_sniper	dwf_infantry_ranged
False				dwf_sniper	dwf_infantry
False				dwf_sniper	dwf_ranged_tier_2
False				dwf_giant_slayer	dwf_wpn_handweapon
False				dwf_oathsworn	dwf_wpn_hammer
False				chs_zelot	chs_all
False				chs_chaos_dragon	chs_all
False				chs_marauder_mutant	chs_all
False				chs_marauder_mutant	chs_forsaken
False				grn_savage_big_great	grn_melee_infantry_tier_2
False				grn_savage_big_great	grn_dlc06_savage_orcs
False				grn_savage_big_great	grn_dlc06_savage_orc_infantry
False				grn_savage_big_great	grn_infantry_orc
False				grn_savage_big_great	grn_orcs
False				grn_black_orc_shields	grn_melee_infantry_tier_2
False				grn_black_orc_shields	grn_orcs
True				grn_black_orc_shields	all_units_excluding_immune_to_psychology
False				grn_black_orc_shields	grn_black_orcs
False				grn_black_orc_shields	grn_infantry_orc
False				grn_black_orc_boss	grn_black_orcs
False				grn_black_orc_boss	grn_infantry_orc
False				grn_black_orc_boss	grn_melee_infantry_tier_2
False				grn_black_orc_boss	grn_orcs
True				grn_black_orc_boss	all_units_excluding_immune_to_psychology
True				grn_forest_spear	all_units_excluding_guerrilla_deployment
True				grn_forest_spear	all_units_excluding_strider
False				grn_forest_spear	grn_spears
False				grn_forest_spear	grn_infantry_goblin
False				grn_forest_spear	grn_goblins
False				grn_forest_spear	grn_spear_infantry
False				grn_forest_spear	grn_dlc06_da_warlords_boyz
False				grn_forest_spear	grn_dlc06_night_goblins_and_goblins
False				grn_nightgoblin_spearmen	grn_infantry_goblin
False				grn_nightgoblin_spearmen	grn_melee_infantry_tier_1
False				grn_nightgoblin_spearmen	grn_spear_infantry
False				grn_nightgoblin_spearmen	grn_spears
False				grn_nightgoblin_spearmen	grn_goblins
False				grn_nightgoblin_spearmen	grn_night_goblins
False				grn_nightgoblin_spearmen	grn_dlc06_night_goblins_and_goblins
False				vmp_black_grail	vmp_all
False				vmp_black_grail	vmp_blood_knights
False				vmp_blood_dragon	vmp_blood_knights
False				vmp_blood_dragon	vmp_all
False				vmp_zombie_dragon	vmp_all
False				wef_shadowdancer	wef_dlc05_wardancers
False				wef_shadowdancer	wef_dlc05_wood_elf_elf_units
False				wef_eternal_sword	wef_dlc05_eternal_guard
False				wef_eternal_sword	wef_dlc05_wood_elf_elf_units
False				wef_eternal_sword	wef_dlc05_wood_elf_infantry
False				wef_wildwood_warden	wef_dlc05_wood_elf_elf_units
False				wef_wildwood_warden	wef_dlc05_wood_elf_infantry
False				wef_wildwood_warden	wef_dlc05_wood_elf_elite_elven_units
