unit_variants_colours_tables
2
faction	primary_colour_b	primary_colour_g	primary_colour_r	secondary_colour_b	secondary_colour_g	secondary_colour_r	soldier_type	tertiary_colour_b	tertiary_colour_g	tertiary_colour_r	unknown11	unknown12	unknown13
wh_dlc03_bst_beastmen	10	150	100	15	15	15	soldier	10	150	100	404957	0	bst_Pestigor
wh_dlc03_bst_beastmen	0	0	175	0	0	175	soldier	0	0	0	345555	0	bst_Khorngor
wh_dlc03_bst_beastmen	75	10	75	20	100	100	soldier	50	10	50	56739	0	bst_Slaangor
wh_dlc03_bst_beastmen	235	235	235	175	75	20	soldier	100	50	10	555446	0	bst_Tzaangor
wh_dlc03_bst_redhorn	10	150	100	15	15	15	soldier	10	150	100	404957	0	bst_Pestigor
wh_dlc03_bst_redhorn	0	0	175	0	0	175	soldier	0	0	0	345555	0	bst_Khorngor
wh_dlc03_bst_redhorn	75	10	75	20	100	100	soldier	50	10	50	56739	0	bst_Slaangor
wh_dlc03_bst_redhorn	235	235	235	175	75	20	soldier	100	50	10	555446	0	bst_Tzaangor
wh_dlc03_bst_redhorn_brayherd	10	150	100	15	15	15	soldier	10	150	100	404957	0	bst_Pestigor
wh_dlc03_bst_redhorn_brayherd	0	0	175	0	0	175	soldier	0	0	0	345555	0	bst_Khorngor
wh_dlc03_bst_redhorn_brayherd	75	10	75	20	100	100	soldier	50	10	50	56739	0	bst_Slaangor
wh_dlc03_bst_redhorn_brayherd	235	235	235	175	75	20	soldier	100	50	10	555446	0	bst_Tzaangor
wh_dlc03_bst_jagged_horn	10	150	100	15	15	15	soldier	10	150	100	404957	0	bst_Pestigor
wh_dlc03_bst_jagged_horn	0	0	175	0	0	175	soldier	0	0	0	345555	0	bst_Khorngor
wh_dlc03_bst_jagged_horn	75	10	75	20	100	100	soldier	50	10	50	56739	0	bst_Slaangor
wh_dlc03_bst_jagged_horn	235	235	235	175	75	20	soldier	100	50	10	555446	0	bst_Tzaangor
wh_dlc03_bst_jagged_horn_brayherd	10	150	100	15	15	15	soldier	10	150	100	404957	0	bst_Pestigor
wh_dlc03_bst_jagged_horn_brayherd	0	0	175	0	0	175	soldier	0	0	0	345555	0	bst_Khorngor
wh_dlc03_bst_jagged_horn_brayherd	75	10	75	20	100	100	soldier	50	10	50	56739	0	bst_Slaangor
