units_custom_battle_permissions_tables
7
faction	general_unit	unit	siege_unit_attacker	siege_unit_defender	general_portrait	general_uniform	set_piece_character
wh_main_brt_bretonnia	False	brt_macemen	True	True			
wh_main_brt_bordeleaux	False	brt_macemen	True	True			
wh_main_brt_carcassonne	False	brt_macemen	True	True			
wh_main_brt_carcassonne	False	brt_crossbow	True	True			
wh_main_brt_bretonnia	False	brt_crossbow	True	True			
wh_main_brt_bordeleaux	False	brt_crossbow	True	True			
wh_main_brt_carcassonne	False	brt_tournament	True	True			
wh_main_brt_bretonnia	False	brt_tournament	True	True			
wh_main_brt_bordeleaux	False	brt_tournament	True	True			
wh_dlc03_bst_beastmen	False	bst_Pestigor	True	True			
wh_dlc03_bst_beastmen	False	bst_Khorngor	True	True			
wh_dlc03_bst_beastmen	False	bst_Slaangor	True	True			
wh_dlc03_bst_beastmen	False	bst_Tzaangor	True	True			
wh_main_chs_chaos	False	chs_zelot	True	True			
wh_main_chs_chaos	False	chs_marauder_mutant	True	True			
wh_main_chs_chaos	False	chs_chaos_dragon	True	True			
wh_main_dwf_dwarfs	False	dwf_oathsworn	True	True			
wh_main_dwf_dwarfs	False	dwf_giant_slayer	True	True			
wh_main_dwf_dwarfs	False	dwf_sniper	True	True			
wh_main_dwf_karak_izor	False	dwf_oathsworn	True	True			
wh_main_dwf_karak_izor	False	dwf_giant_slayer	True	True			
wh_main_dwf_karak_izor	False	dwf_sniper	True	True			
wh_main_emp_empire	False	emp_imp_guard	True	True			
wh_main_emp_empire	False	emp_sigmar_war	True	True			
wh_main_emp_empire	False	emp_huntsmen	True	True			
wh_main_emp_empire	False	emp_witch_squad	True	True			
wh_main_emp_empire	False	emp_nuln_ironsides	True	True			
wh_main_emp_empire	False	emp_knights_panther	True	True			
wh_main_grn_greenskins	False	grn_savage_big_great	True	True			
wh_main_grn_crooked_moon	False	grn_savage_big_great	True	True			
wh_main_grn_orcs_of_the_bloody_hand	False	grn_savage_big_great	True	True			
wh_main_grn_greenskins	False	grn_forest_spear	True	True			
wh_main_grn_crooked_moon	False	grn_forest_spear	True	True			
wh_main_grn_orcs_of_the_bloody_hand	False	grn_forest_spear	True	True			
wh_main_grn_greenskins	False	grn_black_orc_boss	True	True			
wh_main_grn_crooked_moon	False	grn_black_orc_boss	True	True			
wh_main_grn_orcs_of_the_bloody_hand	False	grn_black_orc_boss	True	True			
wh_main_grn_greenskins	False	grn_black_orc_shields	True	True			
wh_main_grn_crooked_moon	False	grn_black_orc_shields	True	True			
wh_main_grn_orcs_of_the_bloody_hand	False	grn_black_orc_shields	True	True			
wh_main_grn_greenskins	False	grn_nightgoblin_spearmen	True	True			
wh_main_grn_crooked_moon	False	grn_nightgoblin_spearmen	True	True			
wh_main_vmp_mousillon	False	vmp_black_grail	True	True			
wh_main_vmp_schwartzhafen	False	vmp_black_grail	True	True			
wh_main_vmp_vampire_counts	False	vmp_black_grail	True	True			
wh_main_vmp_mousillon	False	vmp_blood_dragon	True	True			
wh_main_vmp_schwartzhafen	False	vmp_blood_dragon	True	True			
wh_main_vmp_vampire_counts	False	vmp_blood_dragon	True	True			
wh_main_vmp_mousillon	False	vmp_zombie_dragon	True	True			
wh_main_vmp_schwartzhafen	False	vmp_zombie_dragon	True	True			
wh_main_vmp_vampire_counts	False	vmp_zombie_dragon	True	True			
wh_dlc05_wef_wood_elves	False	wef_shadowdancer	True	True			
wh_dlc05_wef_argwylon	False	wef_shadowdancer	True	True			
wh_dlc05_wef_wood_elves	False	wef_eternal_sword	True	True			
wh_dlc05_wef_argwylon	False	wef_eternal_sword	True	True			
wh_dlc05_wef_wood_elves	False	wef_wildwood_warden	True	True			
wh_dlc05_wef_argwylon	False	wef_wildwood_warden	True	True			
wh_main_emp_middenland	False	emp_huntsmen	True	True			
wh_main_emp_middenland	False	emp_nuln_ironsides	True	True			
wh_main_emp_middenland	False	emp_knights_panther	True	True			
wh_dlc05_bst_mini_morghur_herd	False	bst_Khorngor	True	True			
wh_dlc05_bst_mini_morghur_herd	False	bst_Pestigor	True	True			
wh_dlc05_bst_mini_morghur_herd	False	bst_Slaangor	True	True			
wh_dlc05_bst_mini_morghur_herd	False	bst_Tzaangor	True	True			
