units_custom_battle_permissions_tables
7
faction	general_unit	unit	siege_unit_attacker	siege_unit_defender	general_portrait	general_uniform	set_piece_character
wh2_main_def_cult_of_pleasure	False	wh2_main_def_art_reaper_bolt_thrower	True	True			
wh2_main_def_cult_of_pleasure	False	wh2_main_def_cav_cold_one_chariot	True	True			
wh2_main_def_cult_of_pleasure	False	wh2_main_def_cav_cold_one_knights_0	True	True			
wh2_main_def_cult_of_pleasure	False	wh2_main_def_cav_cold_one_knights_1	True	True			
wh2_main_def_cult_of_pleasure	False	wh2_main_def_cav_dark_riders_0	True	True			
wh2_main_def_cult_of_pleasure	False	wh2_main_def_cav_dark_riders_1	True	True			
wh2_main_def_cult_of_pleasure	False	wh2_main_def_cav_dark_riders_2	True	True			
wh2_main_def_cult_of_pleasure	False	wh2_main_def_cha_death_hag_0	True	True	ui/portraits/portholes/wh2_main_def_dark_elves/def_death_hag_campaign_01_0.png	wh2_main_uniform_def_death_hag_01	wh2_main_def_cha_death_hag_0
wh2_main_def_cult_of_pleasure	False	wh2_main_def_cha_death_hag_1	True	True	ui/portraits/portholes/wh2_main_def_dark_elves/def_death_hag_campaign_01_0.png	wh2_main_uniform_def_death_hag_01	wh2_main_def_cha_death_hag_0
wh2_main_def_cult_of_pleasure	True	wh2_main_def_cha_dreadlord_0	True	True	ui/portraits/portholes/wh2_main_def_dark_elves/def_dreadlord_campaign_02_0.png	wh2_main_uniform_def_dreadlord_02	wh2_main_def_cha_dreadlord_0
wh2_main_def_cult_of_pleasure	True	wh2_main_def_cha_dreadlord_1	True	True	ui/portraits/portholes/wh2_main_def_dark_elves/def_dreadlord_campaign_02_0.png	wh2_main_uniform_def_dreadlord_02	wh2_main_def_cha_dreadlord_0
wh2_main_def_cult_of_pleasure	True	wh2_main_def_cha_dreadlord_2	True	True	ui/portraits/portholes/wh2_main_def_dark_elves/def_dreadlord_campaign_02_0.png	wh2_main_uniform_def_dreadlord_02	wh2_main_def_cha_dreadlord_0
wh2_main_def_cult_of_pleasure	True	wh2_main_def_cha_dreadlord_4	True	True	ui/portraits/portholes/wh2_main_def_dark_elves/def_dreadlord_campaign_02_0.png	wh2_main_uniform_def_dreadlord_02	wh2_main_def_cha_dreadlord_0
