units_to_groupings_military_permissions_tables
0
unit	military_group
brt_macemen	wh_main_group_bretonnia
brt_crossbow	wh_main_group_bretonnia
brt_tournament	wh_main_group_bretonnia
bst_Pestigor	wh_dlc03_group_beastmen
bst_Khorngor	wh_dlc03_group_beastmen
bst_Slaangor	wh_dlc03_group_beastmen
bst_Tzaangor	wh_dlc03_group_beastmen
chs_zelot	wh_main_group_chaos
chs_marauder_mutant	wh_main_group_chaos
chs_chaos_dragon	wh_main_group_chaos
dwf_oathsworn	wh_main_group_dwarfs
dwf_giant_slayer	wh_main_group_dwarfs
dwf_sniper	wh_main_group_dwarfs
emp_imp_guard	wh_main_group_empire
emp_huntsmen	wh_main_group_empire
emp_sigmar_war	wh_main_group_empire
emp_witch_squad	wh_main_group_empire
emp_nuln_ironsides	wh_main_group_empire
emp_knights_panther	wh_main_group_empire
emp_imp_guard	wh_main_group_empire_reikland
emp_huntsmen	wh_main_group_empire_reikland
emp_sigmar_war	wh_main_group_empire_reikland
emp_witch_squad	wh_main_group_empire_reikland
emp_nuln_ironsides	wh_main_group_empire_reikland
emp_knights_panther	wh_main_group_empire_reikland
grn_savage_big_great	wh_main_group_savage_orcs
grn_savage_big_great	wh_main_group_greenskins
grn_black_orc_shields	wh_main_group_greenskins
grn_black_orc_boss	wh_main_group_greenskins
grn_forest_spear	wh_main_group_greenskins
grn_forest_spear	wh_main_group_savage_orcs
grn_nightgoblin_spearmen	wh_main_group_greenskins
vmp_black_grail	wh_main_group_vampire_counts
vmp_blood_dragon	wh_main_group_vampire_counts
vmp_zombie_dragon	wh_main_group_vampire_counts
wef_shadowdancer	wh_dlc05_group_wood_elves
wef_eternal_sword	wh_dlc05_group_wood_elves
wef_wildwood_warden	wh_dlc05_group_wood_elves
