_kv_ui_tweakers_tables
0
key	value
battle_capture_point_spline_wall_height	15
battle_id_base_size	0.6
battle_id_bob_height	0.5
battle_id_bob_speed	0.8
battle_id_fade_duration_ms	400
battle_id_fade_end	8
battle_id_fade_start	12
battle_id_forest_height_offset	0
battle_id_height	0
battle_id_highlight_unary_mouseover	0.2
battle_id_highlight_unary_selected	0.6
battle_id_max_size	3
battle_id_scale_weight	0.015
battle_leaf_clip_proximity	150
campaign_agent_id_height	0.5
campaign_battle_site_marker_height	2
campaign_citybar_fade_end	64
campaign_citybar_fade_start	42
campaign_citybar_height	1
campaign_flag_fade_duration_ms	500
campaign_flag_fade_start	0
campaign_flag_scale_end_distance	2
campaign_flag_scale_min	0.2
campaign_flag_scale_start_distance	30
campaign_flag_settlement_height	1
campaign_tooltip_delay_ms	300
missile_damage_over_this_much_time	10
tacmap_dbl_click_threshold_ms	0
tacmap_face_current_direction	1
tacmap_hold_threshold_ms	100
tacmap_instant_transition	0
tacmap_is_moveable	1
tacmap_light_change_duration_ms	1000
tacmap_max_height	10000
tacmap_max_height_offset	0
tacmap_min_height	90
tacmap_move_speed_multiplier	4
tacmap_near_clip_height_threshold	140
tacmap_near_clip_max	90
tacmap_near_clip_min	40
tacmap_rotate_speed_multiplier	0.05
tacmap_smoothing_decay	-8
tacmap_starts_low	0
tacmap_transition_duration_s	0.5
tacmap_unit_draw_dist	150
tacmap_zoom_speed_multiplier	60
tacmap_zoom_to_cursor	1
