advice_threads_tables
1
thread	unknown1
dlc03.camp.advice.bst.beast_paths.001	beastmen_owners
dlc03.camp.advice.bst.beastmen.001	beastmen_owners
dlc03.camp.advice.bst.bestial_rage.001	beastmen_owners
dlc03.camp.advice.bst.bestial_rage.002	beastmen_owners
dlc03.camp.advice.bst.brayherds.001	beastmen_owners
dlc03.camp.advice.bst.encampment.001	beastmen_owners
dlc03.camp.advice.bst.hordes.001	beastmen_owners
dlc03.camp.prelude.bst.intro.001	beastmen_owners
dlc03.camp.prelude.bst.intro.002	beastmen_owners
dlc03.camp.prelude.bst.intro.003	beastmen_owners
dlc03.camp.prelude.bst.intro.004	beastmen_owners
dlc03.camp.prelude.bst.intro.005	beastmen_owners
dlc03.camp.prelude.bst.intro.006	beastmen_owners
dlc03.camp.prelude.bst.intro.007	beastmen_owners
dlc03.camp.prelude.bst.intro.008	beastmen_owners
dlc03.camp.prelude.bst.intro.009	beastmen_owners
dlc03.camp.prelude.bst.intro.010	beastmen_owners
dlc03.camp.prelude.bst.intro.011	beastmen_owners
dlc03.mini.prelude.bst.intro.001	beastmen_owners
dlc03.mini.prelude.bst.intro.002	beastmen_owners
dlc03.mini.prelude.bst.intro.003	beastmen_owners
dlc03.mini.prelude.bst.intro.004	beastmen_owners
dlc03.mini.prelude.bst.intro.005	beastmen_owners
dlc04.camp.Helman.intro.001	lord_and_units_1_owners
dlc04.camp.Helman.intro.002	lord_and_units_1_owners
dlc04.camp.Helman.intro.004	lord_and_units_1_owners
dlc04.camp.Helman.intro.005	lord_and_units_1_owners
dlc04.camp.Vlad.intro.001	lord_and_units_1_owners
dlc04.camp.Vlad.intro.002	lord_and_units_1_owners
dlc04.camp.Vlad.intro.003	lord_and_units_1_owners
dlc04.camp.Vlad.intro.004	lord_and_units_1_owners
dlc04.camp.Volk.intro.001	lord_and_units_1_owners
dlc04.camp.Volk.intro.002	lord_and_units_1_owners
dlc04.camp.Volk.intro.003	lord_and_units_1_owners
dlc04.camp.Volk.intro.004	lord_and_units_1_owners
dlc05.battle.advice.final.wef.01	wood_elves_owners
dlc05.battle.advice.final.wef.02	wood_elves_owners
dlc05.battle.advice.final.wef.03	wood_elves_owners
dlc05.camp.Durthu.intro.001	wood_elves_owners
dlc05.camp.Durthu.intro.002	wood_elves_owners
dlc05.camp.Durthu.intro.003	wood_elves_owners
dlc05.camp.Durthu.intro.004	wood_elves_owners
dlc05.camp.Durthu.intro.005	wood_elves_owners
dlc05.camp.Durthu.intro.006	wood_elves_owners
dlc05.camp.Orion.intro.001	wood_elves_owners
dlc05.camp.Orion.intro.002	wood_elves_owners
dlc05.camp.Orion.intro.003	wood_elves_owners
dlc05.camp.Orion.intro.004	wood_elves_owners
dlc05.camp.Orion.intro.005	wood_elves_owners
dlc05.camp.Orion.intro.006	wood_elves_owners
dlc05.camp.advice.wef.amber.001	wood_elves_owners
dlc05.camp.advice.wef.amber.002	wood_elves_owners
dlc05.camp.advice.wef.asrai_lookouts.001	wood_elves_owners
dlc05.camp.advice.wef.asrai_lookouts.002	wood_elves_owners
dlc05.camp.advice.wef.asrai_lookouts.003	wood_elves_owners
dlc05.camp.advice.wef.elven_council.001	wood_elves_owners
dlc05.camp.advice.wef.elven_halls.001	wood_elves_owners
dlc05.camp.advice.wef.finale.001	wood_elves_owners
dlc05.camp.advice.wef.finale.002	wood_elves_owners
dlc05.camp.advice.wef.gathering_of_the_ancients.001	wood_elves_owners
dlc05.camp.advice.wef.invasion.001	wood_elves_owners
dlc05.camp.advice.wef.invasion.after.x.turns.001	wood_elves_owners
dlc05.camp.advice.wef.invasion.after.x.turns.002	wood_elves_owners
dlc05.camp.advice.wef.oak_of_ages.001	wood_elves_owners
dlc05.camp.advice.wef.oak_of_ages.002	wood_elves_owners
dlc05.camp.advice.wef.oak_of_ages.003	wood_elves_owners
dlc05.camp.advice.wef.oak_of_ages.004	wood_elves_owners
dlc05.camp.advice.wef.oak_of_ages.005	wood_elves_owners
dlc05.camp.advice.wef.wood_elves.001	wood_elves_owners
dlc05.camp.advice.wef.wood_elves.002	wood_elves_owners
dlc05.camp.advice.wef.worldroots.001	wood_elves_owners
dlc05.mini.story.all.001	wood_elves_owners
dlc05.mini.story.durthu.001	wood_elves_owners
dlc05.mini.story.durthu.002	wood_elves_owners
dlc05.mini.story.durthu.003	wood_elves_owners
dlc05.mini.story.durthu.004	wood_elves_owners
dlc05.mini.story.durthu.005	wood_elves_owners
dlc05.mini.story.durthu.006	wood_elves_owners
dlc05.mini.story.durthu.007	wood_elves_owners
dlc05.mini.story.durthu.008	wood_elves_owners
dlc05.mini.story.durthu.009	wood_elves_owners
dlc05.mini.story.durthu.010	wood_elves_owners
dlc05.mini.story.durthu.011	wood_elves_owners
dlc05.mini.story.durthu.012	wood_elves_owners
dlc05.mini.story.durthu.013	wood_elves_owners
dlc05.mini.story.durthu.014	wood_elves_owners
dlc05.mini.story.durthu.015	wood_elves_owners
dlc05.mini.story.durthu.016	wood_elves_owners
dlc05.mini.story.durthu.017	wood_elves_owners
dlc05.mini.story.durthu.018	wood_elves_owners
dlc05.mini.story.durthu.019	wood_elves_owners
dlc05.mini.story.durthu.020	wood_elves_owners
dlc05.mini.story.durthu.021	wood_elves_owners
dlc05.mini.story.morghur.001	wood_elves_owners
dlc05.mini.story.morghur.002	wood_elves_owners
dlc05.mini.story.morghur.003	wood_elves_owners
dlc05.mini.story.morghur.004	wood_elves_owners
dlc05.mini.story.morghur.005	wood_elves_owners
dlc05.mini.story.orion.001	wood_elves_owners
dlc05.mini.story.orion.002	wood_elves_owners
dlc05.mini.story.orion.003	wood_elves_owners
dlc05.mini.story.orion.004	wood_elves_owners
