animation_set_prebattle_group_view_configurations_tables
0
unknown0	unknown1	unknown2	unknown3	unknown4	unknown5
big_characters	6.3	6	big_characters	1	-1
big_characters	10	7	chariots	1	-3.5
big_characters	10	7	corpse_cart	0.8	-2.5
big_characters	6.3	6	default	0.8	-1
big_characters	6.3	6	default_mounted	0.8	-1.2
big_characters	6.3	6	dragon	0.8	-3
big_characters	12	8	enormous	0.8	-3.6
big_characters	9	9	giant	0.8	-2.5
big_characters	8	10	large	1	-3
big_characters	6.3	6	settlements	-1	-0.7
big_characters	6.3	6	small	0.8	-1.3
chariots	10	7	big_characters	1	-3.5
chariots	14	10	chariots	0.8	-6
chariots	13	9	corpse_cart	1	-5.1
chariots	10	8	default	0.8	-4.2
chariots	10	8	default_mounted	0.8	-4.4
chariots	13	9	dragon	1	-5.1
chariots	12	8	enormous	1	-3.6
chariots	12	10	giant	0.8	-4.4
chariots	13	6	large	1	-5.1
chariots	8	6	settlements	-1	-4.5
chariots	10	8	small	0.8	-3.8
corpse_cart	10	7	big_characters	0.8	-2.5
corpse_cart	13	9	chariots	1	-5.1
corpse_cart	10	8	corpse_cart	0.8	-3.6
corpse_cart	10	7	default	0.8	-2.5
corpse_cart	10	7	default_mounted	0.8	-2.5
corpse_cart	13	9	dragon	1	-5
corpse_cart	13	9	enormous	1	-5
corpse_cart	10	10	giant	0.8	-3.5
corpse_cart	10	10	large	1	-4
corpse_cart	10	3	settlements	-1	-3.5
corpse_cart	10	7	small	0.8	-2.5
default_mounted	6.3	6	big_characters	0.8	-1.2
default_mounted	10	8	chariots	0.8	-4.4
default_mounted	10	7	corpse_cart	0.8	-2.5
default_mounted	6.3	6	default	1	-1.2
default_mounted	6.3	6	default_mounted	1	-1.8
default_mounted	10	9	dragon	0.8	-4.8
default_mounted	12	8	enormous	0.8	-3.6
default_mounted	9	9	giant	0.8	-2.5
default_mounted	8	10	large	1	-3
default_mounted	6.3	6	settlements	-1	-1.5
default_mounted	6.3	6	small	1	-1.3
default	6.3	6	big_characters	0.8	-1
default	10	8	chariots	0.8	-4.2
default	10	7	corpse_cart	0.8	-2.5
default	6.3	6	default	1	-1
default	6.3	6	default_mounted	1	-1.2
default	10	9	dragon	0.8	-3
default	12	8	enormous	0.8	-3.6
default	9	9	giant	0.8	-2.5
default	8	10	large	1	-2.6
default	6.3	6	settlements	-1	-1.5
default	6.3	6	small	1	-1.3
dragon	6.3	6	big_characters	0.8	-3
dragon	6.3	6	chariots	1	-3.6
dragon	13	9	corpse_cart	1	-5
dragon	10	9	default	0.8	-3
dragon	10	9	default_mounted	0.8	-4.8
dragon	14	11	dragon	0.8	-7.9
dragon	12	8	enormous	0.8	-7.2
dragon	11	9	giant	0.8	-4.5
dragon	12	11	large	0.8	-6
dragon	6.3	6	settlements	-1	-2.5
dragon	10	9	small	0.8	-3
enormous	12	8	big_characters	0.8	-3.6
enormous	12	8	chariots	1	-3.6
enormous	13	9	corpse_cart	1	-5
enormous	12	8	default	0.8	-3.6
enormous	12	8	default_mounted	0.8	-3.6
enormous	12	8	dragon	0.8	-7.2
enormous	12	8	enormous	0.8	-6
enormous	12	8	giant	0.8	-6
enormous	12	8	large	0.8	-5
enormous	12	8	settlements	-1	-2.5
enormous	12	9	small	0.95	-4
giant	9	9	big_characters	0.8	-2.5
giant	12	10	chariots	0.8	-4.4
giant	10	10	corpse_cart	0.8	-3.5
giant	9	9	default	0.8	-2.5
giant	9	9	default_mounted	0.8	-2.5
giant	11	9	dragon	0.8	-4.5
giant	12	8	enormous	0.8	-6
giant	11	10	giant	0.8	-3
giant	10	10	large	0.8	-3
giant	6.3	6	settlements	-1	-1.1
giant	9	9	small	0.8	-2.5
large	8	10	big_characters	1	-3
large	6.3	6	chariots	1	-3.6
large	10	10	corpse_cart	1	-4
large	8	10	default	1	-2.6
large	8	10	default_mounted	1	-3
large	12	11	dragon	0.8	-6
large	12	8	enormous	0.8	-5
large	10	10	giant	0.8	-3
large	12	9	large	1	-4.2
large	6.3	6	settlements	-1	-2.2
large	8	10	small	1	-2.2
small	6.3	6	big_characters	0.8	-1.3
small	10	8	chariots	0.8	-3.8
small	10	7	corpse_cart	0.8	-2.5
small	6.3	6	default	1	-1.3
small	6.3	6	default_mounted	1	-1.3
small	10	9	dragon	0.8	-3
small	12	9	enormous	0.95	-4
small	9	9	giant	0.8	-2.5
small	8	10	large	1	-2.2
small	6.3	6	settlements	-1	-0.7
small	6.3	6	small	1	-0.8
