audio_battle_environment_loop_junctions_tables
0
unknown0	unknown1	unknown2
beastmen	beastmen_forest	forest
beastmen	beastmen_lake	lake
beastmen	beastmen_ambience	plains
beastmen	generic_river	river
beastmen	generic_sea	sea
beastmen	generic_wind	wind
cave	cave_forest	forest
cave	cave_lake	lake
cave	cave_ambience	plains
cave	generic_river	river
cave	cave_wind	wind
chaos	chaos_forest	forest
chaos	chaos_lake	lake
chaos	chaos_ambience	plains
chaos	generic_river	river
chaos	generic_sea	sea
chaos	chaos_wind	wind
dark_elves_beach	dark_elves_beach_forest	forest
dark_elves_beach	dark_elves_beach_lake	lake
dark_elves_beach	dark_elves_beach_primary	plains
dark_elves_beach	dark_elves_beach_secondary	plains
dark_elves_beach	generic_river	river
dark_elves_beach	generic_sea	sea
dark_elves_beach	dark_elves_beach_wind	wind
dark_elves_cold	dark_elves_cold_forest	forest
dark_elves_cold	dark_elves_cold_lake	lake
dark_elves_cold	dark_elves_cold_primary	plains
dark_elves_cold	generic_river	river
dark_elves_cold	generic_sea	sea
dark_elves_cold	dark_elves_cold_wind	wind
dark_elves_desert	dark_elves_desert_forest	forest
dark_elves_desert	dark_elves_desert_lake	lake
dark_elves_desert	dark_elves_desert_primary	plains
dark_elves_desert	generic_river	river
dark_elves_desert	generic_sea	sea
dark_elves_desert	dark_elves_desert_wind	wind
dark_elves_hills	dark_elves_hills_forest	forest
dark_elves_hills	dark_elves_hills_lake	lake
dark_elves_hills	dark_elves_hills_primary	plains
dark_elves_hills	generic_river	river
dark_elves_hills	generic_sea	sea
dark_elves_hills	dark_elves_hills_wind	wind
dark_elves_marsh	dark_elves_marsh_forest	forest
dark_elves_marsh	dark_elves_marsh_lake	lake
dark_elves_marsh	dark_elves_marsh_primary	plains
dark_elves_marsh	generic_river	river
dark_elves_marsh	generic_sea	sea
dark_elves_marsh	dark_elves_marsh_wind	wind
dark_elves_qb_altar_of_darkness	dark_elves_cold_forest	forest
dark_elves_qb_altar_of_darkness	dark_elves_cold_lake	lake
dark_elves_qb_altar_of_darkness	dark_elves_cold_primary	plains
dark_elves_qb_altar_of_darkness	generic_river	river
dark_elves_qb_altar_of_darkness	generic_sea	sea
dark_elves_qb_altar_of_darkness	dark_elves_cold_wind	wind
dark_elves_volcanic	dark_elves_volcanic_forest	forest
dark_elves_volcanic	dark_elves_volcanic_lake	lake
dark_elves_volcanic	dark_elves_volcanic_primary	plains
dark_elves_volcanic	generic_river	river
dark_elves_volcanic	generic_sea	sea
dark_elves_volcanic	dark_elves_volcanic_wind	wind
dwarf	chaos_forest	forest
dwarf	dwarf_lake	lake
dwarf	dwarf_ambience	plains
dwarf	generic_river	river
dwarf	generic_sea	sea
dwarf	dwarf_wind	wind
empire	empire_forest	forest
empire	empire_lake	lake
empire	empire_ambience	plains
empire	generic_river	river
empire	generic_sea	sea
empire	generic_wind	wind
greenskin	greenskin_forest	forest
greenskin	greenskin_lake	lake
greenskin	greenskin_ambience	plains
greenskin	generic_river	river
greenskin	generic_sea	sea
greenskin	generic_wind	wind
high_elves_beach	high_elves_beach_forest	forest
high_elves_beach	high_elves_lake	lake
high_elves_beach	high_elves_beach_primary	plains
high_elves_beach	high_elves_beach_secondary	plains
high_elves_beach	generic_river	river
high_elves_beach	generic_sea	sea
high_elves_beach	high_elves_beach_wind	wind
high_elves_hills	high_elves_hills_forest	forest
high_elves_hills	high_elves_lake	lake
high_elves_hills	high_elves_hills_primary	plains
high_elves_hills	generic_river	river
high_elves_hills	generic_sea	sea
high_elves_hills	high_elves_hills_wind	wind
high_elves_qb_arnheim	high_elves_hills_forest	forest
high_elves_qb_arnheim	high_elves_lake	lake
high_elves_qb_arnheim	high_elves_hills_primary	plains
high_elves_qb_arnheim	generic_river	river
high_elves_qb_arnheim	generic_sea	sea
high_elves_qb_arnheim	high_elves_hills_wind	wind
high_elves_qb_tower_of_hoeth	high_elves_hills_forest	forest
high_elves_qb_tower_of_hoeth	high_elves_lake	lake
high_elves_qb_tower_of_hoeth	high_elves_hills_primary	plains
high_elves_qb_tower_of_hoeth	generic_river	river
high_elves_qb_tower_of_hoeth	generic_sea	sea
high_elves_qb_tower_of_hoeth	high_elves_hills_wind	wind
lizardmen_jungle	lizardmen_jungle_forest	forest
lizardmen_jungle	lizardmen_jungle_lake	lake
lizardmen_jungle	lizardmen_jungle_primary	plains
lizardmen_jungle	generic_river	river
lizardmen_jungle	generic_sea	sea
lizardmen_jungle	lizardmen_jungle_wind	wind
lizardmen_mountain	lizardmen_mountain_forest	forest
lizardmen_mountain	lizardmen_mountain_lake	lake
lizardmen_mountain	lizardmen_mountain_primary	plains
lizardmen_mountain	generic_river	river
lizardmen_mountain	generic_sea	sea
lizardmen_mountain	lizardmen_mountain_wind	wind
lizardmen_qb_crimson_skull	lizardmen_jungle_forest	forest
lizardmen_qb_crimson_skull	lizardmen_jungle_lake	lake
lizardmen_qb_crimson_skull	lizardmen_jungle_primary	plains
lizardmen_qb_crimson_skull	generic_river	river
lizardmen_qb_crimson_skull	generic_sea	sea
lizardmen_qb_crimson_skull	lizardmen_jungle_wind	wind
lizardmen_qb_fallen_gates	lizardmen_jungle_forest	forest
lizardmen_qb_fallen_gates	lizardmen_mountain_lake	lake
lizardmen_qb_fallen_gates	lizardmen_qb_fallen_gates_primary	plains
lizardmen_qb_fallen_gates	generic_river	river
lizardmen_qb_fallen_gates	generic_sea	sea
lizardmen_qb_fallen_gates	lizardmen_jungle_wind	wind
lizardmen_qb_mosquito_swamp	lizardmen_jungle_forest	forest
lizardmen_qb_mosquito_swamp	lizardmen_jungle_lake	lake
lizardmen_qb_mosquito_swamp	lizardmen_jungle_primary	plains
lizardmen_qb_mosquito_swamp	generic_river	river
lizardmen_qb_mosquito_swamp	generic_sea	sea
lizardmen_qb_mosquito_swamp	lizardmen_jungle_wind	wind
lizardmen_swamp	lizardmen_swamp_forest	forest
lizardmen_swamp	lizardmen_swamp_lake	lake
lizardmen_swamp	lizardmen_swamp_primary	plains
lizardmen_swamp	generic_river	river
lizardmen_swamp	generic_sea	sea
lizardmen_swamp	lizardmen_swamp_wind	wind
nordic	nordic_forest	forest
nordic	nordic_lake	lake
nordic	nordic_ambience	plains
nordic	generic_river	river
nordic	generic_sea	sea
nordic	nordic_wind	wind
skaven_cavern	skaven_cavern_forest	forest
skaven_cavern	skaven_cavern_lake	lake
skaven_cavern	skaven_cavern_primary	plains
skaven_cavern	generic_river	river
skaven_cavern	generic_sea	sea
skaven_cavern	skaven_cavern_wind	wind
skaven_desert	skaven_desert_forest	forest
skaven_desert	skaven_desert_lake	lake
skaven_desert	skaven_desert_primary	plains
skaven_desert	generic_river	river
skaven_desert	generic_sea	sea
skaven_desert	skaven_desert_wind	wind
skaven_marsh	skaven_marsh_forest	forest
skaven_marsh	skaven_marsh_lake	lake
skaven_marsh	skaven_marsh_primary	plains
skaven_marsh	generic_river	river
skaven_marsh	generic_sea	sea
skaven_marsh	skaven_marsh_wind	wind
vampire	vampire_forest	forest
vampire	vampire_lake	lake
vampire	vampire_ambience	plains
vampire	generic_river	river
vampire	generic_sea	sea
vampire	vampire_wind	wind
wood_elves_autumn	wood_elves_autumn_forest	forest
wood_elves_autumn	wood_elves_autumn_lake	lake
wood_elves_autumn	wood_elves_autumn_ambience	plains
wood_elves_autumn	generic_river	river
wood_elves_autumn	generic_sea	sea
wood_elves_autumn	wood_elves_autumn_wind	wind
wood_elves_generic	wood_elves_generic_forest	forest
wood_elves_generic	wood_elves_generic_lake	lake
wood_elves_generic	wood_elves_generic_ambience	plains
wood_elves_generic	generic_river	river
wood_elves_generic	generic_sea	sea
wood_elves_generic	wood_elves_generic_wind	wind
wood_elves_night	wood_elves_night_forest	forest
wood_elves_night	wood_elves_night_lake	lake
wood_elves_night	wood_elves_night_ambience	plains
wood_elves_night	generic_river	river
wood_elves_night	generic_sea	sea
wood_elves_night	wood_elves_night_wind	wind
wood_elves_winter	wood_elves_winter_forest	forest
wood_elves_winter	wood_elves_winter_lake	lake
wood_elves_winter	wood_elves_winter_ambience	plains
wood_elves_winter	generic_river	river
wood_elves_winter	generic_sea	sea
wood_elves_winter	wood_elves_winter_wind	wind
