audio_campaign_environment_looping_sounds_tables
0
unknown0	unknown1	unknown2	unknown3
	beastmen_ambience	Campaign_Environment_Beastmen_Dark_Ambience_Play	Campaign_Environment_Beastmen_Dark_Ambience_Stop
	beastmen_forest	Campaign_Environment_Beastmen_Forest_Play	Campaign_Environment_Beastmen_Forest_Stop
	bretonnia_forest	Campaign_Environment_Bretonnia_Forest_Play	Campaign_Environment_Bretonnia_Forest_Stop
	chaos_ambience	Campaign_Environment_Chaos_Dark_Ambience_Play	Campaign_Environment_Chaos_Dark_Ambience_Stop
	chaos_forest	Campaign_Environment_Chaos_Forest_Play	Campaign_Environment_Chaos_Forest_Stop
Campaign_Forest_Tree_Count	dark_elves_forest	Campaign_Environment_Dark_Elves_Forest_Play	Campaign_Environment_Dark_Elves_Forest_Stop
	dwarf_forest	Campaign_Environment_Dwarf_Forest_Play	Campaign_Environment_Dwarf_Forest_Stop
	empire_forest	Campaign_Environment_Empire_Forest_Play	Campaign_Environment_Empire_Forest_Stop
Campaign_Desert_Intensity	generic_desert	Campaign_Environment_Generic_Desert_Play	Campaign_Environment_Generic_Desert_Stop
Campaign_Forest_Tree_Count	generic_forest	Campaign_Environment_Generic_Forest_Play	Campaign_Environment_Generic_Forest_Stop
Campaign_Sea_Intensity	generic_sea	Campaign_Environment_Element_Water_Sea_Play	Campaign_Environment_Element_Water_Sea_Stop
	generic_shroud	Campaign_Environment_Generic_Shroud_Play	Campaign_Environment_Generic_Shroud_Stop
	generic_wind	Campaign_Environment_Element_Wind_Play	Campaign_Environment_Element_Wind_Stop
	greenskin_forest	Campaign_Environment_Greenskin_Forest_Play	Campaign_Environment_Greenskin_Forest_Stop
Campaign_Forest_Tree_Count	high_elves_forest	Campaign_Environment_High_Elves_Forest_Play	Campaign_Environment_High_Elves_Forest_Stop
Campaign_Forest_Tree_Count	lizardmen_forest	Campaign_Environment_Lizardmen_Forest_Play	Campaign_Environment_Lizardmen_Forest_Stop
	nordic_forest	Campaign_Environment_Nordic_Forest_Play	Campaign_Environment_Nordic_Forest_Stop
Campaign_Forest_Tree_Count	skaven_forest	Campaign_Environment_Skaven_Forest_Play	Campaign_Environment_Skaven_Forest_Stop
	vampire_forest	Campaign_Environment_Vampire_Forest_Play	Campaign_Environment_Vampire_Forest_Stop
	wood_elves_forest_autumn	Campaign_Environment_Woold_Elves_Forest_Autumn_Play	Campaign_Environment_Woold_Elves_Forest_Autumn_Stop
	wood_elves_forest_generic	Campaign_Environment_Woold_Elves_Forest_Generic_Play	Campaign_Environment_Woold_Elves_Forest_Generic_Stop
	wood_elves_forest_winter	Campaign_Environment_Woold_Elves_Forest_Winter_Play	Campaign_Environment_Woold_Elves_Forest_Winter_Stop
