audio_melee_weapon_types_tables
3
unknown0	unknown1	unknown2	unknown3	unknown4
	Bite_Large	bite	True	unique_action_large_bite
	Bite_Medium	bite	True	unique_action_medium_bite
	Bonebreaker_Drill	bite	True	melee_weapon_bonebreaker_drill
	Medium_Metal_Fist	bite	True	melee_weapon_medium_metal_fist
	Rat_Ogre_Drill	bite	True	melee_weapon_rat_ogre_drill
wh_grp_melee_weapons_metal	axe	axe	False	melee_weapon_axe
wh_grp_melee_weapons_mixed	axe_huge	axe_huge	True	melee_weapon_axe_huge
wh_grp_melee_weapons_mixed	axe_medium	axe_medium	False	melee_weapon_axe_medium
wh_grp_melee_weapons_mixed	claw	claw	True	melee_weapon_claw
wh_grp_melee_weapons_mixed	club	club	False	melee_weapon_club
wh_grp_melee_weapons_mixed	club_huge	club_huge	True	melee_weapon_club_huge
wh_grp_melee_weapons_mixed	club_medium	club_medium	True	melee_weapon_club_medium
wh_grp_melee_weapons_mixed	drakegun	drakegun	False	melee_weapon_drakegun
wh_grp_melee_weapons_metal	flail	flail	False	melee_weapon_flail
wh_grp_melee_weapons_mixed	halberd	halberd	False	melee_weapon_halberd
wh_grp_melee_weapons_mixed	hammer	hammer	False	melee_weapon_hammer
wh_grp_melee_weapons_mixed	lance	lance	False	melee_weapon_lance
wh_grp_melee_weapons_mixed	spear	spear	False	melee_weapon_spear
wh_grp_melee_weapons_mixed	spear_huge	spear_huge	True	melee_weapon_spear_huge
wh_grp_melee_weapons_mixed	spear_medium	spear_medium	True	melee_weapon_spear_medium
wh_grp_melee_weapons_mixed	staff	staff	False	melee_weapon_staff
wh_grp_melee_weapons_metal	sword	sword	False	melee_weapon_sword
	sword_claws	sword	True	melee_weapon_sword_claws
wh_grp_melee_weapons_mixed	sword_huge	sword_huge	True	melee_weapon_sword_huge
wh_grp_melee_weapons_mixed	sword_medium	sword_medium	True	melee_weapon_sword_medium
	unarmed	unarmed	True	melee_weapon_unarmed
wh_grp_melee_weapons_mixed	warpfiregun	drakegun	False	melee_weapon_drakegun
