battle_ai_abilities_usage_params_tables
1
unknown0	unknown1
bool_ability_final_use	1
bool_charged_at	1
bool_charging	1
bool_charging_at_me	1
bool_contesting_victory_point	1
bool_flying_currently	1
bool_flying_currently_inverse	1
bool_flying_unit	1
bool_flying_unit_inverse	1
bool_has_abilities_costing_mana	1
bool_in_melee	1
bool_missile_unit	1
bool_missile_unit_inverse	1
bool_on_wall_near_siege_attack_focus	1
bool_out_of_melee	1
bool_shooting	1
bool_shooting_at_me	1
bool_standing_still	1
bool_threatened	1
bool_threatening_me	1
bool_under_fire	1
value_armour	0.01
value_armour_inverse	0.01
value_damage_resist_all	0.01
value_damage_resist_flame	0.01
value_damage_resist_magic	0.01
value_damage_resist_missile	0.01
value_damage_resist_physical	0.01
value_damage_weak_flame	0.01
value_enemy_to_friendly_ratio	1
value_enemy_units_in_area	0.1
value_enemy_units_in_area_inverse	1
value_enemy_units_in_cone	0.1
value_formation_rows	0.2
value_friendly_to_enemy_ratio	1
value_friendly_units_in_area	0.5
value_friendly_units_in_area_inverse	1
value_hitpoint_damage_taken	0.0001
value_hitpoint_total	0.01
value_homing_projectile_ratio	1
value_homing_projectile_ratio_inverse	1
value_melee_attack	0.01
value_melee_attack_inverse	0.01
value_missile_attack	1
value_morale_score	0.01
value_morale_score_inverse	0.01
value_num_men	0.0055
value_spacing_horizontal	0.2
value_spacing_vertical	0.2
value_speed_current	0.1
value_speed_current_inverse	0.1
value_speed_max	0.1
value_speed_max_inverse	0.1
value_winds_of_magic_amount	0.0333
value_winds_of_magic_amount_inverse	0.0333
value_winds_of_magic_recharge	4
value_winds_of_magic_recharge_inverse	4
