battle_set_piece_armies_characters_items_tables
0
unknown0	unknown1
wh2_main_anc_weapon_chillblade	wh2_main_def_cha_death_hag_0
wh_main_anc_enchanted_item_potion_of_foolhardiness	wh2_main_def_cha_death_hag_0
wh2_main_anc_enchanted_item_the_guiding_eye	wh2_main_def_cha_dreadlord_0
wh2_main_anc_talisman_pearl_of_infinite_blackness	wh2_main_def_cha_dreadlord_0
wh2_main_anc_armour_shield_of_ghrond	wh2_main_def_cha_dreadlord_female_0
wh2_main_anc_weapon_hydra_blade	wh2_main_def_cha_dreadlord_female_0
wh2_main_anc_enchanted_item_black_dragon_egg	wh2_main_def_cha_khainite_assassin_0
wh2_main_anc_weapon_web_of_shadows	wh2_main_def_cha_khainite_assassin_0
wh2_main_anc_arcane_item_circlet_of_iron	wh2_main_def_cha_malekith_0
wh2_main_anc_armour_supreme_spellshield	wh2_main_def_cha_malekith_0
wh2_main_anc_weapon_destroyer	wh2_main_def_cha_malekith_0
wh2_main_anc_arcane_item_wand_of_the_kharaidon	wh2_main_def_cha_morathi_0
wh2_main_anc_weapon_heartrender_and_the_darksword	wh2_main_def_cha_morathi_0
wh2_main_anc_arcane_item_darkstar_cloak	wh2_main_def_cha_sorceress_dark_0
wh_main_anc_arcane_item_scroll_of_leeching	wh2_main_def_cha_sorceress_dark_0
wh2_main_anc_arcane_item_darkstar_cloak	wh2_main_def_cha_sorceress_fire_0
wh_main_anc_arcane_item_scroll_of_leeching	wh2_main_def_cha_sorceress_fire_0
wh2_main_anc_arcane_item_darkstar_cloak	wh2_main_def_cha_sorceress_shadow_0
wh_main_anc_arcane_item_scroll_of_leeching	wh2_main_def_cha_sorceress_shadow_0
wh2_main_anc_talisman_ruby_guardian_phoenix	wh2_main_hef_cha_alastair_0
wh_main_anc_enchanted_item_potion_of_foolhardiness	wh2_main_hef_cha_alastair_0
wh2_main_anc_enchanted_item_blessed_tome	wh2_main_hef_cha_loremaster_of_hoeth_0
wh2_main_anc_talisman_loremasters_cloak	wh2_main_hef_cha_loremaster_of_hoeth_0
wh2_main_anc_arcane_item_book_of_hoeth	wh2_main_hef_cha_mage_high_0
wh2_main_anc_arcane_item_starwood_staff	wh2_main_hef_cha_mage_high_0
wh2_main_anc_arcane_item_book_of_hoeth	wh2_main_hef_cha_mage_life_0
wh2_main_anc_arcane_item_starwood_staff	wh2_main_hef_cha_mage_life_0
wh2_main_anc_arcane_item_book_of_hoeth	wh2_main_hef_cha_mage_light_0
wh2_main_anc_arcane_item_starwood_staff	wh2_main_hef_cha_mage_light_0
wh2_main_anc_armour_armour_of_the_stars	wh2_main_hef_cha_noble_0
wh2_main_anc_talisman_sacred_incense	wh2_main_hef_cha_noble_0
wh2_main_anc_armour_the_bane_shield	wh2_main_hef_cha_prince_0
wh2_main_anc_weapon_blade_of_bel_korhadris	wh2_main_hef_cha_prince_0
wh2_main_anc_enchanted_item_dragonhorn	wh2_main_hef_cha_princess_0
wh2_main_anc_enchanted_item_talisman_of_loec	wh2_main_hef_cha_princess_0
