battle_set_piece_armies_characters_skills_tables
2
unknown0	unknown1	unknown2
wh2_main_qb_def_malekith_circlet_of_iron_stage_3_altar_of_ultimate_darkness_attacker_sorcerer_lord	wh_main_skill_all_magic_fire_05_the_burning_head	1
wh2_main_qb_def_malekith_circlet_of_iron_stage_3_altar_of_ultimate_darkness_attacker_sorcerer_lord	wh_main_skill_all_magic_fire_10_flame_storm	1
wh2_main_qb_def_malekith_circlet_of_iron_stage_3_altar_of_ultimate_darkness_attacker_sorcerer_lord	wh_main_skill_all_magic_fire_dummy_fireball	1
wh2_main_qb_def_malekith_circlet_of_iron_stage_3_altar_of_ultimate_darkness_defender_malekith	wh2_main_skill_magic_dark_chillwind_dummy	1
wh2_main_qb_def_malekith_circlet_of_iron_stage_3_altar_of_ultimate_darkness_defender_malekith	wh2_main_skill_magic_dark_power_of_darkness	1
wh2_main_qb_def_malekith_circlet_of_iron_stage_3_altar_of_ultimate_darkness_defender_malekith	wh2_main_skill_magic_dark_word_of_pain	1
wh2_main_qb_def_malekith_destroyer_stage_3_vauls_anvil_attacker_malekith	wh2_main_skill_magic_dark_bladewind	1
wh2_main_qb_def_malekith_destroyer_stage_3_vauls_anvil_attacker_malekith	wh2_main_skill_magic_dark_chillwind_dummy	1
wh2_main_qb_def_malekith_destroyer_stage_3_vauls_anvil_attacker_malekith	wh2_main_skill_magic_dark_doombolt	1
wh2_main_qb_def_malekith_destroyer_stage_3_vauls_anvil_attacker_malekith	wh2_main_skill_magic_dark_lore_attribute	1
wh2_main_qb_def_malekith_destroyer_stage_3_vauls_anvil_attacker_malekith	wh2_main_skill_magic_dark_power_of_darkness	1
wh2_main_qb_def_malekith_destroyer_stage_3_vauls_anvil_attacker_malekith	wh2_main_skill_magic_dark_soul_stealer	1
wh2_main_qb_def_malekith_destroyer_stage_3_vauls_anvil_attacker_malekith	wh2_main_skill_magic_dark_word_of_pain	1
wh2_main_qb_def_malekith_destroyer_stage_3_vauls_anvil_defender_teclis	wh2_main_skill_all_magic_high_03_lore_attribute_teclis	1
wh2_main_qb_def_malekith_destroyer_stage_3_vauls_anvil_defender_teclis	wh2_main_skill_hef_teclis_flames_of_the_phoenix	1
