battle_set_piece_armies_tables
7
unknown0	unknown1	unknown2	unknown3	unknown4	unknown5	unknown6	unknown7	unknown8	unknown9	unknown10	unknown11	unknown12
	0	chaos_test_emblem_army_01	5651	wh2_main_qb_def_malekith_circlet_of_iron_stage_3_altar_of_ultimate_darkness_attacker_01	0	wh_main_chs_chaos_qb1	False	False	False	True	False	False
	240	chaos_test_emblem_army_01	3258	wh2_main_qb_def_malekith_circlet_of_iron_stage_3_altar_of_ultimate_darkness_attacker_02	0	wh_main_chs_chaos_qb2	False	True	False	True	False	False
	300	chaos_test_emblem_army_01	3258	wh2_main_qb_def_malekith_circlet_of_iron_stage_3_altar_of_ultimate_darkness_attacker_03	0	wh_main_chs_chaos_qb2	False	True	False	True	False	False
	0	dark_elves_test_emblem_army_01	5530	wh2_main_qb_def_malekith_circlet_of_iron_stage_3_altar_of_ultimate_darkness_defender_01	0	wh2_main_def_naggarond	False	False	True	True	False	False
	0	dark_elves_test_emblem_army_01	5530	wh2_main_qb_def_malekith_destroyer_stage_3_vauls_anvil_attacker_01	0	wh2_main_def_naggarond	False	False	True	True	False	False
	0	dark_elves_test_emblem_army_01	5590	wh2_main_qb_def_malekith_destroyer_stage_3_vauls_anvil_attacker_02	1	wh2_main_def_dark_elves_qb2	True	False	False	True	False	False
	0	high_elves_test_emblem_army_01	5540	wh2_main_qb_def_malekith_destroyer_stage_3_vauls_anvil_defender_01	0	wh2_main_hef_high_elves_qb1	False	False	False	True	False	False
	290	high_elves_test_emblem_army_01	5549	wh2_main_qb_def_malekith_destroyer_stage_3_vauls_anvil_defender_02	0	wh2_main_hef_high_elves_qb2	False	True	False	True	False	True
	90	high_elves_test_emblem_army_01	5574	wh2_main_qb_def_malekith_destroyer_stage_3_vauls_anvil_defender_03	0	wh2_main_hef_high_elves_qb2	False	True	False	True	False	True
	0	dark_elves_test_emblem_army_01	5530	wh2_main_qb_def_malekith_supreme_spellshield_stage_3_mosquito_swamps_attacker_01	0	wh2_main_def_naggarond	False	False	True	True	False	False
	110	dark_elves_test_emblem_army_01	5590	wh2_main_qb_def_malekith_supreme_spellshield_stage_3_mosquito_swamps_attacker_02	0	wh2_main_def_dark_elves_qb1	True	True	False	True	False	False
	250	dark_elves_test_emblem_army_01	5590	wh2_main_qb_def_malekith_supreme_spellshield_stage_3_mosquito_swamps_attacker_03	0	wh2_main_def_dark_elves_qb2	True	True	False	True	False	False
	0	lizardmen_test_emblem_army_01	5584	wh2_main_qb_def_malekith_supreme_spellshield_stage_3_mosquito_swamps_defender_01	1	wh2_main_lzd_lizardmen_qb1	False	False	False	True	False	False
	0	lizardmen_test_emblem_army_01	5584	wh2_main_qb_def_malekith_supreme_spellshield_stage_3_mosquito_swamps_defender_02	0	wh2_main_lzd_lizardmen_qb2	False	False	False	True	False	False
	250	lizardmen_test_emblem_army_01	5584	wh2_main_qb_def_malekith_supreme_spellshield_stage_3_mosquito_swamps_defender_03	0	wh2_main_lzd_lizardmen_qb3	False	True	False	False	False	False
	0	high_elves_test_emblem_army_01	5595	wh2_main_qb_def_morathi_heartrender_and_the_darksword_stage_6_arnheim_attacker_01	0	wh2_main_def_cult_of_pleasure	False	False	True	True	False	False
	0	high_elves_test_emblem_army_01	5574	wh2_main_qb_def_morathi_heartrender_and_the_darksword_stage_6_arnheim_defender_01	0	wh2_main_hef_high_elves_qb1	False	False	False	True	False	False
	270	high_elves_test_emblem_army_01	5574	wh2_main_qb_def_morathi_heartrender_and_the_darksword_stage_6_arnheim_defender_02	0	wh2_main_hef_high_elves_qb2	False	True	False	True	False	False
	120	dark_elves_test_emblem_army_01	5530	wh2_main_qb_final_battle_ai_def_attacker_ally	0	wh2_main_def_dark_elves_qb1	True	True	False	True	False	False
	120	dark_elves_test_emblem_army_01	5530	wh2_main_qb_final_battle_ai_def_attacker_reinforcements	0	wh2_main_def_dark_elves_qb1	False	True	False	True	False	False
	0	dark_elves_test_emblem_army_01	5530	wh2_main_qb_final_battle_ai_def_defender	0	wh2_main_def_dark_elves_qb1	False	False	False	True	False	False
	0	dark_elves_test_emblem_army_01	5595	wh2_main_qb_final_battle_ai_def_defender_reinforcements	0	wh2_main_def_dark_elves_qb1	False	True	False	True	False	True
	230	high_elves_test_emblem_army_01	5540	wh2_main_qb_final_battle_ai_hef_attacker_ally	0	wh2_main_hef_high_elves_qb1	True	True	False	True	False	False
	230	high_elves_test_emblem_army_01	5540	wh2_main_qb_final_battle_ai_hef_attacker_reinforcements	0	wh2_main_hef_high_elves_qb1	False	True	False	True	False	False
	0	high_elves_test_emblem_army_01	5540	wh2_main_qb_final_battle_ai_hef_defender	0	wh2_main_hef_high_elves_qb1	False	False	False	True	False	False
