battle_set_piece_armies_units_tables
2
unknown0	unknown1	unknown2	unknown3
0	wh2_main_def_art_reaper_bolt_thrower	wh2_main_def_art_reaper_bolt_thrower	100
4	wh2_main_def_art_reaper_bolt_thrower_final_battle	wh2_main_def_art_reaper_bolt_thrower	100
4	wh2_main_def_art_reaper_bolt_thrower_tier_4	wh2_main_def_art_reaper_bolt_thrower	100
0	wh2_main_def_cav_cold_one_chariot	wh2_main_def_cav_cold_one_chariot	100
3	wh2_main_def_cav_cold_one_chariot_final_battle	wh2_main_def_cav_cold_one_chariot	100
0	wh2_main_def_cav_cold_one_knights_0	wh2_main_def_cav_cold_one_knights_0	100
0	wh2_main_def_cav_cold_one_knights_1	wh2_main_def_cav_cold_one_knights_1	100
6	wh2_main_def_cav_cold_one_knights_1_final_battle	wh2_main_def_cav_cold_one_knights_1	100
0	wh2_main_def_cav_dark_riders_0	wh2_main_def_cav_dark_riders_0	100
3	wh2_main_def_cav_dark_riders_0_tier_3	wh2_main_def_cav_dark_riders_0	100
0	wh2_main_def_cav_dark_riders_1	wh2_main_def_cav_dark_riders_1	100
0	wh2_main_def_cav_dark_riders_2	wh2_main_def_cav_dark_riders_2	100
0	wh2_main_def_inf_black_ark_corsairs_0	wh2_main_def_inf_black_ark_corsairs_0	100
0	wh2_main_def_inf_black_ark_corsairs_1	wh2_main_def_inf_black_ark_corsairs_1	100
0	wh2_main_def_inf_black_guard_0	wh2_main_def_inf_black_guard_0	100
7	wh2_main_def_inf_black_guard_0_final_battle	wh2_main_def_inf_black_guard_0	100
0	wh2_main_def_inf_bleakswords_0	wh2_main_def_inf_bleakswords_0	100
5	wh2_main_def_inf_bleakswords_0_tier_5	wh2_main_def_inf_bleakswords_0	100
0	wh2_main_def_inf_darkshards_0	wh2_main_def_inf_darkshards_0	100
2	wh2_main_def_inf_darkshards_0_tier_2	wh2_main_def_inf_darkshards_0	100
0	wh2_main_def_inf_darkshards_1	wh2_main_def_inf_darkshards_1	100
0	wh2_main_def_inf_dreadspears_0	wh2_main_def_inf_dreadspears_0	100
5	wh2_main_def_inf_dreadspears_0_tier_5	wh2_main_def_inf_dreadspears_0	100
0	wh2_main_def_inf_har_ganeth_executioners_0	wh2_main_def_inf_har_ganeth_executioners_0	100
6	wh2_main_def_inf_har_ganeth_executioners_0_final_battle	wh2_main_def_inf_har_ganeth_executioners_0	100
0	wh2_main_def_inf_harpies	wh2_main_def_inf_harpies	100
4	wh2_main_def_inf_harpies_tier_4	wh2_main_def_inf_harpies	100
0	wh2_main_def_inf_shades_0	wh2_main_def_inf_shades_0	100
0	wh2_main_def_inf_shades_1	wh2_main_def_inf_shades_1	100
6	wh2_main_def_inf_shades_1_final_battle	wh2_main_def_inf_shades_1	100
0	wh2_main_def_inf_shades_2	wh2_main_def_inf_shades_2	100
5	wh2_main_def_inf_shades_2_final_battle	wh2_main_def_inf_shades_2	100
0	wh2_main_def_inf_witch_elves_0	wh2_main_def_inf_witch_elves_0	100
2	wh2_main_def_inf_witch_elves_0_tier_2	wh2_main_def_inf_witch_elves_0	100
0	wh2_main_def_mon_black_dragon	wh2_main_def_mon_black_dragon	100
3	wh2_main_def_mon_black_dragon_final_battle	wh2_main_def_mon_black_dragon	100
0	wh2_main_def_mon_war_hydra	wh2_main_def_mon_war_hydra	100
3	wh2_main_def_mon_war_hydra_final_battle	wh2_main_def_mon_war_hydra	100
5	wh2_main_def_mon_war_hydra_tier_5	wh2_main_def_mon_war_hydra	100
0	wh2_main_hef_art_eagle_claw_bolt_thrower	wh2_main_hef_art_eagle_claw_bolt_thrower	100
4	wh2_main_hef_art_eagle_claw_bolt_thrower_final_battle	wh2_main_hef_art_eagle_claw_bolt_thrower	100
0	wh2_main_hef_cav_dragon_princes	wh2_main_hef_cav_dragon_princes	100
6	wh2_main_hef_cav_dragon_princes_final_battle	wh2_main_hef_cav_dragon_princes	100
0	wh2_main_hef_cav_ellyrian_reavers_0	wh2_main_hef_cav_ellyrian_reavers_0	100
2	wh2_main_hef_cav_ellyrian_reavers_0_tier_2	wh2_main_hef_cav_ellyrian_reavers_0	100
0	wh2_main_hef_cav_ellyrian_reavers_1	wh2_main_hef_cav_ellyrian_reavers_1	100
0	wh2_main_hef_cav_ithilmar_chariot	wh2_main_hef_cav_ithilmar_chariot	100
0	wh2_main_hef_cav_silver_helms_0	wh2_main_hef_cav_silver_helms_0	100
0	wh2_main_hef_cav_silver_helms_1	wh2_main_hef_cav_silver_helms_1	100
0	wh2_main_hef_cav_tiranoc_chariot	wh2_main_hef_cav_tiranoc_chariot	100
0	wh2_main_hef_inf_archers_0	wh2_main_hef_inf_archers_0	100
4	wh2_main_hef_inf_archers_0_tier_4	wh2_main_hef_inf_archers_0	100
0	wh2_main_hef_inf_archers_1	wh2_main_hef_inf_archers_1	100
2	wh2_main_hef_inf_archers_1_tier_2	wh2_main_hef_inf_archers_1	100
0	wh2_main_hef_inf_gate_guard	wh2_main_hef_inf_gate_guard	100
0	wh2_main_hef_inf_lothern_sea_guard_0	wh2_main_hef_inf_lothern_sea_guard_0	100
1	wh2_main_hef_inf_lothern_sea_guard_0_tier_1	wh2_main_hef_inf_lothern_sea_guard_0	100
0	wh2_main_hef_inf_lothern_sea_guard_1	wh2_main_hef_inf_lothern_sea_guard_1	100
7	wh2_main_hef_inf_lothern_sea_guard_1_final_battle	wh2_main_hef_inf_lothern_sea_guard_1	100
0	wh2_main_hef_inf_phoenix_guard	wh2_main_hef_inf_phoenix_guard	100
5	wh2_main_hef_inf_phoenix_guard_final_battle	wh2_main_hef_inf_phoenix_guard	100
0	wh2_main_hef_inf_spearmen_0	wh2_main_hef_inf_spearmen_0	100
0	wh2_main_hef_inf_spearmen_0_fallen_gates	wh2_main_hef_inf_spearmen_0	90
3	wh2_main_hef_inf_spearmen_0_tier_3	wh2_main_hef_inf_spearmen_0	100
0	wh2_main_hef_inf_swordmasters_of_hoeth_0	wh2_main_hef_inf_swordmasters_of_hoeth_0	100
7	wh2_main_hef_inf_swordmasters_of_hoeth_0_final_battle	wh2_main_hef_inf_swordmasters_of_hoeth_0	100
1	wh2_main_hef_inf_swordmasters_of_hoeth_0_tier_1	wh2_main_hef_inf_swordmasters_of_hoeth_0	100
0	wh2_main_hef_inf_white_lions_of_chrace_0	wh2_main_hef_inf_white_lions_of_chrace_0	100
4	wh2_main_hef_inf_white_lions_of_chrace_0_tier_4	wh2_main_hef_inf_white_lions_of_chrace_0	100
0	wh2_main_hef_mon_great_eagle	wh2_main_hef_mon_great_eagle	100
3	wh2_main_hef_mon_great_eagle_tier_3	wh2_main_hef_mon_great_eagle	100
0	wh2_main_hef_mon_moon_dragon	wh2_main_hef_mon_moon_dragon	100
3	wh2_main_hef_mon_moon_dragon_final_battle	wh2_main_hef_mon_moon_dragon	100
0	wh2_main_hef_mon_phoenix_flamespyre	wh2_main_hef_mon_phoenix_flamespyre	100
3	wh2_main_hef_mon_phoenix_flamespyre_final_battle	wh2_main_hef_mon_phoenix_flamespyre	100
1	wh2_main_hef_mon_phoenix_flamespyre_tier_1	wh2_main_hef_mon_phoenix_flamespyre	100
0	wh2_main_hef_mon_phoenix_frostheart	wh2_main_hef_mon_phoenix_frostheart	100
4	wh2_main_hef_mon_phoenix_frostheart_final_battle	wh2_main_hef_mon_phoenix_frostheart	100
0	wh2_main_hef_mon_star_dragon	wh2_main_hef_mon_star_dragon	100
3	wh2_main_hef_mon_star_dragon_final_battle	wh2_main_hef_mon_star_dragon	100
0	wh2_main_hef_mon_sun_dragon	wh2_main_hef_mon_sun_dragon	100
3	wh2_main_hef_mon_sun_dragon_final_battle	wh2_main_hef_mon_sun_dragon	100
0	wh2_main_lzd_cav_cold_one_spearriders_0	wh2_main_lzd_cav_cold_one_spearmen_1	100
0	wh2_main_lzd_cav_cold_ones_0	wh2_main_lzd_cav_cold_ones_1	100
0	wh2_main_lzd_cav_cold_ones_1	wh2_main_lzd_cav_cold_ones_1	100
0	wh2_main_lzd_cav_cold_ones_feral_0	wh2_main_lzd_cav_cold_ones_feral_0	100
3	wh2_main_lzd_cav_cold_ones_feral_0_tier_3	wh2_main_lzd_cav_cold_ones_feral_0	100
0	wh2_main_lzd_cav_horned_ones_0	wh2_main_lzd_cav_horned_ones_0	100
4	wh2_main_lzd_cav_horned_ones_0_final_battle	wh2_main_lzd_cav_horned_ones_0	100
0	wh2_main_lzd_cav_terradon_riders_0	wh2_main_lzd_cav_terradon_riders_0	100
0	wh2_main_lzd_cav_terradon_riders_1	wh2_main_lzd_cav_terradon_riders_1	100
0	wh2_main_lzd_inf_chameleon_skinks_0	wh2_main_lzd_inf_chameleon_skinks_0	100
6	wh2_main_lzd_inf_chameleon_skinks_0_final_battle	wh2_main_lzd_inf_chameleon_skinks_0	100
3	wh2_main_lzd_inf_chameleon_skinks_0_tier_3	wh2_main_lzd_inf_skink_skirmishers_0	100
0	wh2_main_lzd_inf_saurus_spearmen_0	wh2_main_lzd_inf_saurus_spearmen_0	100
0	wh2_main_lzd_inf_saurus_spearmen_1	wh2_main_lzd_inf_saurus_spearmen_1	100
3	wh2_main_lzd_inf_saurus_spearmen_1_tier_3	wh2_main_lzd_inf_saurus_spearmen_1	100
0	wh2_main_lzd_inf_saurus_warriors_0	wh2_main_lzd_inf_saurus_warriors_0	100
0	wh2_main_lzd_inf_saurus_warriors_1	wh2_main_lzd_inf_saurus_warriors_1	100
3	wh2_main_lzd_inf_saurus_warriors_1_tier_3	wh2_main_lzd_inf_saurus_warriors_1	100
0	wh2_main_lzd_inf_skink_cohort_0	wh2_main_lzd_inf_skink_cohort_0	100
4	wh2_main_lzd_inf_skink_cohort_0_tier_4	wh2_main_lzd_inf_skink_cohort_0	100
0	wh2_main_lzd_inf_skink_cohort_1	wh2_main_lzd_inf_skink_cohort_1	100
4	wh2_main_lzd_inf_skink_cohort_1_tier_4	wh2_main_lzd_inf_skink_cohort_1	100
0	wh2_main_lzd_inf_skink_skirmishers_0	wh2_main_lzd_inf_skink_skirmishers_0	100
3	wh2_main_lzd_inf_skink_skirmishers_0_tier_3	wh2_main_lzd_inf_skink_skirmishers_0	100
0	wh2_main_lzd_inf_temple_guards	wh2_main_lzd_inf_temple_guards	100
7	wh2_main_lzd_inf_temple_guards_final_battle	wh2_main_lzd_inf_temple_guards	100
0	wh2_main_lzd_mon_ancient_stegadon	wh2_main_lzd_mon_ancient_stegadon	100
3	wh2_main_lzd_mon_ancient_stegadon_final_battle	wh2_main_lzd_mon_ancient_stegadon	100
0	wh2_main_lzd_mon_bastiladon_0	wh2_main_lzd_mon_bastiladon_0	100
5	wh2_main_lzd_mon_bastiladon_0_tier_5	wh2_main_lzd_mon_bastiladon_0	100
0	wh2_main_lzd_mon_bastiladon_1	wh2_main_lzd_mon_bastiladon_1	100
0	wh2_main_lzd_mon_bastiladon_2	wh2_main_lzd_mon_bastiladon_2	100
3	wh2_main_lzd_mon_bastiladon_2_final_battle	wh2_main_lzd_mon_bastiladon_2	100
0	wh2_main_lzd_mon_carnosaur_0	wh2_main_lzd_mon_carnosaur_0	100
6	wh2_main_lzd_mon_carnosaur_0_final_battle	wh2_main_lzd_mon_carnosaur_0	100
0	wh2_main_lzd_mon_kroxigors	wh2_main_lzd_mon_kroxigors	100
4	wh2_main_lzd_mon_kroxigors_final_battle	wh2_main_lzd_mon_kroxigors	100
4	wh2_main_lzd_mon_kroxigors_tier_4	wh2_main_lzd_mon_kroxigors	100
0	wh2_main_lzd_mon_stegadon_0	wh2_main_lzd_mon_stegadon_0	100
0	wh2_main_lzd_mon_stegadon_1	wh2_main_lzd_mon_stegadon_1	100
0	wh2_main_skv_art_plagueclaw_catapult	wh2_main_skv_art_plagueclaw_catapult	100
4	wh2_main_skv_art_plagueclaw_catapult_final_battle	wh2_main_skv_art_plagueclaw_catapult	100
0	wh2_main_skv_art_warp_lightning_cannon	wh2_main_skv_art_warp_lightning_cannon	100
5	wh2_main_skv_art_warp_lightning_cannon_final_battle	wh2_main_skv_art_warp_lightning_cannon	100
0	wh2_main_skv_inf_clanrat_spearmen_0	wh2_main_skv_inf_clanrat_spearmen_0	100
0	wh2_main_skv_inf_clanrat_spearmen_1	wh2_main_skv_inf_clanrat_spearmen_1	100
0	wh2_main_skv_inf_clanrat_spearmen_1_summoned	wh2_main_skv_inf_clanrats_0_summoned_small	100
0	wh2_main_skv_inf_clanrats_0	wh2_main_skv_inf_clanrats_0	100
0	wh2_main_skv_inf_clanrats_0_summoned	wh2_main_skv_inf_clanrats_0_summoned	100
6	wh2_main_skv_inf_clanrats_0_tier_6	wh2_main_skv_inf_clanrats_0	100
0	wh2_main_skv_inf_clanrats_1	wh2_main_skv_inf_clanrats_1	100
0	wh2_main_skv_inf_death_globe_bombardiers	wh2_main_skv_inf_death_globe_bombardiers	100
6	wh2_main_skv_inf_death_globe_bombardiers_final_battle	wh2_main_skv_inf_death_globe_bombardiers	100
0	wh2_main_skv_inf_death_runners_0	wh2_main_skv_inf_death_runners_0	100
7	wh2_main_skv_inf_death_runners_0_final_battle	wh2_main_skv_inf_death_runners_0	100
0	wh2_main_skv_inf_gutter_runner_slingers_0	wh2_main_skv_inf_gutter_runner_slingers_0	100
0	wh2_main_skv_inf_gutter_runner_slingers_1	wh2_main_skv_inf_gutter_runner_slingers_1	100
0	wh2_main_skv_inf_gutter_runners_0	wh2_main_skv_inf_gutter_runners_0	100
0	wh2_main_skv_inf_gutter_runners_1	wh2_main_skv_inf_gutter_runners_1	100
0	wh2_main_skv_inf_night_runners_0	wh2_main_skv_inf_night_runners_0	100
0	wh2_main_skv_inf_night_runners_1	wh2_main_skv_inf_night_runners_1	100
0	wh2_main_skv_inf_plague_monk_censer_bearer	wh2_main_skv_inf_plague_monk_censer_bearer	100
5	wh2_main_skv_inf_plague_monk_censer_bearer_final_battle	wh2_main_skv_inf_plague_monk_censer_bearer	100
0	wh2_main_skv_inf_plague_monks	wh2_main_skv_inf_plague_monks	100
4	wh2_main_skv_inf_plague_monks_tier_4	wh2_main_skv_inf_plague_monks	100
0	wh2_main_skv_inf_poison_wind_globadiers	wh2_main_skv_inf_poison_wind_globadiers	100
0	wh2_main_skv_inf_skavenslave_slingers_0	wh2_main_skv_inf_skavenslave_slingers_0	100
3	wh2_main_skv_inf_skavenslave_slingers_0_tier_3	wh2_main_skv_inf_skavenslave_slingers_0	100
0	wh2_main_skv_inf_skavenslave_spearmen_0	wh2_main_skv_inf_skavenslave_spearmen_0	100
3	wh2_main_skv_inf_skavenslave_spearmen_0_tier_3	wh2_main_skv_inf_skavenslave_spearmen_0	100
0	wh2_main_skv_inf_skavenslaves_0	wh2_main_skv_inf_skavenslaves_0	100
3	wh2_main_skv_inf_skavenslaves_0_tier_3	wh2_main_skv_inf_skavenslaves_0	100
0	wh2_main_skv_inf_stormvermin_0	wh2_main_skv_inf_stormvermin_0	100
0	wh2_main_skv_inf_stormvermin_1	wh2_main_skv_inf_stormvermin_1	100
