battle_set_piece_frontend_groups_to_characters_tables
0
unknown0	unknown1
wh2_main_qb_def_malekith_circlet_of_iron_stage_3_altar_of_ultimate_darkness_defender_malekith	wh2_main_def_malekith
wh2_main_qb_def_malekith_destroyer_stage_3_vauls_anvil_attacker_malekith	wh2_main_def_malekith
wh2_main_qb_def_malekith_supreme_spellshield_stage_3_mosquito_swamps_attacker_malekith	wh2_main_def_malekith
wh2_main_qb_final_battle_def_general_with_army_abilities	wh2_main_def_malekith
wh2_main_qb_def_morathi_heartrender_and_the_darksword_stage_6_attacker_morathi	wh2_main_def_morathi
wh2_main_qb_hef_teclis_sword_of_teclis_stage_3_vauls_anvil_attacker_teclis	wh2_main_hef_teclis
wh2_main_qb_hef_teclis_war_crown_of_saphery_stage_3_caverns_of_the_great_defender_teclis	wh2_main_hef_teclis
wh2_main_qb_final_battle_hef_general_with_army_abilities	wh2_main_hef_tyrion
wh2_main_qb_hef_tyrion_dragon_armour_of_aenarion_stage_4_vauls_anvil_defender_tyrion	wh2_main_hef_tyrion
wh2_main_qb_hef_tyrion_sunfang_stage_4_tower_of_hoeth_attacker_tyrion	wh2_main_hef_tyrion
wh2_main_qb_lzd_kroqgar_hand_of_gods_stage_3_fallen_gates_attacker	wh2_main_lzd_kroq_gar
wh2_main_qb_lzd_kroqgar_revered_spear_of_tlanxla_stage_3_mosquito_swamps_attacker_kroqgar	wh2_main_lzd_kroq_gar
wh2_main_qb_final_battle_lzd_general_with_army_abilities	wh2_main_lzd_lord_mazdamundi
wh2_main_qb_lzd_mazdamundi_cobra_mace_of_mazdamundi_stage_3_isle_of_the_crimson_skull_attacker_mazdamundi	wh2_main_lzd_lord_mazdamundi
wh2_main_qb_lzd_mazdamundi_sunburst_standard_of_hexoatl_stage_4_fallen_gates_defender_mazdamundi	wh2_main_lzd_lord_mazdamundi
wh2_main_qb_skv_skrolk_rod_of_corruption_stage_3_isle_of_the_crimson_skull_defender_lord_skrolk	wh2_main_skv_lord_skrolk
wh2_main_qb_skv_skrolk_the_liber_bubonicus_stage_3_mortuary_of_tzulaqua_defender_lord_skrolk	wh2_main_skv_lord_skrolk
wh2_main_qb_final_battle_skv_general_with_army_abilities	wh2_main_skv_queek_headtaker
wh2_main_qb_skv_queek_dwarf_gouger_stage_4_gouger_gully_defender_queek	wh2_main_skv_queek_headtaker
wh2_main_qb_skv_queek_headtaker_warp_shard_armour_stage_6_warp_shard_caverns_attacker_queek	wh2_main_skv_queek_headtaker
wh_dlc01_qb_chs_archaon_armour_of_morkar_stage_3_player	wh_dlc01_chs_archaon
wh_dlc01_qb_chs_archaon_crown_of_command_stage_2_player	wh_dlc01_chs_archaon
wh_dlc01_qb_chs_archaon_eye_of_sheerian_stage_3_player	wh_dlc01_chs_archaon
wh_dlc01_qb_chs_archaon_slayer_of_kings_stage_3_player	wh_dlc01_chs_archaon
wh_dlc01_qb_chs_kholek_suneater_starcrusher_stage_3_player	wh_dlc01_chs_kholek
wh_dlc01_qb_chs_prince_sigvald_auric_armour_stage_3_player	wh_dlc01_chs_sigvald
wh_dlc01_qb_chs_prince_sigvald_sliverslash_stage_4_player	wh_dlc01_chs_sigvald
wh_dlc03_qb_bst_khazrak_one_eye_scourge_stage_4_player_grandcampaign	wh_dlc03_bst_khazrak
wh_dlc03_qb_bst_khazrak_one_eye_the_dark_mail_stage_5_player_grandcampaign	wh_dlc03_bst_khazrak
wh_dlc03_qb_bst_malagor_the_dark_omen_the_icons_of_vilification_stage_3_player_grandcampaign	wh_dlc03_bst_malagor
wh_dlc03_qb_bst_malagor_the_dark_omen_the_icons_of_vilification_stage_5_player_grandcampaign	wh_dlc03_bst_malagor
wh_dlc04_qb_emp_volkmar_the_grim_jade_griffon_stage_4_player	wh_dlc04_emp_volkmar
wh_dlc04_qb_emp_volkmar_the_grim_staff_of_command_stage_4_player	wh_dlc04_emp_volkmar
wh_dlc04_qb_vmp_helman_ghorst_liber_noctus_stage_4_player	wh_dlc04_vmp_helman
wh_dlc04_qb_vmp_vlad_von_carstein_the_von_carstein_ring_stage_4_player	wh_dlc04_vmp_vlad
wh_dlc04_qb_vmp_vlad_von_cartein_blood_drinker_stage_4_player	wh_dlc04_vmp_vlad
wh_dlc05_qb_bst_morghur_stave_of_ruinous_corruption_stage_4_player	wh_dlc05_bst_morghur
wh_dlc05_qb_wef_durthu_daiths_sword_stage_3_player	wh_dlc05_wef_durthu
wh_dlc05_qb_wef_durthu_daiths_sword_stage_4_player	wh_dlc05_wef_durthu
wh_dlc05_qb_wef_grand_defense_of_the_oak_player	wh_dlc05_wef_orion
wh_dlc05_qb_wef_mini_silver_spire_player	wh_dlc05_wef_orion
wh_dlc05_qb_wef_orion_the_cloak_of_isha_stage_3_player	wh_dlc05_wef_orion
wh_dlc05_qb_wef_orion_the_horn_of_the_wild_stage_3_player	wh_dlc05_wef_orion
wh_dlc05_qb_wef_orion_the_spear_of_kurnous_stage_3_player	wh_dlc05_wef_orion
wh_dlc06_qb_dwf_belegar_ironhammer_hammer_of_angrund_stage_4_player	wh_dlc06_dwf_belegar
wh_dlc06_qb_dwf_belegar_ironhammer_shield_of_defiance_stage_3_player	wh_dlc06_dwf_belegar
wh_dlc06_qb_grn_skarsnik_skarsniks_prodder_stage_3_player	wh_dlc06_grn_skarsnik
wh_dlc06_qb_grn_skarsnik_skarsniks_prodder_stage_5_player	wh_dlc06_grn_skarsnik
wh_dlc06_grn_wurrzag_da_great_green_prophet_squiggly_beast_stage_3_player	wh_dlc06_grn_wurrzag
wh_dlc06_qb_grn_wurrzag_da_great_green_prophet_baleful_mask_stage_4_player	wh_dlc06_grn_wurrzag
wh_dlc06_qb_grn_wurrzag_da_great_green_prophet_bonewood_staff_stage_3_player	wh_dlc06_grn_wurrzag
wh_dlc07_qb_brt_alberic_trident_of_manann_stage_8_player	wh_dlc07_brt_alberic
