battle_siege_vehicle_permissions_tables
0
faction	vehicle
wh_main_brt_bordeleaux	brt_battering_ram
wh_main_brt_bretonnia	brt_battering_ram
wh_main_brt_carcassonne	brt_battering_ram
wh_main_brt_bordeleaux	brt_siege_tower_15m
wh_main_brt_bretonnia	brt_siege_tower_15m
wh_main_brt_carcassonne	brt_siege_tower_15m
wh_dlc03_bst_beastmen	bst_battering_ram
wh_dlc03_bst_beastmen_chaos	bst_battering_ram
wh_dlc03_bst_beastmen_chaos_brayherd	bst_battering_ram
wh_dlc03_bst_jagged_horn	bst_battering_ram
wh_dlc03_bst_jagged_horn_brayherd	bst_battering_ram
wh_dlc03_bst_mini_khazrak_herd	bst_battering_ram
wh_dlc03_bst_redhorn	bst_battering_ram
wh_dlc03_bst_redhorn_brayherd	bst_battering_ram
wh_dlc05_bst_mini_morghur_herd	bst_battering_ram
wh_dlc05_bst_mini_morghur_herd_brayherd	bst_battering_ram
wh_dlc03_bst_beastmen	bst_siege_tower_15m
wh_dlc03_bst_beastmen_chaos	bst_siege_tower_15m
wh_dlc03_bst_beastmen_chaos_brayherd	bst_siege_tower_15m
wh_dlc03_bst_jagged_horn	bst_siege_tower_15m
wh_dlc03_bst_jagged_horn_brayherd	bst_siege_tower_15m
wh_dlc03_bst_mini_khazrak_herd	bst_siege_tower_15m
wh_dlc03_bst_redhorn	bst_siege_tower_15m
wh_dlc03_bst_redhorn_brayherd	bst_siege_tower_15m
wh_dlc05_bst_mini_morghur_herd	bst_siege_tower_15m
wh_dlc05_bst_mini_morghur_herd_brayherd	bst_siege_tower_15m
wh_main_chs_chaos	chs_battering_ram
wh_main_nor_varg	chs_battering_ram
wh_main_chs_chaos	chs_siege_tower_15m
wh_main_nor_varg	chs_siege_tower_15m
wh2_main_def_dark_elves	def_battering_ram
wh2_main_def_dark_elves	def_siege_tower_15m
wh_main_dwf_dwarfs	dwf_battering_ram
wh_main_dwf_karak_izor	dwf_battering_ram
wh_main_dwf_dwarfs	dwf_siege_tower_15m
wh_main_dwf_karak_izor	dwf_siege_tower_15m
wh_dlc03_emp_middenland	emp_battering_ram
wh_main_emp_empire	emp_battering_ram
wh_main_emp_middenland	emp_battering_ram
wh_main_ksl_kislev	emp_battering_ram
wh_main_teb_border_princes	emp_battering_ram
wh_main_teb_estalia	emp_battering_ram
wh_main_teb_tilea	emp_battering_ram
wh_dlc03_emp_middenland	emp_siege_tower_15m
wh_main_emp_empire	emp_siege_tower_15m
wh_main_emp_middenland	emp_siege_tower_15m
wh_main_ksl_kislev	emp_siege_tower_15m
wh_main_teb_border_princes	emp_siege_tower_15m
wh_main_teb_estalia	emp_siege_tower_15m
wh_main_teb_tilea	emp_siege_tower_15m
wh_main_grn_crooked_moon	grn_battering_ram
wh_main_grn_greenskins	grn_battering_ram
wh_main_grn_orcs_of_the_bloody_hand	grn_battering_ram
wh_main_grn_crooked_moon	grn_siege_tower_15m
wh_main_grn_greenskins	grn_siege_tower_15m
wh_main_grn_orcs_of_the_bloody_hand	grn_siege_tower_15m
wh2_main_hef_high_elves	hef_battering_ram
wh2_main_hef_high_elves	hef_siege_tower_15m
wh2_main_lzd_lizardmen	lzd_battering_ram
wh2_main_lzd_lizardmen	lzd_siege_tower_15m
wh2_main_skv_skaven	skv_battering_ram
wh2_main_skv_skaven	skv_siege_tower_15m
wh_dlc05_vmp_mousillon	vmp_battering_ram
wh_main_vmp_mousillon	vmp_battering_ram
wh_main_vmp_schwartzhafen	vmp_battering_ram
wh_main_vmp_vampire_counts	vmp_battering_ram
wh_dlc05_vmp_mousillon	vmp_siege_tower_15m
wh_main_vmp_mousillon	vmp_siege_tower_15m
wh_main_vmp_schwartzhafen	vmp_siege_tower_15m
wh_main_vmp_vampire_counts	vmp_siege_tower_15m
wh_dlc05_wef_argwylon	wef_battering_ram
wh_dlc05_wef_mini_argwylon	wef_battering_ram
wh_dlc05_wef_mini_wood_elves	wef_battering_ram
wh_dlc05_wef_wood_elves	wef_battering_ram
wh_dlc05_wef_argwylon	wef_siege_tower_15m
wh_dlc05_wef_mini_argwylon	wef_siege_tower_15m
wh_dlc05_wef_mini_wood_elves	wef_siege_tower_15m
wh_dlc05_wef_wood_elves	wef_siege_tower_15m
