building_set_to_building_junctions_tables
0
building_chain	building_level	building_set	exclude
wh2_main_horde_def_settlement		wh2_main_set_black_ark	False
wh2_main_def_defence_major		wh2_main_set_darkelf_defence	False
wh2_main_def_defence_minor		wh2_main_set_darkelf_defence	False
wh2_main_def_defence_norsca		wh2_main_set_darkelf_defence	False
wh2_main_horde_def_bombardment_a		wh2_main_set_darkelf_defence	False
wh2_main_horde_def_bombardment_b		wh2_main_set_darkelf_defence	False
wh2_main_horde_def_bombardment_c		wh2_main_set_darkelf_defence	False
wh2_main_def_farm		wh2_main_set_darkelf_infrastructure	False
wh2_main_def_industry		wh2_main_set_darkelf_infrastructure	False
wh2_main_def_order		wh2_main_set_darkelf_infrastructure	False
wh2_main_def_pleasure_cult		wh2_main_set_darkelf_infrastructure	False
wh2_main_def_roads		wh2_main_set_darkelf_infrastructure	False
wh2_main_def_slaves		wh2_main_set_darkelf_infrastructure	False
wh2_main_horde_def_entertainment		wh2_main_set_darkelf_infrastructure	False
wh2_main_horde_def_slavery		wh2_main_set_darkelf_infrastructure	False
wh2_main_def_barracks		wh2_main_set_darkelf_military_recruitment	False
wh2_main_def_exiles		wh2_main_set_darkelf_military_recruitment	False
wh2_main_def_riders		wh2_main_set_darkelf_military_recruitment	False
wh2_main_horde_def_military		wh2_main_set_darkelf_military_recruitment	False
wh2_main_def_beasts		wh2_main_set_darkelf_military_support	False
wh2_main_def_coldones		wh2_main_set_darkelf_military_support	False
wh2_main_def_murder		wh2_main_set_darkelf_military_support	False
wh2_main_def_sorcery		wh2_main_set_darkelf_military_support	False
wh2_main_def_worship		wh2_main_set_darkelf_military_support	False
wh2_main_horde_def_beasts		wh2_main_set_darkelf_military_support	False
wh2_main_horde_def_sorcery		wh2_main_set_darkelf_military_support	False
wh2_main_horde_def_worship		wh2_main_set_darkelf_military_support	False
wh2_main_def_port		wh2_main_set_darkelf_port	False
	wh2_main_def_sorcery_1	wh2_main_set_darkelf_sorcery	False
	wh2_main_def_sorcery_2	wh2_main_set_darkelf_sorcery	False
	wh2_main_special_ghrond_convent_of_sorcery_1	wh2_main_set_darkelf_sorcery	False
	wh2_main_special_ghrond_convent_of_sorcery_2	wh2_main_set_darkelf_sorcery	False
	wh2_main_special_tower_of_hoeth_1_def	wh2_main_set_darkelf_sorcery	False
	wh2_main_special_tower_of_hoeth_2_def	wh2_main_set_darkelf_sorcery	False
	wh2_main_def_pleasure_cult_1	wh2_main_set_darkelf_temples	False
	wh2_main_def_pleasure_cult_2	wh2_main_set_darkelf_temples	False
	wh2_main_def_pleasure_cult_3	wh2_main_set_darkelf_temples	False
	wh2_main_def_pleasure_cult_4	wh2_main_set_darkelf_temples	False
	wh2_main_def_pleasure_cult_5	wh2_main_set_darkelf_temples	False
	wh2_main_def_worship_1	wh2_main_set_darkelf_temples	False
	wh2_main_def_worship_2	wh2_main_set_darkelf_temples	False
	wh2_main_def_worship_3	wh2_main_set_darkelf_temples	False
	wh_dlc06_dwf_ranger_hub_1	wh2_main_set_dwf_rangers_drinking	False
	wh_dlc06_dwf_ranger_hub_1_all	wh2_main_set_dwf_rangers_drinking	False
	wh_dlc06_dwf_ranger_hub_2	wh2_main_set_dwf_rangers_drinking	False
	wh_dlc06_dwf_ranger_hub_2_all	wh2_main_set_dwf_rangers_drinking	False
	wh_dlc06_dwf_ranger_hub_3	wh2_main_set_dwf_rangers_drinking	False
	wh_main_dwf_tavern_1	wh2_main_set_dwf_rangers_drinking	False
	wh_main_dwf_tavern_2	wh2_main_set_dwf_rangers_drinking	False
	wh_main_dwf_tavern_3	wh2_main_set_dwf_rangers_drinking	False
	wh2_main_hef_court_1	wh2_main_set_hef_cultural	False
	wh2_main_hef_court_2	wh2_main_set_hef_cultural	False
	wh2_main_hef_embassy_1	wh2_main_set_hef_cultural	False
	wh2_main_hef_order_1	wh2_main_set_hef_cultural	False
	wh2_main_hef_order_2	wh2_main_set_hef_cultural	False
	wh2_main_hef_order_3	wh2_main_set_hef_cultural	False
	wh2_main_hef_order_4	wh2_main_set_hef_cultural	False
	wh2_main_hef_order_5	wh2_main_set_hef_cultural	False
