building_sets_tables
3
key	unknown1	unknown2	unknown3	unknown4	unknown5
wh2_main_set_black_ark	placeholder	0	62	61	56
wh2_main_set_darkelf_defence	UI/Buildings/Icons/dark_elves_cat_defence.png	6	91	73	47
wh2_main_set_darkelf_infrastructure	UI/Buildings/Icons/dark_elves_cat_civic.png	7	62	71	57
wh2_main_set_darkelf_military_recruitment	UI/Buildings/Icons/dark_elves_cat_recruitment.png	4	120	20	20
wh2_main_set_darkelf_military_support	UI/Buildings/Icons/dark_elves_cat_support.png	5	75	65	88
wh2_main_set_darkelf_port	placeholder	1	53	69	81
wh2_main_set_darkelf_sorcery	placeholder	0	255	255	255
wh2_main_set_darkelf_temples	placeholder	0	255	255	255
wh2_main_set_dwf_rangers_drinking	placeholder	0	255	255	255
wh2_main_set_hef_cultural	placeholder	0	255	255	255
wh2_main_set_hef_industry	placeholder	0	255	255	255
wh2_main_set_hef_worship	placeholder	0	255	255	255
wh2_main_set_highelf_defence	UI/Buildings/Icons/high_elves_cat_defence.png	6	91	73	47
wh2_main_set_highelf_infrastructure	UI/Buildings/Icons/high_elves_cat_civic.png	7	62	71	57
wh2_main_set_highelf_military_recruitment	UI/Buildings/Icons/high_elves_cat_recruitment.png	4	120	20	20
wh2_main_set_highelf_military_support	UI/Buildings/Icons/high_elves_cat_support.png	5	75	65	88
wh2_main_set_highelf_port	placeholder	1	53	69	81
wh2_main_set_landmark	UI/Buildings/Icons/empire_cat_landmark.png	2	100	20	60
wh2_main_set_lizardmen_defence	UI/Buildings/Icons/lizardmen_cat_defence.png	6	91	73	47
wh2_main_set_lizardmen_infrastructure	UI/Buildings/Icons/lizardmen_cat_civic.png	7	62	71	57
wh2_main_set_lizardmen_military_recruitment	UI/Buildings/Icons/lizardmen_cat_recruitment.png	4	120	20	20
wh2_main_set_lizardmen_military_support	UI/Buildings/Icons/lizardmen_cat_support.png	5	75	65	88
wh2_main_set_lizardmen_port	placeholder	1	53	69	81
wh2_main_set_lizardmen_star_chamber	placeholder	0	255	255	255
wh2_main_set_lizardmen_temples	placeholder	0	255	255	255
wh2_main_set_newhorde_def	placeholder	0	255	255	255
wh2_main_set_newhorde_rogue	placeholder	0	255	255	255
wh2_main_set_resource	UI/Buildings/Icons/empire_cat_resource.png	3	85	30	0
wh2_main_set_rogue_settlement_horde	placeholder	0	62	61	56
wh2_main_set_skaven_defence	UI/Buildings/Icons/skaven_cat_defence.png	6	91	73	47
wh2_main_set_skaven_infrastructure	UI/Buildings/Icons/skaven_cat_civic.png	7	62	71	57
wh2_main_set_skaven_military_recruitment	UI/Buildings/Icons/skaven_cat_recruitment.png	4	120	20	20
wh2_main_set_skaven_military_support	UI/Buildings/Icons/skaven_cat_support.png	5	75	65	88
wh2_main_set_skaven_plague	placeholder	0	255	255	255
wh2_main_set_skaven_port	placeholder	1	53	69	81
wh_dlc03_set_beastmen_economy	UI/Buildings/Icons/beastmen_cat_civic.png	5	91	73	47
wh_dlc03_set_beastmen_military_recruitment	UI/Buildings/Icons/beastmen_cat_recruitment.png	2	101	57	52
wh_dlc03_set_beastmen_military_support	UI/Buildings/Icons/beastmen_cat_support.png	3	75	65	88
wh_dlc03_set_beastmen_settlement_horde	placeholder	0	62	61	56
wh_dlc03_set_newhorde_beastmen	placeholder	0	255	255	255
wh_dlc05_set_woodelves_defence	UI/Buildings/Icons/wood_elves_cat_defence.png	4	91	73	47
wh_dlc05_set_woodelves_economy	UI/Buildings/Icons/wood_elves_cat_civic.png	5	62	71	57
wh_dlc05_set_woodelves_military_recruitment	UI/Buildings/Icons/wood_elves_cat_recruitment.png	2	101	57	52
wh_dlc05_set_woodelves_military_support	UI/Buildings/Icons/wood_elves_cat_support.png	3	75	65	88
wh_dlc05_set_woodelves_offices	UI/Buildings/Icons/wood_elves_cat_office.png	1	100	160	100
