building_upgrades_junction_tables
0
from	to
wh2_main_brt_resource_animals_1	wh2_main_brt_resource_animals_2
wh2_main_brt_resource_animals_2	wh2_main_brt_resource_animals_3
wh2_main_brt_resource_dyes_1	wh2_main_brt_resource_dyes_2
wh2_main_brt_resource_dyes_2	wh2_main_brt_resource_dyes_3
wh2_main_brt_resource_furs_1	wh2_main_brt_resource_furs_2
wh2_main_brt_resource_furs_2	wh2_main_brt_resource_furs_3
wh2_main_brt_resource_gemstones_1	wh2_main_brt_resource_gemstones_2
wh2_main_brt_resource_gemstones_2	wh2_main_brt_resource_gemstones_3
wh2_main_brt_resource_gold_1	wh2_main_brt_resource_gold_2
wh2_main_brt_resource_gold_2	wh2_main_brt_resource_gold_3
wh2_main_brt_resource_iron_1	wh2_main_brt_resource_iron_2
wh2_main_brt_resource_iron_2	wh2_main_brt_resource_iron_3
wh2_main_brt_resource_marble_1	wh2_main_brt_resource_marble_2
wh2_main_brt_resource_marble_2	wh2_main_brt_resource_marble_3
wh2_main_brt_resource_medicine_1	wh2_main_brt_resource_medicine_2
wh2_main_brt_resource_medicine_2	wh2_main_brt_resource_medicine_3
wh2_main_brt_resource_obsidian_1	wh2_main_brt_resource_obsidian_2
wh2_main_brt_resource_obsidian_2	wh2_main_brt_resource_obsidian_3
wh2_main_brt_resource_pastures_1	wh2_main_brt_resource_pastures_2
wh2_main_brt_resource_pastures_2	wh2_main_brt_resource_pastures_3
wh2_main_brt_resource_pottery_1	wh2_main_brt_resource_pottery_2
wh2_main_brt_resource_pottery_2	wh2_main_brt_resource_pottery_3
wh2_main_brt_resource_salt_1	wh2_main_brt_resource_salt_2
wh2_main_brt_resource_salt_2	wh2_main_brt_resource_salt_3
wh2_main_brt_resource_spices_1	wh2_main_brt_resource_spices_2
wh2_main_brt_resource_spices_2	wh2_main_brt_resource_spices_3
wh2_main_brt_resource_timber_1	wh2_main_brt_resource_timber_2
wh2_main_brt_resource_timber_2	wh2_main_brt_resource_timber_3
wh2_main_brt_resource_wine_1	wh2_main_brt_resource_wine_2
wh2_main_brt_resource_wine_2	wh2_main_brt_resource_wine_3
wh2_main_def_barracks_1	wh2_main_def_barracks_2
wh2_main_def_barracks_2	wh2_main_def_barracks_3
wh2_main_def_beasts_1	wh2_main_def_beasts_2
wh2_main_def_beasts_2	wh2_main_def_beasts_3
wh2_main_def_coldones_1	wh2_main_def_coldones_2
wh2_main_def_defence_major_1	wh2_main_def_defence_major_2
wh2_main_def_defence_major_2	wh2_main_def_defence_major_3
wh2_main_def_defence_minor_1	wh2_main_def_defence_minor_2
wh2_main_def_exiles_1	wh2_main_def_exiles_2
wh2_main_def_farm_1	wh2_main_def_farm_2
wh2_main_def_farm_2	wh2_main_def_farm_3
wh2_main_def_industry_1	wh2_main_def_industry_2
wh2_main_def_industry_2	wh2_main_def_industry_3
wh2_main_def_murder_1	wh2_main_def_murder_2
wh2_main_def_order_1	wh2_main_def_order_2
wh2_main_def_order_2	wh2_main_def_order_3
wh2_main_def_outpostnorsca_major_1_coast	wh2_main_def_outpostnorsca_major_2_coast
wh2_main_def_outpostnorsca_major_1	wh2_main_def_outpostnorsca_major_2
wh2_main_def_outpostnorsca_major_2_coast	wh2_main_def_outpostnorsca_major_3_coast
wh2_main_def_outpostnorsca_major_2	wh2_main_def_outpostnorsca_major_3
wh2_main_def_outpostnorsca_major_3_coast	wh2_main_def_outpostnorsca_major_4_coast
wh2_main_def_outpostnorsca_major_3	wh2_main_def_outpostnorsca_major_4
wh2_main_def_outpostnorsca_major_4_coast	wh2_main_def_outpostnorsca_major_5_coast
wh2_main_def_outpostnorsca_major_4	wh2_main_def_outpostnorsca_major_5
wh2_main_def_outpostnorsca_major_ruin_coast	wh2_main_def_outpostnorsca_major_1_coast
wh2_main_def_outpostnorsca_major_ruin	wh2_main_def_outpostnorsca_major_1
wh2_main_def_outpostnorsca_minor_1_coast	wh2_main_def_outpostnorsca_minor_2_coast
wh2_main_def_outpostnorsca_minor_1	wh2_main_def_outpostnorsca_minor_2
wh2_main_def_outpostnorsca_minor_2_coast	wh2_main_def_outpostnorsca_minor_3_coast
wh2_main_def_outpostnorsca_minor_2	wh2_main_def_outpostnorsca_minor_3
wh2_main_def_outpostnorsca_minor_ruin_coast	wh2_main_def_outpostnorsca_minor_1_coast
wh2_main_def_outpostnorsca_minor_ruin	wh2_main_def_outpostnorsca_minor_1
wh2_main_def_pleasure_cult_1	wh2_main_def_pleasure_cult_2
wh2_main_def_pleasure_cult_2	wh2_main_def_pleasure_cult_3
wh2_main_def_pleasure_cult_3	wh2_main_def_pleasure_cult_4
wh2_main_def_pleasure_cult_4	wh2_main_def_pleasure_cult_5
wh2_main_def_port_1	wh2_main_def_port_2
wh2_main_def_port_2	wh2_main_def_port_3
wh2_main_def_port_ruin	wh2_main_def_port_1
wh2_main_def_resource_animals_1	wh2_main_def_resource_animals_2
wh2_main_def_resource_animals_2	wh2_main_def_resource_animals_3
wh2_main_def_resource_dyes_1	wh2_main_def_resource_dyes_2
wh2_main_def_resource_dyes_2	wh2_main_def_resource_dyes_3
wh2_main_def_resource_furs_1	wh2_main_def_resource_furs_2
wh2_main_def_resource_furs_2	wh2_main_def_resource_furs_3
wh2_main_def_resource_gems_1	wh2_main_def_resource_gems_2
wh2_main_def_resource_gems_2	wh2_main_def_resource_gems_3
wh2_main_def_resource_gold_1	wh2_main_def_resource_gold_2
wh2_main_def_resource_gold_2	wh2_main_def_resource_gold_3
wh2_main_def_resource_iron_1	wh2_main_def_resource_iron_2
wh2_main_def_resource_iron_2	wh2_main_def_resource_iron_3
wh2_main_def_resource_marble_1	wh2_main_def_resource_marble_2
wh2_main_def_resource_marble_2	wh2_main_def_resource_marble_3
wh2_main_def_resource_medicine_1	wh2_main_def_resource_medicine_2
wh2_main_def_resource_medicine_2	wh2_main_def_resource_medicine_3
wh2_main_def_resource_obsidian_1	wh2_main_def_resource_obsidian_2
wh2_main_def_resource_obsidian_2	wh2_main_def_resource_obsidian_3
wh2_main_def_resource_pasture_1	wh2_main_def_resource_pasture_2
wh2_main_def_resource_pasture_2	wh2_main_def_resource_pasture_3
wh2_main_def_resource_pottery_1	wh2_main_def_resource_pottery_2
wh2_main_def_resource_pottery_2	wh2_main_def_resource_pottery_3
wh2_main_def_resource_salt_1	wh2_main_def_resource_salt_2
wh2_main_def_resource_salt_2	wh2_main_def_resource_salt_3
wh2_main_def_resource_spices_1	wh2_main_def_resource_spices_2
wh2_main_def_resource_spices_2	wh2_main_def_resource_spices_3
wh2_main_def_resource_wine_1	wh2_main_def_resource_wine_2
wh2_main_def_resource_wine_2	wh2_main_def_resource_wine_3
wh2_main_def_resource_wood_1	wh2_main_def_resource_wood_2
wh2_main_def_resource_wood_2	wh2_main_def_resource_wood_3
wh2_main_def_riders_1	wh2_main_def_riders_2
