cai_personality_cultural_components_tables
2
id	base_bonus_multiplier	base_penalty_multiplier	event_bonus_multiplier	event_penalty_multiplier	short_description	long_description
anti_chaos	0	0	1	1	personality_desc_short_shield_of_civilisation	personality_desc_long_shield_of_civilisation
default	0	0	1	1		
dislikes_beastmen	1	1	1	1	dlc05_personality_desc_short_dislikes_beastmen	dlc05_personality_desc_long_dislikes_beastmen
dislikes_bretonnia	0	0	1	1	personality_desc_short_dislikes_bretonnia	personality_desc_long_dislikes_bretonnia
dislikes_darkelves_internal	0	0	1	1	personality_desc_short_dislikes_darkelves_internal	personality_desc_long_dislikes_darkelves_internal
dislikes_dwarfs	0	0	1	1	personality_desc_short_dislikes_dwarfs	personality_desc_long_dislikes_dwarfs
dislikes_empire	0	0	1	1	personality_desc_short_dislikes_empire	personality_desc_long_dislikes_empire
dislikes_highelves_internal	0	0	1	1	personality_desc_short_dislikes_highelves_internal	personality_desc_long_dislikes_highelves_internal
dislikes_lizardmen_internal	0	0	1	1	personality_desc_short_dislikes_lizardmen_internal	personality_desc_long_dislikes_lizardmen_internal
dislikes_skaven_internal	0	0	1	1	personality_desc_short_dislikes_skaven_internal	personality_desc_long_dislikes_skaven_internal
likes_highelves_internal	0	0	1	1	personality_desc_short_likes_highelves_internal	personality_desc_long_likes_highelves_internal
likes_lizardmen_internal	0	0	1	1	personality_desc_short_likes_lizardmen_internal	personality_desc_long_likes_lizardmen_internal
likes_vampires	0	0	1	1	personality_desc_short_likes_vampires	personality_desc_long_likes_vampires
