cai_personality_cultural_relations_overrides_tables
1
attitude_base	component_id	negative_attitude_mulitplier	positive_attitude_multiplier	source	target
50	anti_chaos	0.75	1.5	wh2_main_sc_hef_high_elves	wh2_main_sc_hef_high_elves
50	anti_chaos	0.75	1.5	wh2_main_sc_hef_high_elves	wh2_main_sc_lzd_lizardmen
50	anti_chaos	0.75	1.5	wh2_main_sc_hef_high_elves	wh_main_sc_brt_bretonnia
50	anti_chaos	0.75	1.5	wh2_main_sc_hef_high_elves	wh_main_sc_dwf_dwarfs
50	anti_chaos	0.75	1.5	wh2_main_sc_hef_high_elves	wh_main_sc_emp_empire
50	anti_chaos	0.75	1.5	wh2_main_sc_lzd_lizardmen	wh2_main_sc_hef_high_elves
50	anti_chaos	0.75	1.5	wh2_main_sc_lzd_lizardmen	wh2_main_sc_lzd_lizardmen
50	anti_chaos	0.75	1.5	wh2_main_sc_lzd_lizardmen	wh_main_sc_brt_bretonnia
50	anti_chaos	0.75	1.5	wh2_main_sc_lzd_lizardmen	wh_main_sc_dwf_dwarfs
50	anti_chaos	0.75	1.5	wh2_main_sc_lzd_lizardmen	wh_main_sc_emp_empire
50	anti_chaos	0.75	1.5	wh_main_sc_brt_bretonnia	wh2_main_sc_hef_high_elves
50	anti_chaos	0.75	1.5	wh_main_sc_brt_bretonnia	wh2_main_sc_lzd_lizardmen
50	anti_chaos	0.75	1.5	wh_main_sc_brt_bretonnia	wh_main_sc_brt_bretonnia
50	anti_chaos	0.75	1.5	wh_main_sc_brt_bretonnia	wh_main_sc_dwf_dwarfs
50	anti_chaos	0.75	1.5	wh_main_sc_brt_bretonnia	wh_main_sc_emp_empire
50	anti_chaos	0.75	1.5	wh_main_sc_dwf_dwarfs	wh2_main_sc_hef_high_elves
50	anti_chaos	0.75	1.5	wh_main_sc_dwf_dwarfs	wh2_main_sc_lzd_lizardmen
50	anti_chaos	0.75	1.5	wh_main_sc_dwf_dwarfs	wh_main_sc_brt_bretonnia
50	anti_chaos	0.75	1.5	wh_main_sc_dwf_dwarfs	wh_main_sc_dwf_dwarfs
50	anti_chaos	0.75	1.5	wh_main_sc_dwf_dwarfs	wh_main_sc_emp_empire
50	anti_chaos	0.75	1.5	wh_main_sc_emp_empire	wh2_main_sc_hef_high_elves
50	anti_chaos	0.75	1.5	wh_main_sc_emp_empire	wh2_main_sc_lzd_lizardmen
50	anti_chaos	0.75	1.5	wh_main_sc_emp_empire	wh_main_sc_brt_bretonnia
50	anti_chaos	0.75	1.5	wh_main_sc_emp_empire	wh_main_sc_dwf_dwarfs
50	anti_chaos	0.75	1.5	wh_main_sc_emp_empire	wh_main_sc_emp_empire
-15	dislikes_bretonnia	1	1	wh_main_sc_brt_bretonnia	wh_main_sc_brt_bretonnia
-15	dislikes_bretonnia	1	1	wh_main_sc_dwf_dwarfs	wh_main_sc_brt_bretonnia
-15	dislikes_bretonnia	1	1	wh_main_sc_emp_empire	wh_main_sc_brt_bretonnia
-30	dislikes_darkelves_internal	1	1	wh2_main_sc_def_dark_elves	wh2_main_sc_def_dark_elves
-15	dislikes_dwarfs	1	1	wh_main_sc_brt_bretonnia	wh_main_sc_dwf_dwarfs
-15	dislikes_dwarfs	1	1	wh_main_sc_dwf_dwarfs	wh_main_sc_dwf_dwarfs
-15	dislikes_dwarfs	1	1	wh_main_sc_emp_empire	wh_main_sc_dwf_dwarfs
-15	dislikes_empire	1	1	wh_main_sc_brt_bretonnia	wh_main_sc_emp_empire
-15	dislikes_empire	1	1	wh_main_sc_dwf_dwarfs	wh_main_sc_emp_empire
-15	dislikes_empire	1	1	wh_main_sc_emp_empire	wh_main_sc_emp_empire
-30	dislikes_highelves_internal	1	1	wh2_main_sc_hef_high_elves	wh2_main_sc_hef_high_elves
-30	dislikes_lizardmen_internal	1	1	wh2_main_sc_lzd_lizardmen	wh2_main_sc_lzd_lizardmen
-30	dislikes_skaven_internal	1	1	wh2_main_sc_skv_skaven	wh2_main_sc_skv_skaven
30	likes_highelves_internal	1	1	wh2_main_sc_hef_high_elves	wh2_main_sc_hef_high_elves
20	likes_lizardmen_internal	1	1	wh2_main_sc_lzd_lizardmen	wh2_main_sc_lzd_lizardmen
10	likes_vampires	1	1	wh_main_sc_grn_greenskins	wh_main_sc_vmp_vampire_counts
