cai_personality_deal_evaluation_deal_component_values_tables
4
best_friends_value	bitter_enemies_value	deal_component	friendly_value	neutral_value	personality_component	total_war_balance_factor	last_stand_balance_factor	unfriendly_value	very_friendly_value	very_unfriendly_value	war_balance_factor	tension_balance_factor	peace_balance_factor	treachery_value	unknown15	unknown16	unknown17	unknown18	unknown19	unknown20	unknown21
-35	5	OFFER_DECLARE_WAR	-17	-10	aggressive	-30	-35	-5	-23	0	10	20	65	-0.5	1	1	1	1	1	1	1
-35	5	OFFER_JOIN_WAR	-17	-10	aggressive	-30	-35	-5	-23	0	10	20	65	-0.5	1	1	1	1	1	1	1
-5	-40	PEACE	-9	-16	aggressive	40	50	-25	-7	-35	17	10	5	2	1	1	1	1	1	1	1
0	0	STRATEGIC_BALANCE_CHANGE	0	0	aggressive	50	60	0	0	0	35	30	20	0	1	1	1	1	1	1	1
-30	10	WAR	-12	-5	aggressive	-30	-35	0	-18	5	10	20	65	-0.5	1	1	1	1	1	1	1
-100	4	OFFER_DECLARE_WAR	-100	-5	aggressive_diplomat	0	0	1	-100	2	0	0	0	-0.5	1	1	1	1	1	1	1
-100	4	OFFER_JOIN_WAR	-100	-5	aggressive_diplomat	0	0	1	-100	2	0	0	0	-0.5	1	1	1	1	1	1	1
-100	4	WAR	-100	-5	aggressive_diplomat	0	0	1	-100	2	0	0	0	-0.5	1	1	1	1	1	1	1
1	-100	MILITARY_ACCESS	-5	-10	aggressive_diplomat_unfriendly	0	0	-100	1	-100	0	0	0	1	1	1	1	1	1	1	1
1	-100	TRADE_AGREEMENT	1	-5	aggressive_diplomat_unfriendly	0	0	-10	1	-100	0	0	0	1	1	1	1	1	1	1	1
-105	-90	OFFER_JOIN_CONFEDERATION	-105	-105	aggressive_joins_strong	90	95	-105	-105	-95	60	35	35	0	1	1	1	1	1	1	1
-60	-85	OFFER_JOIN_CONFEDERATION	-100	-100	aggressive_joins_strong_subordinate	90	95	-100	-85	-90	60	35	35	0	1	1	1	1	1	1	1
-75	-55	OFFER_VASSALAGE	-65	-65	aggressive_joins_strong_subordinate	45	50	-65	-70	-60	40	35	35	0	1	1	1	1	1	1	1
-18	-300	DEFENSIVE_ALLIANCE	-29	-40	aggressive_joins_strong_unfriendly	25	25	-50	-22	-60	25	20	20	1	1	1	1	1	1	1	1
-14	-300	MILITARY_ACCESS	-23	-34	aggressive_joins_strong_unfriendly	25	25	-40	-18	-60	25	15	15	1	1	1	1	1	1	1	1
-28	-500	MILITARY_ALLIANCE	-42	-58	aggressive_joins_strong_unfriendly	32	35	-65	-33	-200	23	23	23	1	1	1	1	1	1	1	1
-4	-40	NON_AGGRESSION_PACT	-5	-6	aggressive_joins_strong_unfriendly	8	8	-10	-4	-14	8	8	8	0.25	1	1	1	1	1	1	1
-115	-100	OFFER_JOIN_CONFEDERATION	-115	-115	aggressive_joins_strong_unfriendly	90	95	-115	-115	-105	60	35	35	0	1	1	1	1	1	1	1
-5	-70	TRADE_AGREEMENT	-8	-13	aggressive_joins_strong_unfriendly	9	9	-25	-6	-55	9	10	10	1	1	1	1	1	1	1	1
-18	-300	DEFENSIVE_ALLIANCE	-29	-40	aggressive_reliable_unfriendly	25	25	-50	-22	-60	25	20	20	1	1	1	1	1	1	1	1
-14	-300	MILITARY_ACCESS	-23	-34	aggressive_reliable_unfriendly	25	25	-40	-18	-60	25	15	15	1	1	1	1	1	1	1	1
-28	-500	MILITARY_ALLIANCE	-42	-58	aggressive_reliable_unfriendly	32	35	-65	-33	-200	23	23	23	1	1	1	1	1	1	1	1
-4	-40	NON_AGGRESSION_PACT	-5	-6	aggressive_reliable_unfriendly	8	8	-10	-4	-14	8	8	8	0.25	1	1	1	1	1	1	1
-70	-145	OFFER_JOIN_CONFEDERATION	-110	-115	aggressive_reliable_unfriendly	45	50	-145	-110	-145	40	35	35	0	1	1	1	1	1	1	1
-5	-70	TRADE_AGREEMENT	-8	-13	aggressive_reliable_unfriendly	9	9	-25	-6	-55	9	10	10	1	1	1	1	1	1	1	1
-35	5	OFFER_DECLARE_WAR	-17	-10	aggressive_repulsive	-30	-35	-5	-23	0	10	20	65	-0.5	1	1	1	1	1	1	1
-35	5	OFFER_JOIN_WAR	-17	-10	aggressive_repulsive	-30	-35	-5	-23	0	10	20	65	-0.5	1	1	1	1	1	1	1
-5	-40	PEACE	-9	-16	aggressive_repulsive	40	50	-25	-7	-35	17	10	5	2	1	1	1	1	1	1	1
0	0	STRATEGIC_BALANCE_CHANGE	0	0	aggressive_repulsive	50	60	0	0	0	35	30	20	0	1	1	1	1	1	1	1
-30	10	WAR	-12	-5	aggressive_repulsive	-30	-35	0	-18	5	10	20	65	-0.5	1	1	1	1	1	1	1
-105	-90	OFFER_JOIN_CONFEDERATION	-105	-105	aggressive_repulsive_joins_strong	90	95	-105	-105	-95	60	35	35	0	1	1	1	1	1	1	1
-19	-300	DEFENSIVE_ALLIANCE	-23	-24	aggressive_straightforward	25	25	-45	-21	-60	25	20	20	1	1	1	1	1	1	1	1
-17	-300	MILITARY_ACCESS	-21	-22	aggressive_straightforward	25	25	-35	-19	-60	25	20	20	1	1	1	1	1	1	1	1
-30	-500	MILITARY_ALLIANCE	-38	-45	aggressive_straightforward	32	35	-65	-32	-200	23	23	23	1	1	1	1	1	1	1	1
-2	-40	NON_AGGRESSION_PACT	-3	-4	aggressive_straightforward	8	9	-6	-2	-14	5	5	5	0.25	1	1	1	1	1	1	1
-75	-145	OFFER_JOIN_CONFEDERATION	-110	-115	aggressive_straightforward	45	50	-145	-90	-145	40	35	35	0	1	1	1	1	1	1	1
