cai_personality_diplomatic_treaty_values_tables
3
component_id	initial_value	value1	turn1	value2	turn2	treaty
default	40	40	1	25	50	CLIENT_STATE_CLIENT
default	40	40	1	25	50	CLIENT_STATE_PROTECTOR
default	30	50	50	50	50	DEFENSIVE_ALLIANCE
default	10	15	50	15	50	MILITARY_ACCESS
default	45	60	50	60	50	MILITARY_ALLIANCE
default	15	30	50	30	50	NON_AGGRESSION_PACT
default	10	20	50	20	50	TRADE_AGREEMENT
default	100	100	1	25	50	VASSALAGE_MASTER
default	100	100	1	15	50	VASSALAGE_VASSAL
default	-30	-30	1	-10	50	WAR
