cai_personality_strategic_resource_values_tables
0
ownership_falloff	ownership_value	resource	strategic_component	trade_falloff	trade_value
0.25	0.5	res_dyes	aggressive_darkelf	0.25	0.5
0.25	0.5	res_gems	aggressive_darkelf	0.25	0.5
0.25	0.5	res_gold	aggressive_darkelf	0.25	0.5
0.25	0.5	res_rom_furs	aggressive_darkelf	0.25	0.5
0.25	0.5	res_rom_glass	aggressive_darkelf	0.25	0.5
0.25	0.5	res_rom_iron	aggressive_darkelf	0.25	0.5
0.25	0.5	res_rom_lead	aggressive_darkelf	0.25	0.5
0.25	0.5	res_rom_marble	aggressive_darkelf	0.25	0.5
0.25	0.5	res_rom_oil	aggressive_darkelf	0.25	0.5
0.25	0.5	res_rom_textiles	aggressive_darkelf	0.25	0.5
0.25	0.5	res_rom_timber	aggressive_darkelf	0.25	0.5
0.25	0.5	res_rom_wine	aggressive_darkelf	0.25	0.5
0.25	0.5	res_savage	aggressive_darkelf	0.25	0.5
0.25	0.5	res_dyes	aggressive_frenzied	0.25	0.5
0.25	0.5	res_gems	aggressive_frenzied	0.25	0.5
0.25	0.5	res_gold	aggressive_frenzied	0.25	0.5
0.25	0.5	res_rom_furs	aggressive_frenzied	0.25	0.5
0.25	0.5	res_rom_glass	aggressive_frenzied	0.25	0.5
0.25	0.5	res_rom_iron	aggressive_frenzied	0.25	0.5
0.25	0.5	res_rom_lead	aggressive_frenzied	0.25	0.5
0.25	0.5	res_rom_marble	aggressive_frenzied	0.25	0.5
0.25	0.5	res_rom_oil	aggressive_frenzied	0.25	0.5
0.25	0.5	res_rom_textiles	aggressive_frenzied	0.25	0.5
0.25	0.5	res_rom_timber	aggressive_frenzied	0.25	0.5
0.25	0.5	res_rom_wine	aggressive_frenzied	0.25	0.5
0.25	0.5	res_savage	aggressive_frenzied	0.25	0.5
0.25	0.5	res_dyes	aggressive_holds_grudges_late_game	0.25	0.5
0.25	0.5	res_gems	aggressive_holds_grudges_late_game	0.25	0.5
0.25	0.5	res_gold	aggressive_holds_grudges_late_game	0.25	0.5
0.25	0.5	res_rom_furs	aggressive_holds_grudges_late_game	0.25	0.5
0.25	0.5	res_rom_glass	aggressive_holds_grudges_late_game	0.25	0.5
0.25	0.5	res_rom_iron	aggressive_holds_grudges_late_game	0.25	0.5
0.25	0.5	res_rom_lead	aggressive_holds_grudges_late_game	0.25	0.5
0.25	0.5	res_rom_marble	aggressive_holds_grudges_late_game	0.25	0.5
0.25	0.5	res_rom_oil	aggressive_holds_grudges_late_game	0.25	0.5
0.25	0.5	res_rom_textiles	aggressive_holds_grudges_late_game	0.25	0.5
0.25	0.5	res_rom_timber	aggressive_holds_grudges_late_game	0.25	0.5
0.25	0.5	res_rom_wine	aggressive_holds_grudges_late_game	0.25	0.5
0.25	0.5	res_savage	aggressive_holds_grudges_late_game	0.25	0.5
0.25	0.5	res_dyes	aggressive_holds_grudges	0.25	0.5
0.25	0.5	res_gems	aggressive_holds_grudges	0.25	0.5
0.25	0.5	res_gold	aggressive_holds_grudges	0.25	0.5
0.25	0.5	res_rom_furs	aggressive_holds_grudges	0.25	0.5
0.25	0.5	res_rom_glass	aggressive_holds_grudges	0.25	0.5
0.25	0.5	res_rom_iron	aggressive_holds_grudges	0.25	0.5
0.25	0.5	res_rom_lead	aggressive_holds_grudges	0.25	0.5
0.25	0.5	res_rom_marble	aggressive_holds_grudges	0.25	0.5
0.25	0.5	res_rom_oil	aggressive_holds_grudges	0.25	0.5
0.25	0.5	res_rom_textiles	aggressive_holds_grudges	0.25	0.5
0.25	0.5	res_rom_timber	aggressive_holds_grudges	0.25	0.5
0.25	0.5	res_rom_wine	aggressive_holds_grudges	0.25	0.5
0.25	0.5	res_savage	aggressive_holds_grudges	0.25	0.5
0.25	0.5	res_dyes	aggressive_home_defender	0.25	0.5
0.25	0.5	res_gems	aggressive_home_defender	0.25	0.5
0.25	0.5	res_gold	aggressive_home_defender	0.25	0.5
0.25	0.5	res_rom_furs	aggressive_home_defender	0.25	0.5
0.25	0.5	res_rom_glass	aggressive_home_defender	0.25	0.5
0.25	0.5	res_rom_iron	aggressive_home_defender	0.25	0.5
0.25	0.5	res_rom_lead	aggressive_home_defender	0.25	0.5
0.25	0.5	res_rom_marble	aggressive_home_defender	0.25	0.5
0.25	0.5	res_rom_oil	aggressive_home_defender	0.25	0.5
0.25	0.5	res_rom_textiles	aggressive_home_defender	0.25	0.5
0.25	0.5	res_rom_timber	aggressive_home_defender	0.25	0.5
0.25	0.5	res_rom_wine	aggressive_home_defender	0.25	0.5
0.25	0.5	res_savage	aggressive_home_defender	0.25	0.5
0.25	0.5	res_dyes	aggressive_horde	0.25	0.5
0.25	0.5	res_gems	aggressive_horde	0.25	0.5
0.25	0.5	res_gold	aggressive_horde	0.25	0.5
0.25	0.5	res_rom_furs	aggressive_horde	0.25	0.5
0.25	0.5	res_rom_glass	aggressive_horde	0.25	0.5
0.25	0.5	res_rom_iron	aggressive_horde	0.25	0.5
0.25	0.5	res_rom_lead	aggressive_horde	0.25	0.5
0.25	0.5	res_rom_marble	aggressive_horde	0.25	0.5
0.25	0.5	res_rom_oil	aggressive_horde	0.25	0.5
0.25	0.5	res_rom_textiles	aggressive_horde	0.25	0.5
0.25	0.5	res_rom_timber	aggressive_horde	0.25	0.5
0.25	0.5	res_rom_wine	aggressive_horde	0.25	0.5
0.25	0.5	res_savage	aggressive_horde	0.25	0.5
0.25	0.5	res_dyes	aggressive_late_game	0.25	0.5
0.25	0.5	res_gems	aggressive_late_game	0.25	0.5
0.25	0.5	res_gold	aggressive_late_game	0.25	0.5
0.25	0.5	res_rom_furs	aggressive_late_game	0.25	0.5
0.25	0.5	res_rom_glass	aggressive_late_game	0.25	0.5
0.25	0.5	res_rom_iron	aggressive_late_game	0.25	0.5
0.25	0.5	res_rom_lead	aggressive_late_game	0.25	0.5
0.25	0.5	res_rom_marble	aggressive_late_game	0.25	0.5
0.25	0.5	res_rom_oil	aggressive_late_game	0.25	0.5
0.25	0.5	res_rom_textiles	aggressive_late_game	0.25	0.5
0.25	0.5	res_rom_timber	aggressive_late_game	0.25	0.5
0.25	0.5	res_rom_wine	aggressive_late_game	0.25	0.5
0.25	0.5	res_savage	aggressive_late_game	0.25	0.5
0.25	0.5	res_dyes	aggressive_opportunist_late_game	0.25	0.5
0.25	0.5	res_gems	aggressive_opportunist_late_game	0.25	0.5
0.25	0.5	res_gold	aggressive_opportunist_late_game	0.25	0.5
0.25	0.5	res_rom_furs	aggressive_opportunist_late_game	0.25	0.5
0.25	0.5	res_rom_glass	aggressive_opportunist_late_game	0.25	0.5
0.25	0.5	res_rom_iron	aggressive_opportunist_late_game	0.25	0.5
0.25	0.5	res_rom_lead	aggressive_opportunist_late_game	0.25	0.5
0.25	0.5	res_rom_marble	aggressive_opportunist_late_game	0.25	0.5
0.25	0.5	res_rom_oil	aggressive_opportunist_late_game	0.25	0.5
0.25	0.5	res_rom_textiles	aggressive_opportunist_late_game	0.25	0.5
0.25	0.5	res_rom_timber	aggressive_opportunist_late_game	0.25	0.5
0.25	0.5	res_rom_wine	aggressive_opportunist_late_game	0.25	0.5
0.25	0.5	res_savage	aggressive_opportunist_late_game	0.25	0.5
0.25	0.5	res_dyes	aggressive_opportunist_vamp_late_game	0.25	0.5
0.25	0.5	res_gems	aggressive_opportunist_vamp_late_game	0.25	0.5
0.25	0.5	res_gold	aggressive_opportunist_vamp_late_game	0.25	0.5
0.25	0.5	res_rom_furs	aggressive_opportunist_vamp_late_game	0.25	0.5
0.25	0.5	res_rom_glass	aggressive_opportunist_vamp_late_game	0.25	0.5
0.25	0.5	res_rom_iron	aggressive_opportunist_vamp_late_game	0.25	0.5
0.25	0.5	res_rom_lead	aggressive_opportunist_vamp_late_game	0.25	0.5
0.25	0.5	res_rom_marble	aggressive_opportunist_vamp_late_game	0.25	0.5
0.25	0.5	res_rom_oil	aggressive_opportunist_vamp_late_game	0.25	0.5
0.25	0.5	res_rom_textiles	aggressive_opportunist_vamp_late_game	0.25	0.5
0.25	0.5	res_rom_timber	aggressive_opportunist_vamp_late_game	0.25	0.5
0.25	0.5	res_rom_wine	aggressive_opportunist_vamp_late_game	0.25	0.5
0.25	0.5	res_savage	aggressive_opportunist_vamp_late_game	0.25	0.5
0.25	0.5	res_dyes	aggressive_opportunist_vamp	0.25	0.5
0.25	0.5	res_gems	aggressive_opportunist_vamp	0.25	0.5
0.25	0.5	res_gold	aggressive_opportunist_vamp	0.25	0.5
0.25	0.5	res_rom_furs	aggressive_opportunist_vamp	0.25	0.5
