cai_variables_overides_tables
0
unknown0	unknown1	unknown2	unknown3	unknown4
CAI_VARIABLE_ATTACK_HUMAN_HORDE_CONTROL_BEGIN_AND_BEFORE_MULTIPLIER	main_warhammer	False	-1	0.75
CAI_VARIABLE_ATTACK_HUMAN_HORDE_CONTROL_BEGIN_AND_BEFORE_MULTIPLIER	main_warhammer	False	-2	1
CAI_VARIABLE_ATTACK_HUMAN_HORDE_CONTROL_BEGIN_AND_BEFORE_MULTIPLIER	main_warhammer	False	-3	1.25
CAI_VARIABLE_ATTACK_HUMAN_HORDE_CONTROL_BEGIN_AND_BEFORE_MULTIPLIER	main_warhammer	False	0	0.5
CAI_VARIABLE_ATTACK_HUMAN_HORDE_CONTROL_BEGIN_AND_BEFORE_MULTIPLIER	main_warhammer	False	1	0
CAI_VARIABLE_ATTACK_HUMAN_HORDE_CONTROL_END_AND_AFTER_MULTIPLIER	main_warhammer	False	-1	1
CAI_VARIABLE_ATTACK_HUMAN_HORDE_CONTROL_END_AND_AFTER_MULTIPLIER	main_warhammer	False	-2	1.25
CAI_VARIABLE_ATTACK_HUMAN_HORDE_CONTROL_END_AND_AFTER_MULTIPLIER	main_warhammer	False	-3	1.75
CAI_VARIABLE_ATTACK_HUMAN_HORDE_CONTROL_END_AND_AFTER_MULTIPLIER	main_warhammer	False	0	1
CAI_VARIABLE_ATTACK_HUMAN_HORDE_CONTROL_END_AND_AFTER_MULTIPLIER	main_warhammer	False	1	0.75
CAI_VARIABLE_ATTACK_HUMAN_HORDE_CONTROL_FURTHEST_ROUNDS_DISTANCE	main_warhammer	False	-1	5
CAI_VARIABLE_ATTACK_HUMAN_HORDE_CONTROL_FURTHEST_ROUNDS_DISTANCE	main_warhammer	False	-2	6
CAI_VARIABLE_ATTACK_HUMAN_HORDE_CONTROL_FURTHEST_ROUNDS_DISTANCE	main_warhammer	False	-3	6
CAI_VARIABLE_MAX_CONFEDERATION_STRENGTH	main_warhammer	False	-1	1.25
CAI_VARIABLE_MAX_CONFEDERATION_STRENGTH	main_warhammer	False	-2	1.75
CAI_VARIABLE_MAX_CONFEDERATION_STRENGTH	main_warhammer	False	-3	2.5
CAI_VARIABLE_PLAYER_AP_ADJUSTMENT_DEADZONE_MAX	main_warhammer	False	-1	1.05
CAI_VARIABLE_PLAYER_AP_ADJUSTMENT_DEADZONE_MAX	main_warhammer	False	0	1.05
CAI_VARIABLE_PLAYER_AP_ADJUSTMENT_DEADZONE_MAX	main_warhammer	False	1	1.05
CAI_VARIABLE_PLAYER_AP_ADJUSTMENT_DEADZONE_MIN	main_warhammer	False	-1	0.9
CAI_VARIABLE_PLAYER_AP_ADJUSTMENT_DEADZONE_MIN	main_warhammer	False	0	0.8
CAI_VARIABLE_PLAYER_AP_ADJUSTMENT_DEADZONE_MIN	main_warhammer	False	1	0.7
CAI_VARIABLE_PLAYER_AP_ADJUSTMENT_MAX	main_warhammer	False	-1	1.1
CAI_VARIABLE_PLAYER_AP_ADJUSTMENT_MAX	main_warhammer	False	0	1.1
CAI_VARIABLE_PLAYER_AP_ADJUSTMENT_MAX	main_warhammer	False	1	1.1
CAI_VARIABLE_PLAYER_AP_ADJUSTMENT_MIN	main_warhammer	False	-1	0.9
CAI_VARIABLE_PLAYER_AP_ADJUSTMENT_MIN	main_warhammer	False	0	0.85
CAI_VARIABLE_PLAYER_AP_ADJUSTMENT_MIN	main_warhammer	False	1	0.55
