campaign_character_art_sets_tables
6
agent_type	art_set_id	culture	subculture	faction	is_custom	is_male	group	unknown8
general	wh2_main_art_set_def_black_ark	wh2_main_def_dark_elves			False	True	wh2_main_def_black_ark	1
dignitary	wh2_main_art_set_def_death_hag_01	wh2_main_def_dark_elves			False	False	wh2_main_def_death_hag	1
dignitary	wh2_main_art_set_def_death_hag_02	wh2_main_def_dark_elves			False	False	wh2_main_def_death_hag	1
dignitary	wh2_main_art_set_def_death_hag_03	wh2_main_def_dark_elves			False	False	wh2_main_def_death_hag	1
general	wh2_main_art_set_def_dreadlord_01				False	True	wh2_main_def_dreadlord	1
general	wh2_main_art_set_def_dreadlord_02				False	True	wh2_main_def_dreadlord	1
general	wh2_main_art_set_def_dreadlord_03				False	True	wh2_main_def_dreadlord	1
general	wh2_main_art_set_def_dreadlord_fem_01				False	True	wh2_main_def_dreadlord_fem	1
general	wh2_main_art_set_def_dreadlord_fem_02				False	True	wh2_main_def_dreadlord_fem	1
general	wh2_main_art_set_def_dreadlord_fem_03				False	True	wh2_main_def_dreadlord_fem	1
spy	wh2_main_art_set_def_khainite_assassin_01	wh2_main_def_dark_elves			False	True	wh2_main_def_khainite_assassin	1
spy	wh2_main_art_set_def_khainite_assassin_02	wh2_main_def_dark_elves			False	True	wh2_main_def_khainite_assassin	1
spy	wh2_main_art_set_def_khainite_assassin_03	wh2_main_def_dark_elves			False	True	wh2_main_def_khainite_assassin	1
spy	wh2_main_art_set_def_khainite_assassin_04	wh2_main_def_dark_elves			False	True	wh2_main_def_khainite_assassin	1
general	wh2_main_art_set_def_malekith	wh2_main_def_dark_elves			False	True	wh2_main_def_malekith	1
general	wh2_main_art_set_def_morathi	wh2_main_def_dark_elves			False	True	wh2_main_def_morathi	1
wizard	wh2_main_art_set_def_sorceress_01	wh2_main_def_dark_elves			False	False		1
wizard	wh2_main_art_set_def_sorceress_02	wh2_main_def_dark_elves			False	False		1
wizard	wh2_main_art_set_def_sorceress_03	wh2_main_def_dark_elves			False	False		1
wizard	wh2_main_art_set_def_sorceress_04	wh2_main_def_dark_elves			False	False		1
runesmith	wh2_main_art_set_hef_loremaster_of_hoeth_01	wh2_main_hef_high_elves			False	True	wh2_main_hef_loremaster_of_hoeth	1
runesmith	wh2_main_art_set_hef_loremaster_of_hoeth_02	wh2_main_hef_high_elves			False	True	wh2_main_hef_loremaster_of_hoeth	1
runesmith	wh2_main_art_set_hef_loremaster_of_hoeth_03	wh2_main_hef_high_elves			False	True	wh2_main_hef_loremaster_of_hoeth	1
wizard	wh2_main_art_set_hef_mage_01	wh2_main_hef_high_elves			False	False		1
wizard	wh2_main_art_set_hef_mage_02	wh2_main_hef_high_elves			False	False		1
wizard	wh2_main_art_set_hef_mage_03	wh2_main_hef_high_elves			False	False		1
champion	wh2_main_art_set_hef_noble_01	wh2_main_hef_high_elves			False	True	wh2_main_hef_noble	1
champion	wh2_main_art_set_hef_noble_02	wh2_main_hef_high_elves			False	True	wh2_main_hef_noble	1
champion	wh2_main_art_set_hef_noble_03	wh2_main_hef_high_elves			False	True	wh2_main_hef_noble	1
general	wh2_main_art_set_hef_prince_01				False	True	wh2_main_hef_prince	1
general	wh2_main_art_set_hef_prince_02				False	True	wh2_main_hef_prince	1
general	wh2_main_art_set_hef_prince_03				False	True	wh2_main_hef_prince	1
general	wh2_main_art_set_hef_prince_04				False	True	wh2_main_hef_prince	1
general	wh2_main_art_set_hef_prince_alastar				False	True	wh2_main_hef_prince_alastar	1
general	wh2_main_art_set_hef_princess_01				False	True	wh2_main_hef_princess	1
general	wh2_main_art_set_hef_princess_02				False	True	wh2_main_hef_princess	1
general	wh2_main_art_set_hef_princess_03				False	True	wh2_main_hef_princess	1
general	wh2_main_art_set_hef_teclis	wh2_main_hef_high_elves			False	True	wh2_main_hef_teclis	1
general	wh2_main_art_set_hef_tyrion	wh2_main_hef_high_elves			False	True	wh2_main_hef_tyrion	1
general	wh2_main_art_set_lzd_kroq_gar	wh2_main_lzd_lizardmen			False	True	wh2_main_lzd_kroq_gar	1
general	wh2_main_art_set_lzd_lord_mazdamundi	wh2_main_lzd_lizardmen			False	True	wh2_main_lzd_lord_mazdamundi	1
general	wh2_main_art_set_lzd_saurus_old_blood_01				False	True	wh2_main_lzd_saurus_old_blood	1
