campaign_character_arts_tables
7
art_set_id	level	age	portrait	season	uniform	card	info	sea_uniform	navy_uniform	land_animation	sea_animation	navy_animation	id	-	religion	land_animation_vfx_filter	sea_animation_vfx_filter	navy_animation_vfx_filter
wh_main_art_set_ksl_general_02	0	0		none	wh_main_uniform_emp_general_campaign_02			wh_main_campaign_emp_ship_heavy	wh_main_campaign_emp_ship_heavy	cam_hu1_empire_sword_and_shield	cam_heavy_ship_01	cam_heavy_ship_01	1073696530	0		0	0	0
wh2_main_art_set_skv_warlock_engineer_02	0	0		none	wh2_main_uniform_skv_warlock_engineer_02			wh2_main_campaign_skv_ship_agent	wh2_main_campaign_skv_ship_agent	cam_hu17_skaven_dual_sword	cam_medium_ship_06	cam_medium_ship_06	1180111471	0		0	0	0
wh2_main_art_set_def_sorceress_03	0	0		none	wh2_main_uniform_def_sorceress_03			wh2_main_campaign_def_ship_agent	wh2_main_campaign_def_ship_agent	cam_lord_hu1b_elf_staff_and_sword	cam_light_ship_05	cam_light_ship_05	1181028065	0		0	0	0
wh2_main_art_set_def_khainite_assassin_02	0	0		none	wh2_main_uniform_def_khainite_assassin_02			wh2_main_campaign_def_ship_agent	wh2_main_campaign_def_ship_agent	cam_hero_hu1d_elf_sword_and_handbow	cam_light_ship_05	cam_light_ship_05	1207007759	0		0	0	0
wh2_main_art_set_lzd_skink_chief_03	0	0		none	wh2_main_uniform_lzd_skink_chief_03			wh2_main_campaign_lzd_ship_agent	wh2_main_campaign_lzd_ship_agent	cam_hero_hu7_skink_club_and_blowpipe	cam_transport_ship_04	cam_transport_ship_04	1264694346	0		0	0	0
wh2_main_art_set_lzd_slann_mage_priest_03	0	0		none	wh2_main_uniform_lzd_slann_mage_priest_03			wh2_main_campaign_lzd_ship_transport	wh2_main_campaign_lzd_ship_transport	cam_lord_hu9_slann_mace	cam_transport_ship_04	cam_transport_ship_04	1341918476	0		0	0	0
wh2_main_art_set_skv_grey_seer_ruin_02	0	0		none	wh2_main_uniform_skv_grey_seer_02			wh2_main_campaign_skv_ship_transport	wh2_main_campaign_skv_ship_transport	cam_hu17_skaven_staff_and_sword	cam_medium_ship_06	cam_medium_ship_06	1362155271	0		0	0	0
wh2_main_art_set_def_dreadlord_03	0	0		none	wh2_main_uniform_def_dreadlord_03			wh2_main_campaign_def_ship_army	wh2_main_campaign_def_ship_army	cam_lord_hu1d_elf_sword_crossbow	cam_light_ship_05	cam_light_ship_05	1380263921	0		0	0	0
wh_main_art_set_teb_general_02	0	0		none	wh_main_uniform_emp_general_campaign_02			wh_main_campaign_emp_ship_heavy	wh_main_campaign_emp_ship_heavy	cam_hu1_empire_sword_and_shield	cam_heavy_ship_01	cam_heavy_ship_01	1390724771	0		0	0	0
wh2_main_art_set_skv_grey_seer_plague_04	0	0		none	wh2_main_uniform_skv_grey_seer_04			wh2_main_campaign_skv_ship_transport	wh2_main_campaign_skv_ship_transport	cam_hu17_skaven_staff_and_sword	cam_medium_ship_06	cam_medium_ship_06	1405923379	0		0	0	0
wh2_main_art_set_def_khainite_assassin_03	0	0		none	wh2_main_uniform_def_khainite_assassin_03			wh2_main_campaign_def_ship_agent	wh2_main_campaign_def_ship_agent	cam_hero_hu1d_elf_sword_and_handbow	cam_light_ship_05	cam_light_ship_05	1413809683	0		0	0	0
