campaign_composite_scenes_tables
0
unknown0	unknown1
composite_scene\campaign_lzd_astromancy_stance.csc	astromancy_stance
composite_scene\campaign_lzd_slann_astromancy_stance.csc	astromancy_stance_slann
composite_scene\campaign_raise_dead_battle_marker.csc	battle_marker_vampire_recruitement
RigidModels\campaign\composite_scene\bst_tunnel_stance.csc	beastman_tunnel_stance
RigidModels\campaign\composite_scene\encampment\bretonnia_encampment.csc	bretonnia_camp
composite_scene/campaign_region_transform_evil.csc	campaign_region_transform_evil
composite_scene/campaign_region_transform_good.csc	campaign_region_transform_good
composite_scene/campaign_region_transform_vampire.csc	campaign_region_transform_vampire
RigidModels\campaign\composite_scene\encampment\dwarf_encampment.csc	dwarf_camp
RigidModels\campaign\composite_scene\encampment\emipre_encampment.csc	empire_camp
composite_scene\wh2_campaign_geomantic_beam_normal_1.csc	geomantic_beam_normal_1
composite_scene\wh2_campaign_geomantic_beam_normal_2.csc	geomantic_beam_normal_2
composite_scene\wh2_campaign_geomantic_beam_normal_3.csc	geomantic_beam_normal_3
composite_scene\wh2_campaign_geomantic_beam_normal_4.csc	geomantic_beam_normal_4
composite_scene\wh2_campaign_geomantic_beam_normal_5.csc	geomantic_beam_normal_5
composite_scene\wh2_campaign_geomantic_beam_normal_fade_1.csc	geomantic_beam_normal_fade_1
composite_scene\wh2_campaign_geomantic_beam_normal_fade_2.csc	geomantic_beam_normal_fade_2
composite_scene\wh2_campaign_geomantic_beam_normal_fade_3.csc	geomantic_beam_normal_fade_3
composite_scene\wh2_campaign_geomantic_beam_normal_fade_4.csc	geomantic_beam_normal_fade_4
composite_scene\wh2_campaign_geomantic_beam_normal_fade_5.csc	geomantic_beam_normal_fade_5
composite_scene\wh2_campaign_geomantic_beam_short_1.csc	geomantic_beam_short_1
composite_scene\wh2_campaign_geomantic_beam_short_2.csc	geomantic_beam_short_2
composite_scene\wh2_campaign_geomantic_beam_short_3.csc	geomantic_beam_short_3
composite_scene\wh2_campaign_geomantic_beam_short_4.csc	geomantic_beam_short_4
composite_scene\wh2_campaign_geomantic_beam_short_5.csc	geomantic_beam_short_5
composite_scene\wh2_campaign_geomantic_beam_short_fade_1.csc	geomantic_beam_short_fade_1
composite_scene\wh2_campaign_geomantic_beam_short_fade_2.csc	geomantic_beam_short_fade_2
composite_scene\wh2_campaign_geomantic_beam_short_fade_3.csc	geomantic_beam_short_fade_3
composite_scene\wh2_campaign_geomantic_beam_short_fade_4.csc	geomantic_beam_short_fade_4
composite_scene\wh2_campaign_geomantic_beam_short_fade_5.csc	geomantic_beam_short_fade_5
composite_scene\wh2_campaign_geomantic_circle_1.csc	geomantic_circle_1
composite_scene\wh2_campaign_geomantic_circle_2.csc	geomantic_circle_2
composite_scene\wh2_campaign_geomantic_circle_3.csc	geomantic_circle_3
composite_scene\wh2_campaign_geomantic_circle_4.csc	geomantic_circle_4
composite_scene\wh2_campaign_geomantic_circle_5.csc	geomantic_circle_5
composite_scene\wh2_campaign_geomantic_circle_weak_1.csc	geomantic_circle_weak_1
composite_scene\wh2_campaign_geomantic_circle_weak_2.csc	geomantic_circle_weak_2
composite_scene\wh2_campaign_geomantic_circle_weak_3.csc	geomantic_circle_weak_3
composite_scene\wh2_campaign_geomantic_circle_weak_4.csc	geomantic_circle_weak_4
composite_scene\wh2_campaign_geomantic_circle_weak_5.csc	geomantic_circle_weak_5
composite_scene\campaign_green_knight.csc	green_knight_spawn
RigidModels\campaign\composite_scene\encampment\greenskins_raiding_camp.csc	grn_encampment
RigidModels\campaign\composite_scene\wh2_lileaths_blessing_stance.csc	lileaths_blessing
composite_scene\campaign_lord_channeling.csc	lord_channelling
composite_scene\campaign_lzd_slann_channeling.csc	lord_channelling_slann
RigidModels\campaign\composite_scene\encampment\norsca_encampment.csc	norsca_encampment
RigidModels\campaign\composite_scene\raiding_stance.csc	raiding_stance
composite_scene\campaign_raze_settlement.csc	raze_settlement
composite_scene\sea_storm_tile.csc	storm_base
composite_scene\storm_level_1.csc	storm_level_1
composite_scene\storm_level_2.csc	storm_level_2
composite_scene\storm_level_3.csc	storm_level_3
composite_scene\storm_level_4.csc	storm_level_4
composite_scene\storm_level_5.csc	storm_level_5
RigidModels\campaign\composite_scene\tunnel_stance.csc	tunnel_stance
RigidModels\campaign\composite_scene\encampment\def_encampment.csc	wh2_main_def_encampment
RigidModels\campaign\composite_scene\encampment\hef_encampment.csc	wh2_main_hef_encampment
RigidModels\campaign\composite_scene\encampment\lzd_encampment.csc	wh2_main_lzd_encampment
composite_scene\wh2_campaign_skv_earthquake.csc	wh2_main_skv_earthquake
RigidModels\campaign\composite_scene\encampment\skv_encampment.csc	wh2_main_skv_encampment
RigidModels\campaign\composite_scene\skv_tunnel.csc	wh2_main_skv_tunnel_stance
RigidModels\campaign\composite_scene\encampment\woodelf_encampment.csc	wh_dlc05_wef_encampment
RigidModels\campaign\composite_scene\wef_tunnel_stance.csc	wh_dlc05_wef_tunnel_stance
composite_scene\winds_of_magic.csc	winds_of_magic
composite_scene\winds_of_magic_strength3.csc	winds_of_magic_3
composite_scene\winds_of_magic_strength4.csc	winds_of_magic_4
composite_scene\winds_of_magic_strength5.csc	winds_of_magic_5
