campaign_cultural_relations_tables
0
unknown0	unknown1	unknown2	unknown3	unknown4	unknown5
-10		1	1	wh2_main_sc_def_dark_elves	wh2_main_sc_def_dark_elves
-60		1	1	wh2_main_sc_def_dark_elves	wh2_main_sc_hef_high_elves
-40		1	1	wh2_main_sc_def_dark_elves	wh2_main_sc_lzd_lizardmen
0		1	1	wh2_main_sc_def_dark_elves	wh2_main_sc_skv_skaven
-10		1	1	wh2_main_sc_def_dark_elves	wh_dlc03_sc_bst_beastmen
-40		1	1	wh2_main_sc_def_dark_elves	wh_dlc05_sc_wef_wood_elves
-40		1	1	wh2_main_sc_def_dark_elves	wh_main_sc_brt_bretonnia
0		1	1	wh2_main_sc_def_dark_elves	wh_main_sc_chs_chaos
-40		1	1	wh2_main_sc_def_dark_elves	wh_main_sc_dwf_dwarfs
-40		1	1	wh2_main_sc_def_dark_elves	wh_main_sc_emp_empire
-10		1	1	wh2_main_sc_def_dark_elves	wh_main_sc_grn_greenskins
-10		1	1	wh2_main_sc_def_dark_elves	wh_main_sc_grn_savage_orcs
-40		1	1	wh2_main_sc_def_dark_elves	wh_main_sc_ksl_kislev
-30		1	1	wh2_main_sc_def_dark_elves	wh_main_sc_nor_norsca
-40		1	1	wh2_main_sc_def_dark_elves	wh_main_sc_teb_teb
-30		1	1	wh2_main_sc_def_dark_elves	wh_main_sc_vmp_vampire_counts
-60		1	1	wh2_main_sc_hef_high_elves	wh2_main_sc_def_dark_elves
0		1	1	wh2_main_sc_hef_high_elves	wh2_main_sc_hef_high_elves
0		1	1	wh2_main_sc_hef_high_elves	wh2_main_sc_lzd_lizardmen
-40		1	1	wh2_main_sc_hef_high_elves	wh2_main_sc_skv_skaven
-40		1	1	wh2_main_sc_hef_high_elves	wh_dlc03_sc_bst_beastmen
0		1	1	wh2_main_sc_hef_high_elves	wh_dlc05_sc_wef_wood_elves
0		1	1	wh2_main_sc_hef_high_elves	wh_main_sc_brt_bretonnia
-15	main_warhammer	1	1	wh2_main_sc_hef_high_elves	wh_main_sc_brt_bretonnia
-60		1	1	wh2_main_sc_hef_high_elves	wh_main_sc_chs_chaos
-10		1	1	wh2_main_sc_hef_high_elves	wh_main_sc_dwf_dwarfs
10		1	1	wh2_main_sc_hef_high_elves	wh_main_sc_emp_empire
-60		1	1	wh2_main_sc_hef_high_elves	wh_main_sc_grn_greenskins
-60		1	1	wh2_main_sc_hef_high_elves	wh_main_sc_grn_savage_orcs
0		1	1	wh2_main_sc_hef_high_elves	wh_main_sc_ksl_kislev
-40		1	1	wh2_main_sc_hef_high_elves	wh_main_sc_nor_norsca
0		1	1	wh2_main_sc_hef_high_elves	wh_main_sc_teb_teb
-30		1	1	wh2_main_sc_hef_high_elves	wh_main_sc_vmp_vampire_counts
-40		1	1	wh2_main_sc_lzd_lizardmen	wh2_main_sc_def_dark_elves
0		1	1	wh2_main_sc_lzd_lizardmen	wh2_main_sc_hef_high_elves
0		1	1	wh2_main_sc_lzd_lizardmen	wh2_main_sc_lzd_lizardmen
-60		1	1	wh2_main_sc_lzd_lizardmen	wh2_main_sc_skv_skaven
-40		1	1	wh2_main_sc_lzd_lizardmen	wh_dlc03_sc_bst_beastmen
0		1	1	wh2_main_sc_lzd_lizardmen	wh_dlc05_sc_wef_wood_elves
0		1	1	wh2_main_sc_lzd_lizardmen	wh_main_sc_brt_bretonnia
-60		1	1	wh2_main_sc_lzd_lizardmen	wh_main_sc_chs_chaos
0		1	1	wh2_main_sc_lzd_lizardmen	wh_main_sc_dwf_dwarfs
0		1	1	wh2_main_sc_lzd_lizardmen	wh_main_sc_emp_empire
-40		1	1	wh2_main_sc_lzd_lizardmen	wh_main_sc_grn_greenskins
-40		1	1	wh2_main_sc_lzd_lizardmen	wh_main_sc_grn_savage_orcs
0		1	1	wh2_main_sc_lzd_lizardmen	wh_main_sc_ksl_kislev
-30		1	1	wh2_main_sc_lzd_lizardmen	wh_main_sc_nor_norsca
0		1	1	wh2_main_sc_lzd_lizardmen	wh_main_sc_teb_teb
-40		1	1	wh2_main_sc_lzd_lizardmen	wh_main_sc_vmp_vampire_counts
0		1	1	wh2_main_sc_skv_skaven	wh2_main_sc_def_dark_elves
-40		1	1	wh2_main_sc_skv_skaven	wh2_main_sc_hef_high_elves
-60		1	1	wh2_main_sc_skv_skaven	wh2_main_sc_lzd_lizardmen
0		1	1	wh2_main_sc_skv_skaven	wh2_main_sc_skv_skaven
-10		1	1	wh2_main_sc_skv_skaven	wh_dlc03_sc_bst_beastmen
-40		1	1	wh2_main_sc_skv_skaven	wh_dlc05_sc_wef_wood_elves
-40		1	1	wh2_main_sc_skv_skaven	wh_main_sc_brt_bretonnia
0		1	1	wh2_main_sc_skv_skaven	wh_main_sc_chs_chaos
-40		1	1	wh2_main_sc_skv_skaven	wh_main_sc_dwf_dwarfs
-40		1	1	wh2_main_sc_skv_skaven	wh_main_sc_emp_empire
-30		1	1	wh2_main_sc_skv_skaven	wh_main_sc_grn_greenskins
-30		1	1	wh2_main_sc_skv_skaven	wh_main_sc_grn_savage_orcs
-40		1	1	wh2_main_sc_skv_skaven	wh_main_sc_ksl_kislev
-10		1	1	wh2_main_sc_skv_skaven	wh_main_sc_nor_norsca
-40		1	1	wh2_main_sc_skv_skaven	wh_main_sc_teb_teb
-30		1	1	wh2_main_sc_skv_skaven	wh_main_sc_vmp_vampire_counts
-10		1	1	wh_dlc03_sc_bst_beastmen	wh2_main_sc_def_dark_elves
-40		1	1	wh_dlc03_sc_bst_beastmen	wh2_main_sc_hef_high_elves
-40		1	1	wh_dlc03_sc_bst_beastmen	wh2_main_sc_lzd_lizardmen
-10		1	1	wh_dlc03_sc_bst_beastmen	wh2_main_sc_skv_skaven
0		1	1	wh_dlc03_sc_bst_beastmen	wh_dlc03_sc_bst_beastmen
-100		1	1	wh_dlc03_sc_bst_beastmen	wh_dlc05_sc_wef_wood_elves
-60		1	1	wh_dlc03_sc_bst_beastmen	wh_main_sc_brt_bretonnia
0		1	1	wh_dlc03_sc_bst_beastmen	wh_main_sc_chs_chaos
-60		1	1	wh_dlc03_sc_bst_beastmen	wh_main_sc_dwf_dwarfs
-60		1	1	wh_dlc03_sc_bst_beastmen	wh_main_sc_emp_empire
-40		1	1	wh_dlc03_sc_bst_beastmen	wh_main_sc_grn_greenskins
-40		1	1	wh_dlc03_sc_bst_beastmen	wh_main_sc_grn_savage_orcs
-60		1	1	wh_dlc03_sc_bst_beastmen	wh_main_sc_ksl_kislev
0		1	1	wh_dlc03_sc_bst_beastmen	wh_main_sc_nor_norsca
-40		1	1	wh_dlc03_sc_bst_beastmen	wh_main_sc_teb_teb
-30		1	1	wh_dlc03_sc_bst_beastmen	wh_main_sc_vmp_vampire_counts
-40		1	1	wh_dlc05_sc_wef_wood_elves	wh2_main_sc_def_dark_elves
-10		1	1	wh_dlc05_sc_wef_wood_elves	wh2_main_sc_hef_high_elves
0		1	1	wh_dlc05_sc_wef_wood_elves	wh2_main_sc_lzd_lizardmen
-40		1	1	wh_dlc05_sc_wef_wood_elves	wh2_main_sc_skv_skaven
-100		1	1	wh_dlc05_sc_wef_wood_elves	wh_dlc03_sc_bst_beastmen
0		1	1	wh_dlc05_sc_wef_wood_elves	wh_dlc05_sc_wef_wood_elves
-20		1	1	wh_dlc05_sc_wef_wood_elves	wh_main_sc_brt_bretonnia
-60		1	1	wh_dlc05_sc_wef_wood_elves	wh_main_sc_chs_chaos
-10		1	1	wh_dlc05_sc_wef_wood_elves	wh_main_sc_dwf_dwarfs
-10		1	1	wh_dlc05_sc_wef_wood_elves	wh_main_sc_emp_empire
-40		1	1	wh_dlc05_sc_wef_wood_elves	wh_main_sc_grn_greenskins
-40		1	1	wh_dlc05_sc_wef_wood_elves	wh_main_sc_grn_savage_orcs
-10		1	1	wh_dlc05_sc_wef_wood_elves	wh_main_sc_ksl_kislev
-60		1	1	wh_dlc05_sc_wef_wood_elves	wh_main_sc_nor_norsca
-10		1	1	wh_dlc05_sc_wef_wood_elves	wh_main_sc_teb_teb
-30		1	1	wh_dlc05_sc_wef_wood_elves	wh_main_sc_vmp_vampire_counts
-40		1	1	wh_main_sc_brt_bretonnia	wh2_main_sc_def_dark_elves
0		1	1	wh_main_sc_brt_bretonnia	wh2_main_sc_hef_high_elves
0		1	1	wh_main_sc_brt_bretonnia	wh2_main_sc_lzd_lizardmen
-40		1	1	wh_main_sc_brt_bretonnia	wh2_main_sc_skv_skaven
-60		1	1	wh_main_sc_brt_bretonnia	wh_dlc03_sc_bst_beastmen
-20		1	1	wh_main_sc_brt_bretonnia	wh_dlc05_sc_wef_wood_elves
10		1	1	wh_main_sc_brt_bretonnia	wh_main_sc_brt_bretonnia
-60		1	1	wh_main_sc_brt_bretonnia	wh_main_sc_chs_chaos
0		1	1	wh_main_sc_brt_bretonnia	wh_main_sc_dwf_dwarfs
0		1	1	wh_main_sc_brt_bretonnia	wh_main_sc_emp_empire
-40		1	1	wh_main_sc_brt_bretonnia	wh_main_sc_grn_greenskins
-40		1	1	wh_main_sc_brt_bretonnia	wh_main_sc_grn_savage_orcs
0		1	1	wh_main_sc_brt_bretonnia	wh_main_sc_ksl_kislev
-60		1	1	wh_main_sc_brt_bretonnia	wh_main_sc_nor_norsca
-100	main_warhammer	1	1	wh_main_sc_brt_bretonnia	wh_main_sc_nor_norsca
0		1	1	wh_main_sc_brt_bretonnia	wh_main_sc_teb_teb
-15		1	1	wh_main_sc_brt_bretonnia	wh_main_sc_vmp_vampire_counts
0		1	1	wh_main_sc_chs_chaos	wh2_main_sc_def_dark_elves
-60		1	1	wh_main_sc_chs_chaos	wh2_main_sc_hef_high_elves
-60		1	1	wh_main_sc_chs_chaos	wh2_main_sc_lzd_lizardmen
0		1	1	wh_main_sc_chs_chaos	wh2_main_sc_skv_skaven
0		1	1	wh_main_sc_chs_chaos	wh_dlc03_sc_bst_beastmen
-60		1	1	wh_main_sc_chs_chaos	wh_dlc05_sc_wef_wood_elves
-60		1	1	wh_main_sc_chs_chaos	wh_main_sc_brt_bretonnia
0		1	1	wh_main_sc_chs_chaos	wh_main_sc_chs_chaos
-60		1	1	wh_main_sc_chs_chaos	wh_main_sc_dwf_dwarfs
-60		1	1	wh_main_sc_chs_chaos	wh_main_sc_emp_empire
-40		1	1	wh_main_sc_chs_chaos	wh_main_sc_grn_greenskins
-40		1	1	wh_main_sc_chs_chaos	wh_main_sc_grn_savage_orcs
-60		1	1	wh_main_sc_chs_chaos	wh_main_sc_ksl_kislev
0		1	1	wh_main_sc_chs_chaos	wh_main_sc_nor_norsca
-40		1	1	wh_main_sc_chs_chaos	wh_main_sc_teb_teb
