campaign_difficulty_handicap_effects_tables
0
campaign_difficulty_handicap	human	effect	effect_scope	effect_value	optional_campaign_key
-1	False	minimum_xp_gain_from_eligible_battle	faction_to_faction_own_unseen	250	
-1	False	wh2_main_effect_agent_action_failure_cost_mod	faction_to_character_own_unseen	-50	
-1	False	wh2_main_effect_force_army_campaign_attrition_storm_resistance	faction_to_force_own	-30	
-1	False	wh2_main_effect_hef_influence_gain	faction_to_faction_own_unseen	2	
-1	False	wh2_main_effect_plague_infectivity_mod	faction_to_region_own_unseen	10	
-1	False	wh2_main_effect_plague_lifetime_mod	faction_to_force_own_unseen	10	
-1	False	wh2_main_effect_replenishment_characters	faction_to_force_own	10	
-1	False	wh2_main_effect_research_cost_mod	faction_to_faction_own_unseen	-100	
-1	False	wh2_main_effect_rite_slave_cost_mod	faction_to_faction_own_unseen	-100	
-1	False	wh2_main_effect_ritual_currency_def_add	faction_to_faction_own_unseen	4	wh2_main_great_vortex
-1	False	wh2_main_effect_slave_decline_modifier	faction_to_province_own	-10	
-1	False	wh2_main_effect_slave_public_order_modifier	faction_to_province_own	-20	
-1	False	wh_main_effect_agent_action_success_chance	faction_to_character_own	-10	
-1	False	wh_main_effect_building_construction_cost_mod	faction_to_region_own	0	
-1	False	wh_main_effect_building_trade_route_sea_hidden	faction_to_region_own	500	
-1	False	wh_main_effect_conquest_resistance_to_occupation_mod	faction_to_faction_own	10	
-1	False	wh_main_effect_economy_tax_mod	faction_to_faction_own	-20	
-1	False	wh_main_effect_faction_mercenary_levy_can_recruit_from_local_hordes	faction_to_faction_own_unseen	0	
-1	False	wh_main_effect_faction_mercenary_levy_units_per_region_mod	faction_to_faction_own_unseen	-1	
-1	False	wh_main_effect_force_all_campaign_recruitment_cost_all	faction_to_force_own	0	
-1	False	wh_main_effect_force_all_campaign_replenishment_rate	faction_to_region_own	3	
-1	False	wh_main_effect_force_army_campaign_attrition_chaos_territory	faction_to_force_own	-30	
-1	False	wh_main_effect_force_army_campaign_attrition_desert_resistance	faction_to_force_own	-30	
-1	False	wh_main_effect_force_army_campaign_attrition_infighting_immunity	faction_to_force_own	1	
-1	False	wh_main_effect_force_army_campaign_attrition_non_vampire_count_territory	faction_to_force_own	-30	
-1	False	wh_main_effect_force_army_campaign_attrition_snow_resistance	faction_to_force_own	-30	
-1	False	wh_main_effect_force_army_campaign_attrition_swamp_resistance	faction_to_force_own	-30	
-1	False	wh_main_effect_force_army_campaign_recruitment_points	faction_to_faction_own_unseen	3	
-1	False	wh_main_effect_force_navy_campaign_attrition_high_seas_resistance	faction_to_force_own	-30	
-1	False	wh_main_effect_growth_all	faction_to_province_own	20	
-1	False	wh_main_effect_hordebuilding_growth_core	faction_to_force_own	1	
-1	False	wh_main_effect_occupation_decision_colonise_cost_zero	faction_to_faction_own	-1	
-1	False	wh_main_effect_public_order_difficulty_level	faction_to_province_own	2	
-1	False	wh_main_effect_unit_recruitment_points	faction_to_province_own	2	
-1	False	wh_main_effect_unit_recruitment_points_naval	faction_to_sea_region_own	2	
-1	True	minimum_xp_gain_from_eligible_battle	faction_to_faction_own_unseen	250	
-1	True	wh2_main_effect_agent_action_failure_cost_mod	faction_to_character_own_unseen	-50	
-1	True	wh2_main_effect_hef_influence_intrigue_cost_mod	faction_to_faction_own_unseen	25	
-1	True	wh2_main_effect_replenishment_characters	faction_to_force_own	12	
-1	True	wh_main_effect_building_trade_route_sea_hidden	faction_to_region_own	500	
-1	True	wh_main_effect_faction_mercenary_levy_can_recruit_from_local_hordes	faction_to_faction_own_unseen	0	
-1	True	wh_main_effect_faction_mercenary_levy_units_per_region_mod	faction_to_faction_own_unseen	-1	
-1	True	wh_main_effect_force_all_campaign_upkeep	faction_to_force_own	10	
-1	True	wh_main_effect_force_army_campaign_recruitment_points	faction_to_faction_own_unseen	3	
-1	True	wh_main_effect_public_order_difficulty_level	faction_to_province_own	-2	
-1	True	wh_main_effect_unit_recruitment_points	faction_to_province_own	2	
-1	True	wh_main_effect_unit_recruitment_points_naval	faction_to_sea_region_own	2	
-2	True	minimum_xp_gain_from_eligible_battle	faction_to_faction_own_unseen	250	
-2	True	wh2_main_effect_agent_action_failure_cost_mod	faction_to_character_own_unseen	-50	
-2	True	wh2_main_effect_hef_influence_intrigue_cost_mod	faction_to_faction_own_unseen	50	
-2	True	wh2_main_effect_replenishment_characters	faction_to_force_own	10	
-2	True	wh_main_effect_building_trade_route_sea_hidden	faction_to_region_own	500	
-2	True	wh_main_effect_faction_mercenary_levy_can_recruit_from_local_hordes	faction_to_faction_own_unseen	0	
-2	True	wh_main_effect_faction_mercenary_levy_units_per_region_mod	faction_to_faction_own_unseen	-1	
-2	True	wh_main_effect_force_all_campaign_upkeep	faction_to_force_own	30	
-2	True	wh_main_effect_force_army_campaign_recruitment_points	faction_to_faction_own_unseen	3	
-2	True	wh_main_effect_public_order_difficulty_level	faction_to_province_own	-4	
-2	True	wh_main_effect_unit_recruitment_points	faction_to_province_own	2	
-2	True	wh_main_effect_unit_recruitment_points_naval	faction_to_sea_region_own	2	
-3	True	minimum_xp_gain_from_eligible_battle	faction_to_faction_own_unseen	250	
-3	True	wh2_main_effect_agent_action_failure_cost_mod	faction_to_character_own_unseen	-50	
-3	True	wh2_main_effect_hef_influence_intrigue_cost_mod	faction_to_faction_own_unseen	50	
-3	True	wh2_main_effect_replenishment_characters	faction_to_force_own	16	
-3	True	wh_main_effect_building_trade_route_sea_hidden	faction_to_region_own	500	
-3	True	wh_main_effect_faction_mercenary_levy_can_recruit_from_local_hordes	faction_to_faction_own_unseen	0	
-3	True	wh_main_effect_faction_mercenary_levy_units_per_region_mod	faction_to_faction_own_unseen	-1	
-3	True	wh_main_effect_force_all_campaign_upkeep	faction_to_force_own	30	
-3	True	wh_main_effect_force_army_campaign_recruitment_points	faction_to_faction_own_unseen	3	
-3	True	wh_main_effect_public_order_difficulty_level	faction_to_province_own	-8	
-3	True	wh_main_effect_unit_recruitment_points	faction_to_province_own	2	
-3	True	wh_main_effect_unit_recruitment_points_naval	faction_to_sea_region_own	2	
0	False	minimum_xp_gain_from_eligible_battle	faction_to_faction_own_unseen	250	
0	False	wh2_main_effect_agent_action_failure_cost_mod	faction_to_character_own_unseen	-50	
0	False	wh2_main_effect_force_army_campaign_attrition_storm_resistance	faction_to_force_own	-50	
0	False	wh2_main_effect_hef_influence_gain	faction_to_faction_own_unseen	4	
0	False	wh2_main_effect_replenishment_characters	faction_to_force_own	10	
0	False	wh2_main_effect_research_cost_mod	faction_to_faction_own_unseen	-100	
0	False	wh2_main_effect_rite_slave_cost_mod	faction_to_faction_own_unseen	-100	
0	False	wh2_main_effect_ritual_currency_def_add	faction_to_faction_own_unseen	6	wh2_main_great_vortex
0	False	wh2_main_effect_slave_decline_modifier	faction_to_province_own	-30	
0	False	wh2_main_effect_slave_public_order_modifier	faction_to_province_own	-30	
0	False	wh_main_effect_agent_action_success_chance	faction_to_character_own	-5	
0	False	wh_main_effect_building_construction_cost_mod	faction_to_region_own	-15	
0	False	wh_main_effect_building_trade_route_sea_hidden	faction_to_region_own	500	
0	False	wh_main_effect_conquest_resistance_to_occupation_mod	faction_to_faction_own	40	
0	False	wh_main_effect_economy_tax_mod	faction_to_faction_own	0	
0	False	wh_main_effect_faction_mercenary_levy_can_recruit_from_local_hordes	faction_to_faction_own_unseen	0	
0	False	wh_main_effect_faction_mercenary_levy_units_per_region_mod	faction_to_faction_own_unseen	-1	
0	False	wh_main_effect_force_all_campaign_recruitment_cost_all	faction_to_force_own	-15	
0	False	wh_main_effect_force_all_campaign_replenishment_rate	faction_to_region_own	4	
0	False	wh_main_effect_force_army_campaign_attrition_chaos_territory	faction_to_force_own	-50	
0	False	wh_main_effect_force_army_campaign_attrition_desert_resistance	faction_to_force_own	-50	
0	False	wh_main_effect_force_army_campaign_attrition_infighting_immunity	faction_to_force_own	1	
0	False	wh_main_effect_force_army_campaign_attrition_non_vampire_count_territory	faction_to_force_own	-50	
0	False	wh_main_effect_force_army_campaign_attrition_snow_resistance	faction_to_force_own	-50	
0	False	wh_main_effect_force_army_campaign_attrition_swamp_resistance	faction_to_force_own	-50	
0	False	wh_main_effect_force_army_campaign_recruitment_points	faction_to_faction_own_unseen	3	
0	False	wh_main_effect_force_navy_campaign_attrition_high_seas_resistance	faction_to_force_own	-50	
0	False	wh_main_effect_growth_all	faction_to_province_own	40	
0	False	wh_main_effect_hordebuilding_growth_core	faction_to_force_own	3	
0	False	wh_main_effect_occupation_decision_colonise_cost_zero	faction_to_faction_own	-1	
0	False	wh_main_effect_public_order_difficulty_level	faction_to_province_own	4	
0	False	wh_main_effect_unit_recruitment_points	faction_to_province_own	2	
0	False	wh_main_effect_unit_recruitment_points_naval	faction_to_sea_region_own	2	
0	True	minimum_xp_gain_from_eligible_battle	faction_to_faction_own_unseen	250	
0	True	wh2_main_effect_agent_action_failure_cost_mod	faction_to_character_own_unseen	-50	
0	True	wh2_main_effect_replenishment_characters	faction_to_force_own	14	
0	True	wh_main_effect_building_trade_route_sea_hidden	faction_to_region_own	500	
0	True	wh_main_effect_faction_mercenary_levy_can_recruit_from_local_hordes	faction_to_faction_own_unseen	0	
0	True	wh_main_effect_faction_mercenary_levy_units_per_region_mod	faction_to_faction_own_unseen	-1	
0	True	wh_main_effect_force_all_campaign_upkeep	faction_to_force_own	-10	
0	True	wh_main_effect_force_army_campaign_recruitment_points	faction_to_faction_own_unseen	3	
0	True	wh_main_effect_public_order_difficulty_level	faction_to_province_own	0	
0	True	wh_main_effect_unit_recruitment_points	faction_to_province_own	2	
0	True	wh_main_effect_unit_recruitment_points_naval	faction_to_sea_region_own	2	
1	False	minimum_xp_gain_from_eligible_battle	faction_to_faction_own_unseen	250	
1	False	wh2_main_effect_agent_action_failure_cost_mod	faction_to_character_own_unseen	-50	
1	False	wh2_main_effect_force_army_campaign_attrition_storm_resistance	faction_to_force_own	-60	
1	False	wh2_main_effect_hef_influence_gain	faction_to_faction_own_unseen	4	
1	False	wh2_main_effect_plague_infectivity_mod	faction_to_region_own_unseen	-10	
1	False	wh2_main_effect_plague_lifetime_mod	faction_to_force_own_unseen	-10	
1	False	wh2_main_effect_replenishment_characters	faction_to_force_own	12	
1	False	wh2_main_effect_research_cost_mod	faction_to_faction_own_unseen	-100	
1	False	wh2_main_effect_rite_slave_cost_mod	faction_to_faction_own_unseen	-100	
1	False	wh2_main_effect_ritual_currency_def_add	faction_to_faction_own_unseen	8	wh2_main_great_vortex
1	False	wh2_main_effect_slave_decline_modifier	faction_to_province_own	-40	
1	False	wh2_main_effect_slave_public_order_modifier	faction_to_province_own	-40	
1	False	wh_main_effect_building_construction_cost_mod	faction_to_region_own	-20	
1	False	wh_main_effect_building_trade_route_sea_hidden	faction_to_region_own	500	
1	False	wh_main_effect_conquest_resistance_to_occupation_mod	faction_to_faction_own	50	
1	False	wh_main_effect_economy_tax_mod	faction_to_faction_own	25	
1	False	wh_main_effect_faction_mercenary_levy_can_recruit_from_local_hordes	faction_to_faction_own_unseen	0	
1	False	wh_main_effect_faction_mercenary_levy_units_per_region_mod	faction_to_faction_own_unseen	-1	
1	False	wh_main_effect_force_all_campaign_recruitment_cost_all	faction_to_force_own	-30	
1	False	wh_main_effect_force_all_campaign_replenishment_rate	faction_to_region_own	5	
1	False	wh_main_effect_force_all_campaign_upkeep	faction_to_force_own	-20	
1	False	wh_main_effect_force_army_campaign_attrition_chaos_territory	faction_to_force_own	-60	
1	False	wh_main_effect_force_army_campaign_attrition_desert_resistance	faction_to_force_own	-60	
1	False	wh_main_effect_force_army_campaign_attrition_infighting_immunity	faction_to_force_own	1	
1	False	wh_main_effect_force_army_campaign_attrition_non_vampire_count_territory	faction_to_force_own	-60	
1	False	wh_main_effect_force_army_campaign_attrition_snow_resistance	faction_to_force_own	-60	
1	False	wh_main_effect_force_army_campaign_attrition_swamp_resistance	faction_to_force_own	-60	
1	False	wh_main_effect_force_army_campaign_recruitment_points	faction_to_faction_own_unseen	3	
1	False	wh_main_effect_force_navy_campaign_attrition_high_seas_resistance	faction_to_force_own	-60	
1	False	wh_main_effect_growth_all	faction_to_province_own	60	
1	False	wh_main_effect_hordebuilding_growth_core	faction_to_force_own	5	
1	False	wh_main_effect_occupation_decision_colonise_cost_zero	faction_to_faction_own	-1	
1	False	wh_main_effect_public_order_difficulty_level	faction_to_province_own	6	
1	False	wh_main_effect_unit_recruitment_points	faction_to_province_own	2	
1	False	wh_main_effect_unit_recruitment_points_naval	faction_to_sea_region_own	2	
1	True	minimum_xp_gain_from_eligible_battle	faction_to_faction_own_unseen	250	
1	True	wh2_main_effect_agent_action_failure_cost_mod	faction_to_character_own_unseen	-50	
1	True	wh2_main_effect_replenishment_characters	faction_to_force_own	16	
1	True	wh_main_effect_building_trade_route_sea_hidden	faction_to_region_own	500	
1	True	wh_main_effect_conquest_resistance_to_occupation_mod	faction_to_faction_own	10	
1	True	wh_main_effect_faction_mercenary_levy_can_recruit_from_local_hordes	faction_to_faction_own_unseen	0	
1	True	wh_main_effect_faction_mercenary_levy_units_per_region_mod	faction_to_faction_own_unseen	-1	
1	True	wh_main_effect_force_all_campaign_upkeep	faction_to_force_own	-25	
1	True	wh_main_effect_force_army_campaign_recruitment_points	faction_to_faction_own_unseen	3	
1	True	wh_main_effect_public_order_difficulty_level	faction_to_province_own	1	
1	True	wh_main_effect_unit_recruitment_points	faction_to_province_own	2	
1	True	wh_main_effect_unit_recruitment_points_naval	faction_to_sea_region_own	2	
2	False	minimum_xp_gain_from_eligible_battle	faction_to_faction_own_unseen	250	
2	False	wh2_main_effect_agent_action_failure_cost_mod	faction_to_character_own_unseen	-50	
2	False	wh2_main_effect_force_army_campaign_attrition_storm_resistance	faction_to_force_own	-70	
2	False	wh2_main_effect_hef_influence_gain	faction_to_faction_own_unseen	6	
2	False	wh2_main_effect_plague_infectivity_mod	faction_to_region_own_unseen	-20	
2	False	wh2_main_effect_plague_lifetime_mod	faction_to_force_own_unseen	-20	
2	False	wh2_main_effect_replenishment_characters	faction_to_force_own	14	
2	False	wh2_main_effect_research_cost_mod	faction_to_faction_own_unseen	-100	
2	False	wh2_main_effect_rite_slave_cost_mod	faction_to_faction_own_unseen	-100	
2	False	wh2_main_effect_ritual_currency_def_add	faction_to_faction_own_unseen	10	wh2_main_great_vortex
2	False	wh2_main_effect_slave_decline_modifier	faction_to_province_own	-50	
2	False	wh2_main_effect_slave_public_order_modifier	faction_to_province_own	-60	
2	False	wh_main_effect_building_construction_cost_mod	faction_to_region_own	-25	
2	False	wh_main_effect_building_trade_route_sea_hidden	faction_to_region_own	500	
2	False	wh_main_effect_conquest_resistance_to_occupation_mod	faction_to_faction_own	60	
2	False	wh_main_effect_economy_tax_mod	faction_to_faction_own	40	
2	False	wh_main_effect_faction_mercenary_levy_can_recruit_from_local_hordes	faction_to_faction_own_unseen	0	
2	False	wh_main_effect_faction_mercenary_levy_units_per_region_mod	faction_to_faction_own_unseen	-1	
2	False	wh_main_effect_force_all_campaign_recruitment_cost_all	faction_to_force_own	-45	
2	False	wh_main_effect_force_all_campaign_replenishment_rate	faction_to_region_own	7	
2	False	wh_main_effect_force_all_campaign_upkeep	faction_to_force_own	-40	
2	False	wh_main_effect_force_army_campaign_attrition_chaos_territory	faction_to_force_own	-70	
2	False	wh_main_effect_force_army_campaign_attrition_desert_resistance	faction_to_force_own	-70	
2	False	wh_main_effect_force_army_campaign_attrition_infighting_immunity	faction_to_force_own	1	
