campaign_faction_feature_forest_overrides_tables
0
unknown0	unknown1	unknown2
main_warhammer	wh2_main_chs_chaos_incursion_def	LOCKED_HORDE
main_warhammer	wh2_main_chs_chaos_incursion_hef	LOCKED_HORDE
main_warhammer	wh2_main_chs_chaos_incursion_lzd	LOCKED_HORDE
wh2_main_great_vortex	wh2_main_def_cult_of_pleasure	VORTEX_RITUAL_MIXED_NAVAL_HORDE
wh2_main_great_vortex	wh2_main_def_naggarond	VORTEX_RITUAL_MIXED_NAVAL_HORDE_PRIMARY
wh2_main_great_vortex	wh2_main_hef_eataine	VORTEX_RITUAL_STANDARD_PRIMARY
wh2_main_great_vortex	wh2_main_hef_order_of_loremasters	VORTEX_RITUAL_STANDARD
wh2_main_great_vortex	wh2_main_lzd_hexoatl	VORTEX_RITUAL_STANDARD_PRIMARY
wh2_main_great_vortex	wh2_main_lzd_last_defenders	VORTEX_RITUAL_STANDARD
wh2_main_great_vortex	wh2_main_skv_clan_mors	VORTEX_RITUAL_STANDARD_PRIMARY
wh2_main_great_vortex	wh2_main_skv_clan_pestilens	VORTEX_RITUAL_STANDARD
