campaign_features_tables
0
unknown0	unknown1	unknown2
False	additional_army_upkeep	wh_dlc03_feature_beastmen
False	additional_army_upkeep	wh_dlc05_feature_beastmen_morghur
True	additional_army_upkeep	wh_feature_all
False	additional_army_upkeep	wh_feature_bretonnia
False	additional_army_upkeep	wh_feature_chaos
True	ambush_in_default_stance	wh2_main_feature_skaven
True	ambush_in_default_stance	wh_dlc03_feature_beastmen
True	ambush_in_default_stance	wh_dlc05_feature_beastmen_morghur
True	assign_edicts	wh_feature_all
False	dwarven_grudges	wh_feature_all
True	dwarven_grudges	wh_feature_dwarfs
True	enslaving_captives_replenishes_hitpoints	wh_dlc03_feature_beastmen
False	enslaving_captives_replenishes_hitpoints	wh_dlc05_feature_beastmen_morghur
True	enslaving_captives_replenishes_hitpoints	wh_feature_greenskins
True	enslaving_captives_replenishes_hitpoints	wh_feature_vampire_counts
False	factionwide_recruitment	wh2_main_feature_dark_elves
False	factionwide_recruitment	wh_dlc03_feature_beastmen
False	factionwide_recruitment	wh_dlc05_feature_beastmen_morghur
True	factionwide_recruitment	wh_feature_all
False	factionwide_recruitment	wh_feature_chaos
False	factionwide_recruitment	wh_feature_vampire_counts
True	food_garrison_exemption	wh_dlc05_feature_wood_elves
True	food	wh_dlc05_feature_wood_elves
False	food	wh_feature_all
True	food	wh_feature_bretonnia
True	geomantic_web	wh2_main_feature_lizardmen
True	hidden_in_settle_stance	wh_dlc03_feature_beastmen
False	hidden_in_settle_stance	wh_dlc05_feature_beastmen_morghur
True	hidden_settlements	wh2_main_feature_skaven
True	influence	wh2_main_feature_high_elves
True	influence	wh2_main_feature_tor_elithis
True	influence	wh2_main_feature_vauls_expedition
False	interfaction_loyalty	wh_feature_all
True	intervention_army	wh2_main_feature_intervention_factions
True	loyalty_of_lords	wh2_main_feature_dark_elves
True	loyalty_of_lords	wh2_main_feature_skaven
False	loyalty_of_lords	wh_feature_all
False	military_morale	wh_dlc03_feature_beastmen_brayherd
True	military_morale	wh_dlc03_feature_beastmen_not_brayherd
False	military_morale	wh_dlc05_feature_beastmen_morghur
True	military_morale	wh_feature_greenskins_not_waaagh
False	military_morale	wh_feature_greenskins_waaagh
True	politics	wh_dlc05_feature_wood_elves
True	politics	wh_feature_empire
False	public_order	wh_dlc03_feature_beastmen
False	public_order	wh_dlc05_feature_beastmen_morghur
True	public_order	wh_feature_all
False	public_order	wh_feature_chaos
True	random_missions	wh_feature_all
False	region_growth	wh_dlc03_feature_beastmen
True	region_growth	wh_dlc05_feature_beastmen_morghur
True	region_growth	wh_feature_all
False	region_growth	wh_feature_chaos
False	region_wealth	wh_dlc03_feature_beastmen
True	region_wealth	wh_dlc05_feature_beastmen_morghur
True	region_wealth	wh_feature_all
False	region_wealth	wh_feature_chaos
True	settlement_vandalisation	wh_feature_greenskins
True	slaves	wh2_main_feature_dark_elves
False	slaves	wh_feature_all
True	standalone_plagues	wh_feature_all
True	tax_exemption	wh_feature_all
False	tax_rate_control	wh_feature_all
True	undead_unit_saving_postbattle	wh_feature_vampire_counts
True	vampiric_mercenary_recruitment	wh_feature_vampire_counts
