campaign_group_member_criteria_campaigns_tables
0
unknown0	unknown1
wh2_main_great_vortex	wh2_main_feature_intervention_factions_wh2_main_chs_chaos_incursion_def
wh2_main_great_vortex	wh2_main_feature_intervention_factions_wh2_main_chs_chaos_incursion_hef
wh2_main_great_vortex	wh2_main_feature_intervention_factions_wh2_main_chs_chaos_incursion_lzd
wh2_main_great_vortex	wh2_main_feature_intervention_factions_wh2_main_chs_chaos_incursion_skv
wh2_main_great_vortex	wh2_main_feature_intervention_factions_wh2_main_def_dark_elves_intervention
wh2_main_great_vortex	wh2_main_feature_intervention_factions_wh2_main_hef_high_elves_intervention
wh2_main_great_vortex	wh2_main_feature_intervention_factions_wh2_main_lzd_lizardmen_intervention
wh2_main_great_vortex	wh2_main_feature_intervention_factions_wh2_main_nor_hung_incursion_def
wh2_main_great_vortex	wh2_main_feature_intervention_factions_wh2_main_nor_hung_incursion_hef
wh2_main_great_vortex	wh2_main_feature_intervention_factions_wh2_main_nor_hung_incursion_lzd
wh2_main_great_vortex	wh2_main_feature_intervention_factions_wh2_main_nor_hung_incursion_skv
wh2_main_great_vortex	wh2_main_feature_intervention_factions_wh2_main_skv_skaven_intervention
wh2_main_great_vortex	wh2_main_feature_intervention_factions_wh2_main_skv_unknown_clan_def
wh2_main_great_vortex	wh2_main_feature_intervention_factions_wh2_main_skv_unknown_clan_hef
wh2_main_great_vortex	wh2_main_feature_intervention_factions_wh2_main_skv_unknown_clan_lzd
wh2_main_great_vortex	wh2_main_feature_intervention_factions_wh2_main_skv_unknown_clan_skv
main_warhammer	wh2_main_gc_abandoned_regions_wh2_main_def_dark_elves_wh2_main_deadwood_shagrath
main_warhammer	wh2_main_gc_abandoned_regions_wh2_main_def_dark_elves_wh2_main_deadwood_the_frozen_city
main_warhammer	wh2_main_gc_abandoned_regions_wh2_main_def_dark_elves_wh2_main_doom_glades_ice_rock_gorge
main_warhammer	wh2_main_gc_abandoned_regions_wh2_main_def_dark_elves_wh2_main_doom_glades_temple_of_addaioth
main_warhammer	wh2_main_gc_abandoned_regions_wh2_main_def_dark_elves_wh2_main_the_black_flood_temple_of_khaine
main_warhammer	wh2_main_gc_abandoned_regions_wh2_main_hef_high_elves_wh2_main_eataine_shrine_of_asuryan
main_warhammer	wh2_main_gc_abandoned_regions_wh2_main_hef_high_elves_wh2_main_volcanic_islands_fuming_serpent
main_warhammer	wh2_main_gc_abandoned_regions_wh2_main_lzd_lizardmen_wh2_main_headhunters_jungle_mangrove_coast
main_warhammer	wh2_main_gc_abandoned_regions_wh2_main_lzd_lizardmen_wh2_main_huahuan_desert_chamber_of_visions
main_warhammer	wh2_main_gc_abandoned_regions_wh2_main_lzd_lizardmen_wh2_main_isthmus_of_lustria_ziggurat_of_dawn
main_warhammer	wh2_main_gc_abandoned_regions_wh2_main_lzd_lizardmen_wh2_main_jungles_of_green_mists_spektazuma
main_warhammer	wh2_main_gc_abandoned_regions_wh2_main_lzd_lizardmen_wh2_main_jungles_of_green_mists_wellsprings_of_eternity
main_warhammer	wh2_main_gc_abandoned_regions_wh2_main_lzd_lizardmen_wh2_main_kingdom_of_beasts_serpent_coast
main_warhammer	wh2_main_gc_abandoned_regions_wh2_main_lzd_lizardmen_wh2_main_kingdom_of_beasts_the_cursed_jungle
main_warhammer	wh2_main_gc_abandoned_regions_wh2_main_lzd_lizardmen_wh2_main_northern_great_jungle_chaqua
main_warhammer	wh2_main_gc_abandoned_regions_wh2_main_lzd_lizardmen_wh2_main_northern_great_jungle_temple_of_tlencan
main_warhammer	wh2_main_gc_abandoned_regions_wh2_main_lzd_lizardmen_wh2_main_northern_great_jungle_xahutec
main_warhammer	wh2_main_gc_abandoned_regions_wh2_main_lzd_lizardmen_wh2_main_northern_jungle_of_pahualaxa_macu_peaks
main_warhammer	wh2_main_gc_abandoned_regions_wh2_main_lzd_lizardmen_wh2_main_northern_jungle_of_pahualaxa_shrine_of_sotek
