campaign_group_member_criteria_climates_tables
0
unknown0	unknown1
climate_chaotic	wh2_climate_brt_regular_chaotic
climate_desert	wh2_climate_brt_regular_desert
climate_frozen	wh2_climate_brt_regular_frozen
climate_island	wh2_climate_brt_regular_island
climate_jungle	wh2_climate_brt_regular_jungle
climate_magicforest	wh2_climate_brt_regular_magicforest
climate_mountain	wh2_climate_brt_regular_mountain
climate_savannah	wh2_climate_brt_regular_savannah
climate_temperate	wh2_climate_brt_regular_temperate
climate_wasteland	wh2_climate_brt_regular_wasteland
climate_chaotic	wh2_climate_def_regular_chaotic
climate_desert	wh2_climate_def_regular_desert
climate_frozen	wh2_climate_def_regular_frozen
climate_island	wh2_climate_def_regular_island
climate_jungle	wh2_climate_def_regular_jungle
climate_magicforest	wh2_climate_def_regular_magicforest
climate_mountain	wh2_climate_def_regular_mountain
climate_savannah	wh2_climate_def_regular_savannah
climate_temperate	wh2_climate_def_regular_temperate
climate_wasteland	wh2_climate_def_regular_wasteland
climate_chaotic	wh2_climate_dwf_regular_chaotic
climate_desert	wh2_climate_dwf_regular_desert
climate_frozen	wh2_climate_dwf_regular_frozen
climate_island	wh2_climate_dwf_regular_island
climate_jungle	wh2_climate_dwf_regular_jungle
climate_magicforest	wh2_climate_dwf_regular_magicforest
climate_mountain	wh2_climate_dwf_regular_mountain
climate_savannah	wh2_climate_dwf_regular_savannah
climate_temperate	wh2_climate_dwf_regular_temperate
climate_wasteland	wh2_climate_dwf_regular_wasteland
climate_chaotic	wh2_climate_emp_kislev_chaotic
climate_desert	wh2_climate_emp_kislev_desert
climate_frozen	wh2_climate_emp_kislev_frozen
climate_island	wh2_climate_emp_kislev_island
climate_jungle	wh2_climate_emp_kislev_jungle
climate_magicforest	wh2_climate_emp_kislev_magicforest
climate_mountain	wh2_climate_emp_kislev_mountain
climate_savannah	wh2_climate_emp_kislev_savannah
climate_temperate	wh2_climate_emp_kislev_temperate
climate_wasteland	wh2_climate_emp_kislev_wasteland
climate_chaotic	wh2_climate_emp_regular_chaotic
climate_desert	wh2_climate_emp_regular_desert
climate_frozen	wh2_climate_emp_regular_frozen
climate_island	wh2_climate_emp_regular_island
climate_jungle	wh2_climate_emp_regular_jungle
climate_magicforest	wh2_climate_emp_regular_magicforest
climate_mountain	wh2_climate_emp_regular_mountain
climate_savannah	wh2_climate_emp_regular_savannah
climate_temperate	wh2_climate_emp_regular_temperate
climate_wasteland	wh2_climate_emp_regular_wasteland
climate_chaotic	wh2_climate_emp_teb_chaotic
climate_desert	wh2_climate_emp_teb_desert
climate_frozen	wh2_climate_emp_teb_frozen
climate_island	wh2_climate_emp_teb_island
climate_jungle	wh2_climate_emp_teb_jungle
climate_magicforest	wh2_climate_emp_teb_magicforest
climate_mountain	wh2_climate_emp_teb_mountain
climate_savannah	wh2_climate_emp_teb_savannah
climate_temperate	wh2_climate_emp_teb_temperate
climate_wasteland	wh2_climate_emp_teb_wasteland
climate_chaotic	wh2_climate_grn_regular_chaotic
climate_desert	wh2_climate_grn_regular_desert
climate_frozen	wh2_climate_grn_regular_frozen
climate_island	wh2_climate_grn_regular_island
climate_jungle	wh2_climate_grn_regular_jungle
climate_magicforest	wh2_climate_grn_regular_magicforest
climate_mountain	wh2_climate_grn_regular_mountain
climate_savannah	wh2_climate_grn_regular_savannah
climate_temperate	wh2_climate_grn_regular_temperate
climate_wasteland	wh2_climate_grn_regular_wasteland
climate_chaotic	wh2_climate_hef_avelorn_chaotic
climate_desert	wh2_climate_hef_avelorn_desert
climate_frozen	wh2_climate_hef_avelorn_frozen
climate_island	wh2_climate_hef_avelorn_island
climate_jungle	wh2_climate_hef_avelorn_jungle
climate_magicforest	wh2_climate_hef_avelorn_magicforest
climate_mountain	wh2_climate_hef_avelorn_mountain
climate_savannah	wh2_climate_hef_avelorn_savannah
climate_temperate	wh2_climate_hef_avelorn_temperate
climate_wasteland	wh2_climate_hef_avelorn_wasteland
climate_chaotic	wh2_climate_hef_caledor_chaotic
climate_desert	wh2_climate_hef_caledor_desert
climate_frozen	wh2_climate_hef_caledor_frozen
climate_island	wh2_climate_hef_caledor_island
climate_jungle	wh2_climate_hef_caledor_jungle
climate_magicforest	wh2_climate_hef_caledor_magicforest
climate_mountain	wh2_climate_hef_caledor_mountain
climate_savannah	wh2_climate_hef_caledor_savannah
climate_temperate	wh2_climate_hef_caledor_temperate
climate_wasteland	wh2_climate_hef_caledor_wasteland
climate_chaotic	wh2_climate_hef_chrace_chaotic
climate_desert	wh2_climate_hef_chrace_desert
climate_frozen	wh2_climate_hef_chrace_frozen
climate_island	wh2_climate_hef_chrace_island
climate_jungle	wh2_climate_hef_chrace_jungle
climate_magicforest	wh2_climate_hef_chrace_magicforest
climate_mountain	wh2_climate_hef_chrace_mountain
climate_savannah	wh2_climate_hef_chrace_savannah
climate_temperate	wh2_climate_hef_chrace_temperate
climate_wasteland	wh2_climate_hef_chrace_wasteland
climate_chaotic	wh2_climate_hef_citadel_of_dusk_chaotic
climate_desert	wh2_climate_hef_citadel_of_dusk_desert
climate_frozen	wh2_climate_hef_citadel_of_dusk_frozen
climate_island	wh2_climate_hef_citadel_of_dusk_island
climate_jungle	wh2_climate_hef_citadel_of_dusk_jungle
climate_magicforest	wh2_climate_hef_citadel_of_dusk_magicforest
climate_mountain	wh2_climate_hef_citadel_of_dusk_mountain
