campaign_group_member_criteria_subcultures_tables
0
unknown0	unknown1
diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionBeastmen	wh_dlc03_sc_bst_beastmen
diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionBeastmen_&_Negative	wh_dlc03_sc_bst_beastmen
diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionBeastmen_&_Positive	wh_dlc03_sc_bst_beastmen
diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionBretonnia	wh_main_sc_brt_bretonnia
diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionBretonnia_&_Negative	wh_main_sc_brt_bretonnia
diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionBretonnia_&_Positive	wh_main_sc_brt_bretonnia
diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionChaos	wh_main_sc_chs_chaos
diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionChaos_&_Negative	wh_main_sc_chs_chaos
diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionChaos_&_Positive	wh_main_sc_chs_chaos
diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionDarkElves	wh2_main_sc_def_dark_elves
diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionDarkElves_&_Negative	wh2_main_sc_def_dark_elves
diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionDarkElves_&_Positive	wh2_main_sc_def_dark_elves
diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionDwarf	wh_main_sc_dwf_dwarfs
diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionDwarf_&_Negative	wh_main_sc_dwf_dwarfs
diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionDwarf_&_Positive	wh_main_sc_dwf_dwarfs
diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionEmpire	wh_main_sc_emp_empire
diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionEmpire_&_Negative	wh_main_sc_emp_empire
diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionEmpire_&_Positive	wh_main_sc_emp_empire
diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionGreenskin	wh_main_sc_grn_greenskins
diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionGreenskin_&_Negative	wh_main_sc_grn_greenskins
diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionGreenskin_&_Positive	wh_main_sc_grn_greenskins
diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionHighElves	wh2_main_sc_hef_high_elves
diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionHighElves_&_Negative	wh2_main_sc_hef_high_elves
diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionHighElves_&_Positive	wh2_main_sc_hef_high_elves
diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionLizardmen	wh2_main_sc_lzd_lizardmen
diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionLizardmen_&_Negative	wh2_main_sc_lzd_lizardmen
diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionLizardmen_&_Positive	wh2_main_sc_lzd_lizardmen
diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionSkaven	wh2_main_sc_skv_skaven
diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionSkaven_&_Negative	wh2_main_sc_skv_skaven
diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionSkaven_&_Positive	wh2_main_sc_skv_skaven
diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionVamp	wh_main_sc_vmp_vampire_counts
diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionVamp_&_Negative	wh_main_sc_vmp_vampire_counts
diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionVamp_&_Positive	wh_main_sc_vmp_vampire_counts
diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionWoodElves	wh_dlc05_sc_wef_wood_elves
diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionWoodElves_&_Negative	wh_dlc05_sc_wef_wood_elves
diplomacy_FactionGroup_DE_Dreadlord2_Faction_CultofExcess_&_OtherFactionWoodElves_&_Positive	wh_dlc05_sc_wef_wood_elves
diplomacy_FactionGroup_DE_Dreadlord2_Faction_DracklaCoven_&_OtherFactionBeastmen	wh_dlc03_sc_bst_beastmen
diplomacy_FactionGroup_DE_Dreadlord2_Faction_DracklaCoven_&_OtherFactionBeastmen_&_Negative	wh_dlc03_sc_bst_beastmen
diplomacy_FactionGroup_DE_Dreadlord2_Faction_DracklaCoven_&_OtherFactionBeastmen_&_Positive	wh_dlc03_sc_bst_beastmen
diplomacy_FactionGroup_DE_Dreadlord2_Faction_DracklaCoven_&_OtherFactionBretonnia	wh_main_sc_brt_bretonnia
diplomacy_FactionGroup_DE_Dreadlord2_Faction_DracklaCoven_&_OtherFactionBretonnia_&_Negative	wh_main_sc_brt_bretonnia
diplomacy_FactionGroup_DE_Dreadlord2_Faction_DracklaCoven_&_OtherFactionBretonnia_&_Positive	wh_main_sc_brt_bretonnia
diplomacy_FactionGroup_DE_Dreadlord2_Faction_DracklaCoven_&_OtherFactionChaos	wh_main_sc_chs_chaos
diplomacy_FactionGroup_DE_Dreadlord2_Faction_DracklaCoven_&_OtherFactionChaos_&_Negative	wh_main_sc_chs_chaos
diplomacy_FactionGroup_DE_Dreadlord2_Faction_DracklaCoven_&_OtherFactionChaos_&_Positive	wh_main_sc_chs_chaos
diplomacy_FactionGroup_DE_Dreadlord2_Faction_DracklaCoven_&_OtherFactionDarkElves	wh2_main_sc_def_dark_elves
diplomacy_FactionGroup_DE_Dreadlord2_Faction_DracklaCoven_&_OtherFactionDarkElves_&_Negative	wh2_main_sc_def_dark_elves
diplomacy_FactionGroup_DE_Dreadlord2_Faction_DracklaCoven_&_OtherFactionDarkElves_&_Positive	wh2_main_sc_def_dark_elves
