campaign_map_attrition_faction_immunities_tables
0
attrition	faction
athel_loren	wh_dlc05_wef_argwylon
athel_loren	wh_dlc05_wef_mini_anmyr
athel_loren	wh_dlc05_wef_mini_argwylon
athel_loren	wh_dlc05_wef_mini_arranoc
athel_loren	wh_dlc05_wef_mini_atylwyth
athel_loren	wh_dlc05_wef_mini_cavaroc
athel_loren	wh_dlc05_wef_mini_cythral
athel_loren	wh_dlc05_wef_mini_fyr_darric
athel_loren	wh_dlc05_wef_mini_modryn
athel_loren	wh_dlc05_wef_mini_tirsyth
athel_loren	wh_dlc05_wef_mini_torgovann
athel_loren	wh_dlc05_wef_mini_wood_elves
athel_loren	wh_dlc05_wef_mini_wydrioth
athel_loren	wh_dlc05_wef_torgovann
athel_loren	wh_dlc05_wef_wood_elves
athel_loren	wh_dlc05_wef_wood_elves_qb1
athel_loren	wh_dlc05_wef_wood_elves_qb2
athel_loren	wh_dlc05_wef_wood_elves_qb3
athel_loren	wh_dlc05_wef_wood_elves_rebels
athel_loren	wh_dlc05_wef_wydrioth
blockaded	wh2_main_dwf_greybeards_prospectors
blockaded	wh2_main_dwf_karak_zorn
blockaded	wh2_main_dwf_spine_of_sotek_dwarfs
blockaded	wh2_main_vmp_necrarch_brotherhood
blockaded	wh2_main_vmp_strygos_empire
blockaded	wh2_main_vmp_the_silver_host
blockaded	wh2_main_vmp_vampire_coast
blockaded	wh_dlc05_vmp_mousillon
blockaded	wh_main_dwf_barak_varr
blockaded	wh_main_dwf_dwarf_rebels
blockaded	wh_main_dwf_dwarfs
blockaded	wh_main_dwf_karak_azul
blockaded	wh_main_dwf_karak_hirn
blockaded	wh_main_dwf_karak_izor
blockaded	wh_main_dwf_karak_kadrin
blockaded	wh_main_dwf_karak_norn
blockaded	wh_main_dwf_karak_ziflin
blockaded	wh_main_dwf_kraka_drak
blockaded	wh_main_dwf_zhufbar
blockaded	wh_main_vmp_mousillon
blockaded	wh_main_vmp_rival_sylvanian_vamps
blockaded	wh_main_vmp_schwartzhafen
blockaded	wh_main_vmp_vampire_counts
blockaded	wh_main_vmp_vampire_rebels
blockaded	wh_main_vmp_waldenhof
chaos_territory	wh2_main_bst_blooded_axe
chaos_territory	wh2_main_bst_blooded_axe_brayherd
chaos_territory	wh2_main_bst_manblight
chaos_territory	wh2_main_bst_manblight_brayherd
chaos_territory	wh2_main_bst_ripper_horn
chaos_territory	wh2_main_bst_ripper_horn_brayherd
chaos_territory	wh2_main_bst_shadowgor
chaos_territory	wh2_main_bst_shadowgor_brayherd
chaos_territory	wh2_main_bst_skrinderkin
chaos_territory	wh2_main_bst_skrinderkin_brayherd
chaos_territory	wh2_main_bst_stone_horn
chaos_territory	wh2_main_bst_stone_horn_brayherd
chaos_territory	wh2_main_chs_chaos_incursion_def
chaos_territory	wh2_main_chs_chaos_incursion_hef
chaos_territory	wh2_main_chs_chaos_incursion_lzd
chaos_territory	wh2_main_chs_chaos_incursion_skv
chaos_territory	wh2_main_def_cult_of_excess
chaos_territory	wh2_main_def_cult_of_pleasure
chaos_territory	wh2_main_def_cult_of_pleasure_separatists
chaos_territory	wh2_main_def_ssildra_tor
chaos_territory	wh2_main_nor_aghol
chaos_territory	wh2_main_nor_hung_incursion_def
chaos_territory	wh2_main_nor_hung_incursion_hef
chaos_territory	wh2_main_nor_hung_incursion_lzd
chaos_territory	wh2_main_nor_hung_incursion_skv
chaos_territory	wh2_main_nor_mung
chaos_territory	wh2_main_nor_skeggi
chaos_territory	wh2_main_rogue_abominations
chaos_territory	wh2_main_rogue_beastcatchas
chaos_territory	wh2_main_rogue_bernhoffs_brigands
chaos_territory	wh2_main_rogue_black_spider_tribe
chaos_territory	wh2_main_rogue_boneclubbers_tribe
chaos_territory	wh2_main_rogue_celestial_storm
chaos_territory	wh2_main_rogue_college_of_pyrotechnics
chaos_territory	wh2_main_rogue_def_chs_vashnaar
chaos_territory	wh2_main_rogue_def_mengils_manflayers
chaos_territory	wh2_main_rogue_doomseekers
chaos_territory	wh2_main_rogue_gerhardts_mercenaries
chaos_territory	wh2_main_rogue_hef_tor_elithis
chaos_territory	wh2_main_rogue_hung_warband
chaos_territory	wh2_main_rogue_jerrods_errantry
chaos_territory	wh2_main_rogue_mangy_houndz
chaos_territory	wh2_main_rogue_morrsliebs_howlers
chaos_territory	wh2_main_rogue_pirates_of_the_far_sea
chaos_territory	wh2_main_rogue_pirates_of_the_southern_ocean
chaos_territory	wh2_main_rogue_pirates_of_trantio
