campaign_map_attrition_unit_immunities_tables
0
attrition	unit
athel_loren	wh_dlc05_wef_cav_glade_riders_0
athel_loren	wh_dlc05_wef_cav_glade_riders_1
athel_loren	wh_dlc05_wef_cav_hawk_riders_0
athel_loren	wh_dlc05_wef_cav_sisters_thorn_0
athel_loren	wh_dlc05_wef_cav_wild_riders_0
athel_loren	wh_dlc05_wef_cav_wild_riders_1
athel_loren	wh_dlc05_wef_cha_ancient_treeman_0
athel_loren	wh_dlc05_wef_cha_branchwraith_0
athel_loren	wh_dlc05_wef_cha_durthu_0
athel_loren	wh_dlc05_wef_cha_female_glade_lord_0
athel_loren	wh_dlc05_wef_cha_female_glade_lord_1
athel_loren	wh_dlc05_wef_cha_female_glade_lord_2
athel_loren	wh_dlc05_wef_cha_female_glade_lord_3
athel_loren	wh_dlc05_wef_cha_glade_lord_0
athel_loren	wh_dlc05_wef_cha_glade_lord_1
athel_loren	wh_dlc05_wef_cha_glade_lord_2
athel_loren	wh_dlc05_wef_cha_glade_lord_3
athel_loren	wh_dlc05_wef_cha_orion_0
athel_loren	wh_dlc05_wef_cha_spellsinger_beasts_0
athel_loren	wh_dlc05_wef_cha_spellsinger_beasts_1
athel_loren	wh_dlc05_wef_cha_spellsinger_beasts_2
athel_loren	wh_dlc05_wef_cha_spellsinger_beasts_3
athel_loren	wh_dlc05_wef_cha_spellsinger_life_0
athel_loren	wh_dlc05_wef_cha_spellsinger_life_1
athel_loren	wh_dlc05_wef_cha_spellsinger_life_2
athel_loren	wh_dlc05_wef_cha_spellsinger_life_3
athel_loren	wh_dlc05_wef_cha_spellsinger_shadows_0
athel_loren	wh_dlc05_wef_cha_spellsinger_shadows_1
athel_loren	wh_dlc05_wef_cha_spellsinger_shadows_2
athel_loren	wh_dlc05_wef_cha_spellsinger_shadows_3
athel_loren	wh_dlc05_wef_cha_waystalker_0
athel_loren	wh_dlc05_wef_forest_dragon_0
athel_loren	wh_dlc05_wef_inf_deepwood_scouts_0
athel_loren	wh_dlc05_wef_inf_deepwood_scouts_1
athel_loren	wh_dlc05_wef_inf_dryads_0
athel_loren	wh_dlc05_wef_inf_eternal_guard_0
athel_loren	wh_dlc05_wef_inf_eternal_guard_1
athel_loren	wh_dlc05_wef_inf_glade_guard_0
athel_loren	wh_dlc05_wef_inf_glade_guard_1
athel_loren	wh_dlc05_wef_inf_glade_guard_2
athel_loren	wh_dlc05_wef_inf_wardancers_0
athel_loren	wh_dlc05_wef_inf_wardancers_1
athel_loren	wh_dlc05_wef_inf_waywatchers_0
athel_loren	wh_dlc05_wef_inf_wildwood_rangers_0
athel_loren	wh_dlc05_wef_mon_great_eagle_0
athel_loren	wh_dlc05_wef_mon_treekin_0
athel_loren	wh_dlc05_wef_mon_treeman_0
chaos_territory	wh_dlc01_chs_cav_gorebeast_chariot
chaos_territory	wh_dlc01_chs_cha_chaos_lord_10
chaos_territory	wh_dlc01_chs_cha_chaos_lord_2
chaos_territory	wh_dlc01_chs_cha_chaos_sorcerer_lord_death_0
chaos_territory	wh_dlc01_chs_cha_chaos_sorcerer_lord_death_10
chaos_territory	wh_dlc01_chs_cha_chaos_sorcerer_lord_death_12
chaos_territory	wh_dlc01_chs_cha_chaos_sorcerer_lord_death_13
chaos_territory	wh_dlc01_chs_cha_chaos_sorcerer_lord_death_9
chaos_territory	wh_dlc01_chs_cha_chaos_sorcerer_lord_fire_0
chaos_territory	wh_dlc01_chs_cha_chaos_sorcerer_lord_fire_10
chaos_territory	wh_dlc01_chs_cha_chaos_sorcerer_lord_fire_12
chaos_territory	wh_dlc01_chs_cha_chaos_sorcerer_lord_fire_13
chaos_territory	wh_dlc01_chs_cha_chaos_sorcerer_lord_fire_9
chaos_territory	wh_dlc01_chs_cha_chaos_sorcerer_lord_metal_0
chaos_territory	wh_dlc01_chs_cha_chaos_sorcerer_lord_metal_10
chaos_territory	wh_dlc01_chs_cha_chaos_sorcerer_lord_metal_12
chaos_territory	wh_dlc01_chs_cha_chaos_sorcerer_lord_metal_13
chaos_territory	wh_dlc01_chs_cha_chaos_sorcerer_lord_metal_9
chaos_territory	wh_dlc01_chs_cha_chaos_sorcerer_lord_shadows_0
chaos_territory	wh_dlc01_chs_cha_chaos_sorcerer_lord_shadows_1
chaos_territory	wh_dlc01_chs_cha_chaos_sorcerer_lord_shadows_2
chaos_territory	wh_dlc01_chs_cha_chaos_sorcerer_lord_shadows_3
chaos_territory	wh_dlc01_chs_cha_chaos_sorcerer_lord_shadows_4
