campaign_rogue_army_spawn_groups_tables
0
unknown0	unknown1
main_warhammer	wh2_main_grand_rogue_spawn_badlands_east
main_warhammer	wh2_main_grand_rogue_spawn_badlands_north
main_warhammer	wh2_main_grand_rogue_spawn_badlands_west
main_warhammer	wh2_main_grand_rogue_spawn_istmus
main_warhammer	wh2_main_grand_rogue_spawn_lustria_east
main_warhammer	wh2_main_grand_rogue_spawn_lustria_north
main_warhammer	wh2_main_grand_rogue_spawn_lustria_west
main_warhammer	wh2_main_grand_rogue_spawn_naggaroth_central
main_warhammer	wh2_main_grand_rogue_spawn_naggaroth_north
main_warhammer	wh2_main_grand_rogue_spawn_naggaroth_south
main_warhammer	wh2_main_grand_rogue_spawn_norsca
main_warhammer	wh2_main_grand_rogue_spawn_oldworld_central
main_warhammer	wh2_main_grand_rogue_spawn_oldworld_east
main_warhammer	wh2_main_grand_rogue_spawn_oldworld_south
main_warhammer	wh2_main_grand_rogue_spawn_oldworld_west
main_warhammer	wh2_main_grand_rogue_spawn_southlands_central
main_warhammer	wh2_main_grand_rogue_spawn_southlands_east
main_warhammer	wh2_main_grand_rogue_spawn_southlands_west
main_warhammer	wh2_main_grand_rogue_spawn_ulthuan_central
main_warhammer	wh2_main_grand_rogue_spawn_ulthuan_east
main_warhammer	wh2_main_grand_rogue_spawn_ulthuan_west
wh2_main_great_vortex	wh2_main_vor_rogue_spawn_istmus
wh2_main_great_vortex	wh2_main_vor_rogue_spawn_lustria_east
wh2_main_great_vortex	wh2_main_vor_rogue_spawn_lustria_south
wh2_main_great_vortex	wh2_main_vor_rogue_spawn_lustria_west
wh2_main_great_vortex	wh2_main_vor_rogue_spawn_naggaroth_north
wh2_main_great_vortex	wh2_main_vor_rogue_spawn_naggaroth_south
wh2_main_great_vortex	wh2_main_vor_rogue_spawn_naggaroth_west
wh2_main_great_vortex	wh2_main_vor_rogue_spawn_southlands_east
wh2_main_great_vortex	wh2_main_vor_rogue_spawn_southlands_south
wh2_main_great_vortex	wh2_main_vor_rogue_spawn_southlands_west
wh2_main_great_vortex	wh2_main_vor_rogue_spawn_ulthuan_central
wh2_main_great_vortex	wh2_main_vor_rogue_spawn_ulthuan_east
wh2_main_great_vortex	wh2_main_vor_rogue_spawn_ulthuan_west
