campaign_settlement_display_buildings_tables
6
display_building_key	unknown1	unknown2	unknown3	unknown4	unknown5	unknown6	unknown7	unknown8	unknown9	unknown10
wh2_main_building_skv_settlement_hellpit_5	1003916721	0	prefabs\campaign\skv_hellpit_05.bmd	prefabs\campaign\skv_hellpit_05.bmd	prefabs\campaign\construction_minor_large.bmd	prefabs\campaign\damage_effect.bmd	prefabs\campaign\destroyed_effect.bmd	prefabs\campaign\construction_minor.bmd	prefabs\campaign\skv_hellpit_05.bmd	prefabs\campaign\skv_hellpit_05.bmd
wh_main_building_emp_settlement_major_1	125	0	prefabs/campaign/empire_town_1.bmd	prefabs\campaign\empire_port_major_1.bmd	prefabs\campaign\construction_minor_large.bmd	prefabs\campaign\damage_effect.bmd	prefabs\campaign\destroyed_effect.bmd	prefabs\campaign\construction_minor.bmd	prefabs\campaign\empire_port_major_1.bmd	prefabs/campaign/empire_town_1.bmd
wh_main_building_emp_settlement_major_2	133	0	prefabs/campaign/empire_town_2.bmd	prefabs\campaign\empire_port_major_2.bmd	prefabs\campaign\construction_minor_large.bmd	prefabs\campaign\damage_effect.bmd	prefabs\campaign\destroyed_effect.bmd	prefabs\campaign\construction_minor.bmd	prefabs\campaign\empire_port_major_2.bmd	prefabs/campaign/empire_town_2.bmd
wh_main_building_emp_settlement_major_3	134	0	prefabs/campaign/empire_town_3.bmd	prefabs\campaign\empire_port_major_3.bmd	prefabs\campaign\construction_minor_large.bmd	prefabs\campaign\damage_effect.bmd	prefabs\campaign\destroyed_effect.bmd	prefabs\campaign\construction_minor.bmd	prefabs\campaign\empire_port_major_3.bmd	prefabs/campaign/empire_town_3.bmd
wh_main_building_emp_settlement_major_4	139	0	prefabs/campaign/empire_town_4.bmd	prefabs\campaign\empire_port_major_4.bmd	prefabs\campaign\construction_minor_large.bmd	prefabs\campaign\damage_effect.bmd	prefabs\campaign\destroyed_effect.bmd	prefabs\campaign\construction_minor.bmd	prefabs\campaign\empire_port_major_4.bmd	prefabs/campaign/empire_town_4.bmd
wh_main_building_dwf_settlement_major_2	14	0	prefabs/campaign/dwarf_major_2.bmd	prefabs\campaign\dwarf_port_major_2.bmd	prefabs\campaign\construction_minor.bmd	prefabs\campaign\damage_effect.bmd	prefabs\campaign\destroyed_effect.bmd	prefabs\campaign\construction_minor.bmd	prefabs\campaign\dwarf_port_major_2.bmd	prefabs/campaign/dwarf_major_2.bmd
wh_main_building_emp_settlement_major_5	147	0	prefabs/campaign/empire_town_5.bmd	prefabs\campaign\empire_port_major_5.bmd	prefabs\campaign\construction_minor_large.bmd	prefabs\campaign\damage_effect.bmd	prefabs\campaign\destroyed_effect.bmd	prefabs\campaign\construction_minor.bmd	prefabs\campaign\empire_port_major_5.bmd	prefabs/campaign/empire_town_5.bmd
wh_main_building_emp_settlement_minor_1	148	0	prefabs/campaign/empire_minor_1.bmd	prefabs\campaign\empire_port_1.bmd	prefabs\campaign\construction_minor.bmd	prefabs\campaign\damage_effect.bmd	prefabs\campaign\destroyed_effect.bmd	prefabs\campaign\construction_minor.bmd	prefabs/campaign/empire_port_4.bmd	prefabs/campaign/empire_minor_4.bmd
wh_main_building_emp_settlement_minor_2	157	0	prefabs/campaign/empire_minor_2.bmd	prefabs\campaign\empire_port_2.bmd	prefabs\campaign\construction_minor.bmd	prefabs\campaign\damage_effect.bmd	prefabs\campaign\destroyed_effect.bmd	prefabs\campaign\construction_minor.bmd	prefabs/campaign/empire_port_4.bmd	prefabs/campaign/empire_minor_4.bmd
wh_main_building_emp_settlement_minor_3	159	0	prefabs/campaign/empire_minor_3.bmd	prefabs\campaign\empire_port_3.bmd	prefabs\campaign\construction_minor.bmd	prefabs\campaign\damage_effect.bmd	prefabs\campaign\destroyed_effect.bmd	prefabs\campaign\construction_minor.bmd	prefabs/campaign/empire_port_4.bmd	prefabs/campaign/empire_minor_4.bmd
wh_main_building_dwf_settlement_major_3	16	0	prefabs/campaign/dwarf_major_3.bmd	prefabs\campaign\dwarf_port_major_3.bmd	prefabs\campaign\construction_minor.bmd	prefabs\campaign\damage_effect.bmd	prefabs\campaign\destroyed_effect.bmd	prefabs\campaign\construction_minor.bmd	prefabs\campaign\dwarf_port_major_3.bmd	prefabs/campaign/dwarf_major_3.bmd
wh2_main_building_skv_settlement_hellpit_3	1646897285	0	prefabs\campaign\skv_hellpit_03.bmd	prefabs\campaign\skv_hellpit_03.bmd	prefabs\campaign\construction_minor_large.bmd	prefabs\campaign\damage_effect.bmd	prefabs\campaign\destroyed_effect.bmd	prefabs\campaign\construction_minor.bmd	prefabs\campaign\skv_hellpit_03.bmd	prefabs\campaign\skv_hellpit_03.bmd
wh2_main_building_skv_settlement_hellpit_2	1694392366	0	prefabs\campaign\skv_hellpit_02.bmd	prefabs\campaign\skv_hellpit_02.bmd	prefabs\campaign\construction_minor_large.bmd	prefabs\campaign\damage_effect.bmd	prefabs\campaign\destroyed_effect.bmd	prefabs\campaign\construction_minor.bmd	prefabs\campaign\skv_hellpit_02.bmd	prefabs\campaign\skv_hellpit_02.bmd
wh2_main_building_skv_settlement_hellpit_1	1802301011	0	prefabs\campaign\skv_hellpit_01.bmd	prefabs\campaign\skv_hellpit_01.bmd	prefabs\campaign\construction_minor_large.bmd	prefabs\campaign\damage_effect.bmd	prefabs\campaign\destroyed_effect.bmd	prefabs\campaign\construction_minor.bmd	prefabs\campaign\skv_hellpit_01.bmd	prefabs\campaign\skv_hellpit_01.bmd
wh_main_building_nor_settlement_minor_1	185	0	prefabs/campaign/norsca_minor_1.bmd	prefabs\campaign\norsca_minor_port_1.bmd	prefabs\campaign\construction_minor.bmd	prefabs\campaign\damage_effect.bmd	prefabs\campaign\destroyed_effect.bmd	prefabs\campaign\construction_minor.bmd	prefabs\campaign\norsca_minor_port_1.bmd	prefabs/campaign/norsca_minor_1.bmd
wh_main_building_nor_settlement_minor_2	192	0	prefabs/campaign/norsca_minor_2.bmd	prefabs\campaign\norsca_minor_port_2.bmd	prefabs\campaign\construction_minor.bmd	prefabs\campaign\damage_effect.bmd	prefabs\campaign\destroyed_effect.bmd	prefabs\campaign\construction_minor.bmd	prefabs\campaign\norsca_minor_port_2.bmd	prefabs/campaign/norsca_minor_2.bmd
wh_main_building_nor_settlement_minor_3	193	0	prefabs/campaign/norsca_minor_3.bmd	prefabs\campaign\norsca_minor_port_3.bmd	prefabs\campaign\construction_minor.bmd	prefabs\campaign\damage_effect.bmd	prefabs\campaign\destroyed_effect.bmd	prefabs\campaign\construction_minor.bmd	prefabs\campaign\norsca_minor_port_3.bmd	prefabs/campaign/norsca_minor_3.bmd
wh2_main_building_skv_settlement_hellpit_4	1949310211	0	prefabs\campaign\skv_hellpit_04.bmd	prefabs\campaign\skv_hellpit_04.bmd	prefabs\campaign\construction_minor_large.bmd	prefabs\campaign\damage_effect.bmd	prefabs\campaign\destroyed_effect.bmd	prefabs\campaign\construction_minor.bmd	prefabs\campaign\skv_hellpit_04.bmd	prefabs\campaign\skv_hellpit_04.bmd
wh2_main_horde_rogue_settlement_2	1994798577	0	prefabs\campaign\rogue_major_encampment.bmd							
wh_main_building_dwf_settlement_major_4	23	0	prefabs/campaign/dwarf_major_4.bmd	prefabs\campaign\dwarf_port_major_4.bmd	prefabs\campaign\construction_minor.bmd	prefabs\campaign\damage_effect.bmd	prefabs\campaign\destroyed_effect.bmd	prefabs\campaign\construction_minor.bmd	prefabs\campaign\dwarf_port_major_4.bmd	prefabs/campaign/dwarf_major_4.bmd
wh_main_building_dwf_settlement_major_5	25	0	prefabs/campaign/dwarf_major_5.bmd	prefabs\campaign\dwarf_port_major_5.bmd	prefabs\campaign\construction_minor.bmd	prefabs\campaign\damage_effect.bmd	prefabs\campaign\destroyed_effect.bmd	prefabs\campaign\construction_minor.bmd	prefabs\campaign\dwarf_port_major_5.bmd	prefabs/campaign/dwarf_major_5.bmd
wh_main_building_grn_settlement_major_1	271	0	prefabs/campaign/greenskins_major_settlement_1.bmd	prefabs\campaign\greenskins_port_major_1.bmd	prefabs\campaign\construction_minor.bmd	prefabs\campaign\damage_effect.bmd	prefabs\campaign\destroyed_effect.bmd	prefabs\campaign\construction_minor.bmd	prefabs\campaign\greenskins_port_major_1.bmd	prefabs/campaign/greenskins_major_settlement_1.bmd
wh_main_building_grn_settlement_major_2	277	0	prefabs/campaign/greenskins_major_settlement_2.bmd	prefabs\campaign\greenskins_port_major_2.bmd	prefabs\campaign\construction_minor.bmd	prefabs\campaign\damage_effect.bmd	prefabs\campaign\destroyed_effect.bmd	prefabs\campaign\construction_minor.bmd	prefabs\campaign\greenskins_port_major_2.bmd	prefabs/campaign/greenskins_major_settlement_2.bmd
wh_main_building_grn_settlement_major_3	285	0	prefabs/campaign/greenskins_major_settlement_3.bmd	prefabs\campaign\greenskins_port_major_3.bmd	prefabs\campaign\construction_minor.bmd	prefabs\campaign\damage_effect.bmd	prefabs\campaign\destroyed_effect.bmd	prefabs\campaign\construction_minor.bmd	prefabs\campaign\greenskins_port_major_3.bmd	prefabs/campaign/greenskins_major_settlement_3.bmd
wh_main_building_grn_settlement_major_4	290	0	prefabs/campaign/greenskins_major_settlement_4.bmd	prefabs\campaign\greenskins_port_major_4.bmd	prefabs\campaign\construction_minor.bmd	prefabs\campaign\damage_effect.bmd	prefabs\campaign\destroyed_effect.bmd	prefabs\campaign\construction_minor.bmd	prefabs\campaign\greenskins_port_major_4.bmd	prefabs/campaign/greenskins_major_settlement_4.bmd
wh_main_building_grn_settlement_major_5	296	0	prefabs/campaign/greenskins_major_settlement_5.bmd	prefabs\campaign\greenskins_port_major_5.bmd	prefabs\campaign\construction_minor.bmd	prefabs\campaign\damage_effect.bmd	prefabs\campaign\destroyed_effect.bmd	prefabs\campaign\construction_minor.bmd	prefabs\campaign\greenskins_port_major_5.bmd	prefabs/campaign/greenskins_major_settlement_5.bmd
wh_main_building_grn_settlement_minor_1	300	0	prefabs/campaign/greenskins_minor_settlement_1.bmd	prefabs\campaign\greenskins_port_minor_1.bmd	prefabs\campaign\construction_minor.bmd	prefabs\campaign\damage_effect.bmd	prefabs\campaign\destroyed_effect.bmd	prefabs\campaign\construction_minor.bmd	prefabs\campaign\greenskins_port_minor_1.bmd	prefabs/campaign/greenskins_minor_settlement_1.bmd
wh_main_building_grn_settlement_minor_2	309	0	prefabs/campaign/greenskins_minor_settlement_2.bmd	prefabs\campaign\greenskins_port_minor_2.bmd	prefabs\campaign\construction_minor.bmd	prefabs\campaign\damage_effect.bmd	prefabs\campaign\destroyed_effect.bmd	prefabs\campaign\construction_minor.bmd	prefabs\campaign\greenskins_port_minor_2.bmd	prefabs/campaign/greenskins_minor_settlement_2.bmd
wh_main_building_grn_settlement_minor_3	315	0	prefabs/campaign/greenskins_minor_settlement_3.bmd	prefabs\campaign\greenskins_port_minor_3.bmd	prefabs\campaign\construction_minor.bmd	prefabs\campaign\damage_effect.bmd	prefabs\campaign\destroyed_effect.bmd	prefabs\campaign\construction_minor.bmd	prefabs\campaign\greenskins_port_minor_3.bmd	prefabs/campaign/greenskins_minor_settlement_3.bmd
