campaign_settlement_display_settlement_rotations_tables
1
unknown0	unknown1
settlement:wh2_main_aghol_wastelands_fortress_of_the_damned	0
settlement:wh2_main_aghol_wastelands_palace_of_princes	100
settlement:wh2_main_aghol_wastelands_the_palace_of_ruin	113
settlement:wh2_main_ash_river_numas	116
settlement:wh2_main_ash_river_quatar	117
settlement:wh2_main_ash_river_springs_of_eternal_life	31
settlement:wh2_main_atalan_mountains_eye_of_the_panther	177
settlement:wh2_main_atalan_mountains_martek	105
settlement:wh2_main_atalan_mountains_vulture_mountain	180
settlement:wh2_main_avelorn_evershale	0
settlement:wh2_main_avelorn_gaean_vale	68
settlement:wh2_main_avelorn_tor_saroir	17
settlement:wh2_main_blackspine_mountains_plain_of_dogs	49
settlement:wh2_main_blackspine_mountains_plain_of_spiders	136
settlement:wh2_main_blackspine_mountains_red_desert	21
settlement:wh2_main_caledor_tor_sethai	140
settlement:wh2_main_caledor_vauls_anvil	128
settlement:wh2_main_charnel_valley_granite_massif	190
settlement:wh2_main_charnel_valley_karag_orrud	60
settlement:wh2_main_chrace_elisia	0
settlement:wh2_main_chrace_tor_achare	109
settlement:wh2_main_coast_of_araby_al_haikk	0
settlement:wh2_main_coast_of_araby_copher	350
settlement:wh2_main_coast_of_araby_fyrus	93
settlement:wh2_main_cothique_mistnar	0
settlement:wh2_main_cothique_tor_koruali	0
settlement:wh2_main_crater_of_the_walking_dead_doom_glade	8
settlement:wh2_main_crater_of_the_walking_dead_rasetra	80
settlement:wh2_main_deadwood_dargoth	63
settlement:wh2_main_deadwood_nagrar	0
settlement:wh2_main_deadwood_shagrath	0
settlement:wh2_main_deadwood_the_frozen_city	158
settlement:wh2_main_devils_backbone_lahmia	133
settlement:wh2_main_devils_backbone_lybaras	78
settlement:wh2_main_devils_backbone_mahrak	100
settlement:wh2_main_doom_glades_hag_hall	55
settlement:wh2_main_doom_glades_ice_rock_gorge	125
settlement:wh2_main_doom_glades_temple_of_addaioth	111
settlement:wh2_main_doom_glades_vauls_anvil	170
settlement:wh2_main_eagle_gate	272
settlement:wh2_main_eataine_angerrial	0
settlement:wh2_main_eataine_lothern	0
settlement:wh2_main_eataine_shrine_of_asuryan	25
settlement:wh2_main_eataine_tower_of_lysean	117
settlement:wh2_main_ellyrion_tor_elyr	140
settlement:wh2_main_ellyrion_whitefire_tor	0
settlement:wh2_main_great_desert_of_araby_bel_aliad	139
settlement:wh2_main_great_desert_of_araby_black_tower_of_arkhan	28
settlement:wh2_main_great_desert_of_araby_el-kalabad	178
settlement:wh2_main_great_desert_of_araby_pools_of_despair	4
settlement:wh2_main_griffon_gate	296
settlement:wh2_main_headhunters_jungle_mangrove_coast	0
settlement:wh2_main_headhunters_jungle_marks_of_the_old_ones	105
settlement:wh2_main_headhunters_jungle_oyxl	4
settlement:wh2_main_hell_pit_hell_pit	0
settlement:wh2_main_huahuan_desert_chamber_of_visions	25
settlement:wh2_main_huahuan_desert_sentinels_of_xeti	34
settlement:wh2_main_huahuan_desert_the_golden_colossus	176
settlement:wh2_main_iron_mountains_altar_of_ultimate_darkness	167
settlement:wh2_main_iron_mountains_har_kaldra	133
settlement:wh2_main_iron_mountains_naggarond	0
settlement:wh2_main_iron_mountains_rackdo_gorge	15
settlement:wh2_main_ironfrost_glacier_dagraks_end	1
settlement:wh2_main_ironfrost_glacier_ironfrost	23
settlement:wh2_main_isthmus_of_lustria_fallen_gates	139
settlement:wh2_main_isthmus_of_lustria_hexoatl	104
settlement:wh2_main_isthmus_of_lustria_skeggi	4
settlement:wh2_main_isthmus_of_lustria_ziggurat_of_dawn	0
settlement:wh2_main_jungles_of_green_mists_spektazuma	178
settlement:wh2_main_jungles_of_green_mists_wellsprings_of_eternity	64
settlement:wh2_main_kingdom_of_beasts_serpent_coast	76
settlement:wh2_main_kingdom_of_beasts_temple_of_skulls	49
settlement:wh2_main_kingdom_of_beasts_the_cursed_jungle	70
settlement:wh2_main_land_of_assassins_lashiek	70
settlement:wh2_main_land_of_assassins_palace_of_the_wizard_caliph	42
settlement:wh2_main_land_of_assassins_sorcerers_islands	0
settlement:wh2_main_land_of_the_dead_khemri	106
settlement:wh2_main_land_of_the_dead_pyramid_of_nagash	62
settlement:wh2_main_land_of_the_dead_zandri	0
settlement:wh2_main_nagarythe_shrine_of_khaine	1
settlement:wh2_main_nagarythe_tor_anlec	0
settlement:wh2_main_nagarythe_tor_dranil	22
settlement:wh2_main_northern_great_jungle_chaqua	37
settlement:wh2_main_northern_great_jungle_temple_of_tlencan	0
settlement:wh2_main_northern_great_jungle_xahutec	165
settlement:wh2_main_northern_great_jungle_xlanhuapec	159
settlement:wh2_main_northern_jungle_of_pahualaxa_macu_peaks	76
settlement:wh2_main_northern_jungle_of_pahualaxa_port_reaver	0
settlement:wh2_main_northern_jungle_of_pahualaxa_shrine_of_sotek	78
settlement:wh2_main_northern_jungle_of_pahualaxa_swamp_town	0
settlement:wh2_main_obsidian_peaks_circle_of_destruction	295
settlement:wh2_main_obsidian_peaks_clar_karond	108
settlement:wh2_main_obsidian_peaks_storag_kor	98
settlement:wh2_main_obsidian_peaks_venom_glade	147
settlement:wh2_main_phoenix_gate	353
settlement:wh2_main_saphery_port_elistor	0
settlement:wh2_main_saphery_tor_finu	127
settlement:wh2_main_saphery_tower_of_hoeth	175
settlement:wh2_main_shifting_sands_antoch	93
settlement:wh2_main_shifting_sands_bhagar	120
settlement:wh2_main_shifting_sands_ka-sabar	156
settlement:wh2_main_skavenblight_skavenblight	327
settlement:wh2_main_southern_great_jungle_axlotl	84
settlement:wh2_main_southern_great_jungle_itza	144
settlement:wh2_main_southern_great_jungle_subatuun	138
settlement:wh2_main_southern_jungle_of_pahualaxa_floating_pyramid	179
settlement:wh2_main_southern_jungle_of_pahualaxa_monument_of_the_moon	0
settlement:wh2_main_southern_jungle_of_pahualaxa_pahuax	163
settlement:wh2_main_southern_jungle_of_pahualaxa_the_high_sentinel	315
settlement:wh2_main_southlands_jungle_golden_tower_of_the_gods	76
settlement:wh2_main_southlands_jungle_teotiqua	97
settlement:wh2_main_southlands_worlds_edge_mountains_karak_zorn	145
settlement:wh2_main_southlands_worlds_edge_mountains_lost_plateau	290
settlement:wh2_main_southlands_worlds_edge_mountains_mount_arachnos	110
settlement:wh2_main_spine_of_sotek_hualotal	80
settlement:wh2_main_spine_of_sotek_mine_of_the_bearded_skulls	144
settlement:wh2_main_spine_of_sotek_monument_of_izzatal	14
settlement:wh2_main_testbed_01	0
settlement:wh2_main_testbed_02	0
settlement:wh2_main_testbed_03	0
settlement:wh2_main_testbed_04	0
settlement:wh2_main_testbed_05	0
settlement:wh2_main_testbed_06	0
settlement:wh2_main_testbed_07	0
settlement:wh2_main_testbed_08	0
settlement:wh2_main_testbed_09	0
settlement:wh2_main_testbed_10	0
settlement:wh2_main_testbed_11	0
settlement:wh2_main_testbed_12	0
settlement:wh2_main_testbed_13	0
settlement:wh2_main_testbed_14	0
settlement:wh2_main_testbed_15	0
settlement:wh2_main_testbed_16	0
settlement:wh2_main_the_black_coast_arnheim	0
settlement:wh2_main_the_black_coast_bleak_hold_fortress	142
settlement:wh2_main_the_black_flood_cragroth_deep	45
settlement:wh2_main_the_black_flood_hag_graef	0
settlement:wh2_main_the_black_flood_shroktak_mount	15
settlement:wh2_main_the_black_flood_temple_of_khaine	146
settlement:wh2_main_the_broken_land_blacklight_tower	0
settlement:wh2_main_the_broken_land_karond_kar	0
settlement:wh2_main_the_broken_land_slavers_point	0
settlement:wh2_main_the_chill_road_ashrak	27
settlement:wh2_main_the_chill_road_ghrond	28
settlement:wh2_main_the_chill_road_the_great_arena	140
settlement:wh2_main_the_clawed_coast_hoteks_column	29
settlement:wh2_main_the_clawed_coast_the_monoliths	171
settlement:wh2_main_the_clawed_coast_the_twisted_glade	300
settlement:wh2_main_the_creeping_jungle_temple_of_kara	315
settlement:wh2_main_the_creeping_jungle_tlanxla	142
settlement:wh2_main_the_creeping_jungle_tlaxtlan	170
settlement:wh2_main_the_road_of_skulls_har_ganeth	103
settlement:wh2_main_the_road_of_skulls_kauark	43
settlement:wh2_main_the_road_of_skulls_spite_reach	155
settlement:wh2_main_the_road_of_skulls_the_black_pillar	52
settlement:wh2_main_tiranoc_tor_anroc	0
settlement:wh2_main_tiranoc_whitepeak	168
settlement:wh2_main_titan_peaks_ancient_city_of_quintex	178
settlement:wh2_main_titan_peaks_ironspike	41
settlement:wh2_main_titan_peaks_ssildra_tor	58
settlement:wh2_main_titan_peaks_the_moon_shard	310
settlement:wh2_main_unicorn_gate	159
settlement:wh2_main_vampire_coast_pox_marsh	0
settlement:wh2_main_vampire_coast_the_awakening	315
settlement:wh2_main_vampire_coast_the_blood_swamps	0
settlement:wh2_main_volcanic_islands_fuming_serpent	0
settlement:wh2_main_volcanic_islands_the_star_tower	0
settlement:wh2_main_vor_aghol_wastelands_fortress_of_the_damned	0
settlement:wh2_main_vor_aghol_wastelands_palace_of_princes	0
settlement:wh2_main_vor_aghol_wastelands_the_palace_of_ruin	0
settlement:wh2_main_vor_albion_albion	0
settlement:wh2_main_vor_albion_pack_ice_bay	0
settlement:wh2_main_vor_albion_troll_fjord	0
settlement:wh2_main_vor_ash_river_numas	91
settlement:wh2_main_vor_ash_river_quatar	116
settlement:wh2_main_vor_ash_river_the_salt_plain	61
settlement:wh2_main_vor_ashen_coast_scarpels_lair	62
settlement:wh2_main_vor_ashen_coast_sulpharets	0
settlement:wh2_main_vor_ashens_coast_tyrant_peak	47
settlement:wh2_main_vor_avelorn_evershale	0
settlement:wh2_main_vor_avelorn_gaean_vale	137
settlement:wh2_main_vor_avelorn_tor_saroir	1
settlement:wh2_main_vor_caledor_caledors_repose	14
settlement:wh2_main_vor_caledor_tor_sethai	84
settlement:wh2_main_vor_caledor_vauls_anvil	33
settlement:wh2_main_vor_central_spine_of_sotek_caverns_of_the_great_bat	10
settlement:wh2_main_vor_central_spine_of_sotek_chiquibol	162
settlement:wh2_main_vor_chrace_elisia	50
settlement:wh2_main_vor_chrace_tor_achare	21
settlement:wh2_main_vor_chrace_tor_gard	166
settlement:wh2_main_vor_coast_of_araby_al_haikk	345
settlement:wh2_main_vor_coast_of_araby_copher	0
settlement:wh2_main_vor_coast_of_araby_fyrus	167
settlement:wh2_main_vor_coast_of_araby_martek	52
settlement:wh2_main_vor_coast_of_squalls_macu_peaks	96
settlement:wh2_main_vor_coast_of_squalls_monument_of_the_sun	0
settlement:wh2_main_vor_coast_of_squalls_shrine_of_sotek	76
settlement:wh2_main_vor_cobra_pass_eye_of_the_panther	76
settlement:wh2_main_vor_cobra_pass_vulture_mountain	200
settlement:wh2_main_vor_copper_desert_the_dust_gate	52
settlement:wh2_main_vor_copper_desert_the_forgotten_isles	335
settlement:wh2_main_vor_copper_desert_the_golden_colossus	148
settlement:wh2_main_vor_cothique_mistnar	0
settlement:wh2_main_vor_cothique_tor_koruali	0
settlement:wh2_main_vor_culchan_plains_chupayotl	50
settlement:wh2_main_vor_culchan_plains_kaiax	0
settlement:wh2_main_vor_culchan_plains_the_southern_sentinels	161
settlement:wh2_main_vor_culchan_plains_xlansec	135
settlement:wh2_main_vor_deadwood_dargoth	111
settlement:wh2_main_vor_deadwood_nagrar	0
settlement:wh2_main_vor_deadwood_shagrath	0
settlement:wh2_main_vor_deadwood_the_frozen_city	31
settlement:wh2_main_vor_eagle_gate	272
settlement:wh2_main_vor_eataine_angerrial	0
settlement:wh2_main_vor_eataine_shrine_of_asuryan	133
settlement:wh2_main_vor_ellyrion_reavers_mark	27
settlement:wh2_main_vor_ellyrion_the_arc_span	99
settlement:wh2_main_vor_ellyrion_tor_elyr	0
settlement:wh2_main_vor_forest_of_the_viper_chotecs_causeway	144
settlement:wh2_main_vor_forest_of_the_viper_fallen_gates	31
settlement:wh2_main_vor_forest_of_the_viper_mirror_pool_of_tepok	125
settlement:wh2_main_vor_grey_guardians_grey_rock_point	0
settlement:wh2_main_vor_grey_guardians_ssildra_tor	113
settlement:wh2_main_vor_grey_guardians_titan_peak	10
