cdir_events_incident_followup_missions_tables
0
unknown0	unknown1
wh_dlc04_vmp_vlad_von_carstein_the_carstein_ring_stage_2_3	wh_dlc04_vmp_vlad_von_carstein_the_carstein_ring_stage_3
wh_dlc06_dwf_belegar_ironhammer_shield_of_defiance_stage_1.2	wh_dlc06_dwf_belegar_ironhammer_shield_of_defiance_stage_2a
wh_dlc06_grn_wurrzag_da_great_green_prophet_baleful_mask_stage_4	wh_dlc06_grn_wurrzag_da_great_green_prophet_baleful_mask_stage_4a
wh_dlc07_qb_brt_alberic_trident_of_bordeleaux_stage_1	wh_dlc07_qb_brt_alberic_trident_of_bordeleaux_stage_2
wh_dlc07_qb_brt_fay_enchantress_chalice_of_potions_stage_4	wh_dlc07_qb_brt_fay_enchantress_chalice_of_potions_stage_5
wh_dlc07_qb_brt_louen_sword_of_couronne_stage_0	wh_dlc07_qb_brt_louen_sword_of_couronne_stage_1
wh_main_dwf_thorgrim_grudgebearer_axe_of_grimnir_stage_1	wh_main_dwf_thorgrim_grudgebearer_axe_of_grimnir_stage_2
wh_main_dwf_thorgrim_grudgebearer_dragon_crown_of_karaz_stage_2.3	wh_main_dwf_thorgrim_grudgebearer_dragon_crown_of_karaz_stage_3a
wh_main_emp_balthasar_gelt_amulet_of_sea_gold_stage_1.1	wh_main_emp_balthasar_gelt_amulet_of_sea_gold_stage_2
wh_main_emp_balthasar_gelt_cloak_of_molten_metal_stage_5	wh_main_emp_balthasar_gelt_cloak_of_molten_metal_stage_5a
wh_main_emp_karl_franz_ghal_maraz_stage_2	wh_main_emp_karl_franz_ghal_maraz_stage_3
wh_main_emp_karl_franz_silver_seal_stage_2	wh_main_qb_emp_karl_franz_silver_seal_stage_3.2_shrine_of_ill_omen
wh_main_vmp_mannfred_von_carstein_sword_of_unholy_power_stage_2	wh_main_vmp_mannfred_von_carstein_sword_of_unholy_power_stage_3
wh_pro01_dwf_grombrindal_amour_of_glimril_scales_stage_3_1	wh_pro01_dwf_grombrindal_amour_of_glimril_scales_stage_3a
wh_pro01_dwf_grombrindal_amour_of_glimril_scales_stage_3_2	wh_pro01_dwf_grombrindal_amour_of_glimril_scales_stage_3a_b
