cdir_events_mission_followup_missions_tables
0
unknown0	unknown1	unknown2
wh2_main_def_malekith_circlet_of_iron_stage_1	SUCCESS	wh2_main_def_malekith_circlet_of_iron_stage_2
wh2_main_def_malekith_circlet_of_iron_stage_2	SUCCESS	wh2_main_def_malekith_circlet_of_iron_stage_3
wh2_main_def_malekith_destroyer_stage_1	SUCCESS	wh2_main_def_malekith_destroyer_stage_2
wh2_main_def_malekith_destroyer_stage_2	SUCCESS	wh2_main_def_malekith_destroyer_stage_3
wh2_main_def_malekith_supreme_spellshield_stage_1	SUCCESS	wh2_main_def_malekith_supreme_spellshield_stage_2
wh2_main_def_malekith_supreme_spellshield_stage_2	SUCCESS	wh2_main_def_malekith_supreme_spellshield_stage_3
wh2_main_def_morathi_heartrender_and_the_darksword_stage_1	SUCCESS	wh2_main_def_morathi_heartrender_and_the_darksword_stage_2
wh2_main_def_morathi_heartrender_and_the_darksword_stage_2	SUCCESS	wh2_main_def_morathi_heartrender_and_the_darksword_stage_3
wh2_main_def_morathi_heartrender_and_the_darksword_stage_3	SUCCESS	wh2_main_def_morathi_heartrender_and_the_darksword_stage_4
wh2_main_def_morathi_heartrender_and_the_darksword_stage_4	SUCCESS	wh2_main_def_morathi_heartrender_and_the_darksword_stage_5
wh2_main_def_morathi_heartrender_and_the_darksword_stage_5	SUCCESS	wh2_main_def_morathi_heartrender_and_the_darksword_stage_6
wh2_main_great_vortex_def_malekith_circlet_of_iron_stage_1	SUCCESS	wh2_main_great_vortex_def_malekith_circlet_of_iron_stage_2
wh2_main_great_vortex_def_malekith_circlet_of_iron_stage_2	SUCCESS	wh2_main_great_vortex_def_malekith_circlet_of_iron_stage_3
wh2_main_great_vortex_def_malekith_destroyer_stage_1	SUCCESS	wh2_main_great_vortex_def_malekith_destroyer_stage_2
wh2_main_great_vortex_def_malekith_destroyer_stage_2	SUCCESS	wh2_main_great_vortex_def_malekith_destroyer_stage_3
wh2_main_great_vortex_def_malekith_supreme_spellshield_stage_1	SUCCESS	wh2_main_great_vortex_def_malekith_supreme_spellshield_stage_2
