cdir_events_mission_option_junctions_tables
2
id	unknown2	mission_key	option_key	value
1000178146	0	wh2_main_vortex_narrative_hef_ulthuan_is_yours	CND_RITUAL_CHAIN_STAGE_COMPLETED	wh2_main_ritual_vortex_hef0
1000208901	0	wh2_main_mis_hef_capture_regions_grn	GEN_CND_SUBCULTURE	wh_main_sc_grn_greenskins
1000218296	0	wh2_main_mis_hef_recruit_unit_land_artillery	VAR_MISSION_LENGTH_MAX	10
1000245060	0	wh2_main_mis_skv_raid_region_skv	CND_FIRST_ROUND	4
1000317015	0	wh2_main_mis_skv_assassinate_character_agent_grn	CND_FIRST_ROUND	4
1000371884	0	wh2_main_mis_hef_engage_force_army_brt	VAR_MISSION_LENGTH_MAX	8
1000383854	0	wh_main_mis_grn_assassinate_character_agent_generic_female	GEN_CND_NOT_AGENT_SUBTYPE	dlc07_brt_green_knight
1000506702	0	wh2_main_mis_skv_assassinate_character_agent_vmp	VAR_MISSION_LENGTH_MOD_EASY	2.0
1000592790	0	wh2_main_mis_skv_engage_force_army_invading_bst	CND_MISSION_TYPE_ROUNDS_UNTIL_NEXT	4
10006	0	wh_main_mis_chs_eliminate_character_in_battle_high_rank_grn	CND_CAMPAIGN	main_warhammer
100070070	0	wh2_main_mis_skv_recruit_agent_spy	CND_CAMPAIGN	main_warhammer
1001163204	0	wh2_main_mis_hef_declare_war_emp	CND_FACTION	wh2_main_hef_order_of_loremasters
10012	0	wh_main_mis_chs_eliminate_character_in_battle_high_rank_grn	VAR_CHANCE	25
10013	0	wh_main_mis_chs_eliminate_character_in_battle_high_rank_grn	CND_FIRST_ROUND	4
1001371893	0	wh2_main_mis_def_capture_regions_brt	VAR_MISSION_LENGTH_ADDITIONAL_MAX	2
1001686108	0	wh2_main_mis_skv_capture_regions_brt	GEN_TARGET_REGION	
1001721930	0	wh2_main_mis_def_raid_region_dwf	VAR_MISSION_LENGTH_ADDITIONAL_MAX	2
1001815050	0	wh2_main_mis_def_engage_force_army_invading_vmp	GEN_CND_VISIBLE	
1002074725	0	wh2_main_mis_lzd_eliminate_character_in_battle_faction_leader_def	VAR_MISSION_LENGTH_MAX	8
1002158511	0	wh2_main_mis_hef_assassinate_character_agent_bst	GEN_CND_NOT_AGENT_SUBTYPE	dlc06_dwf_thane_ghost_1
1002174245	0	wh2_main_spawning_make_trade_agreement	GEN_CND_NOT_SUBCULTURE	wh_main_sc_grn_savage_orcs
10023	0	wh_main_mis_chs_eliminate_character_in_battle_high_rank_grn	VAR_MISSION_LENGTH_MIN	4
1002522798	0	wh2_main_mis_skv_engage_force_army_invading_grn	CND_FACTION	wh2_main_skv_clan_mors
1002703591	0	wh2_main_mis_hef_engage_force_army_invading_vmp	VAR_OBJECTIVE_REQUIRES_VICTORY	
1002918216	0	wh2_main_mis_lzd_declare_war_chs	VAR_MISSION_LENGTH_MIN	4
1003140302	0	wh2_main_mis_hef_engage_force_army_bst	VAR_MISSION_LENGTH_MOD_EASY	2.0
1003177084	0	wh2_main_mis_def_declare_war_grn	CND_FACTION	wh2_main_def_cult_of_pleasure
10032	0	wh_main_mis_chs_eliminate_character_in_battle_high_rank_grn	VAR_MISSION_LENGTH_MAX	8
1003449599	0	wh2_main_mis_hef_assassinate_character_agent_wef	GEN_CND_NOT_AGENT_SUBTYPE	dlc07_brt_green_knight
1003456230	0	wh2_main_mis_def_raze_sack_settlement_hef	CND_FIRST_ROUND	4
1003536483	0	wh2_main_mis_lzd_assassinate_character_agent_wef	VAR_MISSION_LENGTH_MOD_EASY	2.0
1003785926	0	wh2_main_mis_def_assassinate_character_agent_brt	CND_FACTION	wh2_main_def_naggarond
100382261	0	wh2_main_mis_hef_recruit_unit_land_infantry_melee	CND_CAMPAIGN	main_warhammer
1004053470	0	wh2_main_mis_skv_eliminate_character_in_battle_high_rank_grn	VAR_MISSION_LENGTH_MOD_EASY	2.0
10042	0	wh_main_mis_chs_eliminate_character_in_battle_high_rank_grn	VAR_MISSION_LENGTH_ADDITIONAL_MIN	0
10043	0	wh_main_mis_chs_eliminate_character_in_battle_high_rank_grn	VAR_MISSION_LENGTH_ADDITIONAL_MAX	2
1004476091	0	wh2_main_mis_skv_raid_region_lzd	VAR_MISSION_LENGTH_ADDITIONAL_MAX	2
1004620237	0	wh2_main_mis_def_assassinate_character_agent_hef	CND_CAMPAIGN	main_warhammer
1004796161	0	wh2_main_mis_lzd_engage_force_army_vmp	CND_FACTION	wh2_main_lzd_hexoatl
1005070992	0	wh2_main_mis_def_raze_sack_settlement_hef	VAR_MISSION_LENGTH_MOD_NORMAL	1.5
10053	0	wh_main_mis_chs_eliminate_character_in_battle_high_rank_grn	VAR_MISSION_LENGTH_MOD_EASY	2.0
1005464346	0	wh2_main_mis_lzd_engage_force_army_bst	GEN_TARGET_MILITARY_FORCE	
10056	0	wh_main_mis_chs_eliminate_character_in_battle_high_rank_grn	VAR_MISSION_LENGTH_MOD_NORMAL	1.5
1005632669	0	wh2_main_mis_lzd_recruit_agent_wizard	VAR_OBJECTIVE_AGENT	wizard
1005638739	0	wh2_main_mis_hef_recruit_agent_champion	VAR_OBJECTIVE_AGENT	champion
1005678047	0	wh2_main_mis_hef_raze_sack_settlement_emp	CND_FACTION	wh2_main_hef_order_of_loremasters
10057	0	wh_main_mis_chs_eliminate_character_in_battle_high_rank_grn	VAR_MISSION_LENGTH_MOD_HARD	1.2
1005754886	0	wh2_main_mis_def_assassinate_character_agent_grn	GEN_CND_NOT_AGENT_SUBTYPE	dlc06_dwf_thane_ghost_1
1005788331	0	wh2_main_mis_hef_engage_force_army_invading_brt	VAR_MISSION_LENGTH_MAX	8
1005906	0	wh2_main_mis_lzd_eliminate_character_in_battle_high_rank_bst	GEN_CND_SUBCULTURE	wh_dlc03_sc_bst_beastmen
1005995986	0	wh2_main_vortex_narrative_skv_admired_or_despised	CND_FACTION	wh2_main_skv_clan_mors
100610361	0	wh2_main_mis_hef_engage_force_army_hef	CND_FACTION	wh2_main_hef_order_of_loremasters
100619138	0	wh2_main_mis_def_engage_force_army_brt	GEN_CND_SUBCULTURE	wh_main_sc_brt_bretonnia
1006389601	0	wh2_main_spawning_issue_province_initiative	GEN_TARGET_NONE	
1006452622	0	wh2_main_mis_skv_make_alliance_0	CND_CAMPAIGN	main_warhammer
10066	0	wh_main_mis_chs_eliminate_character_in_battle_high_rank_grn	VAR_MISSION_LENGTH_MOD_VERY_HARD	1.0
1006695404	0	wh2_main_vortex_narrative_skv_mors_superior	VAR_CHANCE	30
1006701208	0	wh2_main_mis_skv_declare_war_grn	GEN_CND_FACTION_NEIGHBOURS	
1007260601	0	wh2_main_vortex_narrative_skv_headtaken	CND_CAMPAIGN	wh2_main_great_vortex
10073	0	wh_main_mis_chs_eliminate_character_in_battle_high_rank_grn	GEN_TARGET_CHARACTER	
1007448094	0	wh2_main_mis_def_eliminate_character_in_battle_faction_leader_def	VAR_MISSION_LENGTH_MOD_HARD	1.2
1007455211	0	wh2_main_vortex_narrative_def_do_what_we_do_best	GEN_CND_WAR	
1007475357	0	wh2_main_mis_lzd_engage_force_army_invading_hef	VAR_MISSION_LENGTH_MOD_NORMAL	1.5
