cdir_events_payloads_tables
0
effect_bundle_key	payload_key
	ADD_ANCILLARY
	ADD_MERCENARY_TO_FACTION_POOL
	ADOPTION
	ASSIGN_CHARACTER_POST
	BECOME_RETAINER
	BUILDING_LEVEL_EVENT_RESTRICTION
	BUILDING_LEVEL_RESTRICTION
	CHANGE_AMBITION
	CHANGE_GRAVITAS
	CHANGE_POLITICAL_POWER
	CHARACTER_EXPERIENCE
	CLAN_FAME
	DAMAGE_BUILDING
	DAMAGE_CHARACTER
	DEFECTION
	DEMOLISH_BUILDING_CHAIN
	DIPLOMATIC_STANDING
	DIVORCE
	EMBEZZLE
	FACTION_POOLED_RESOURCE_TRANSACTION
	FACTION_SLAVES_CHANGE
	FACTION_WIDE_LOYALTY_CHANGE
	FORM_CONFEDERATION
	GIVE_DEVELOPMENT_POINT
	GIVE_REGION
	GIVE_TRAIT
	HONOUR
	INFLUENCE
	KILL_CHARACTER
	LOYALTY
	MARRIAGE
	MOVIE_EVENT
	PROVINCE_SLAVES_CHANGE
	REBELLION
	REMOVE_ANCILLARY
	REMOVE_TRAIT
	RITUAL_CURRENCY_TRANSACTION
	SPAWN_AGENT
	SPAWN_BRIDE
	SPAWN_UNIT
	TARGET
	TEXT_DISPLAY
	TOWN_WEALTH
	TREASURY
	UNIT_EVENT_RESTRICTION
	UNLOCK_STATE_RELIGION_CHANGE
	WOUND_CHARACTER
wh2_main_bundle_character_weapon_strength_up	wh2_main_bundle_character_weapon_strength_up
wh2_main_dilemma_loyalty_def_sorceror_delinquent_payload	wh2_main_dilemma_loyalty_def_sorceror_delinquent_payload
wh2_main_dilemma_loyalty_positive_def_audience_4	wh2_main_dilemma_loyalty_positive_def_audience_4
wh2_main_dilemma_loyalty_positive_def_black_council_1	wh2_main_dilemma_loyalty_positive_def_black_council_1
wh2_main_dilemma_loyalty_positive_def_black_council_2	wh2_main_dilemma_loyalty_positive_def_black_council_2
wh2_main_dilemma_loyalty_positive_def_black_council_3	wh2_main_dilemma_loyalty_positive_def_black_council_3
wh2_main_dilemma_loyalty_positive_def_black_council_4	wh2_main_dilemma_loyalty_positive_def_black_council_4
wh2_main_dilemma_loyalty_positive_def_curse_of_kurnous_2	wh2_main_dilemma_loyalty_positive_def_curse_of_kurnous_2
wh2_main_dilemma_loyalty_positive_def_curse_of_kurnous_3	wh2_main_dilemma_loyalty_positive_def_curse_of_kurnous_3
wh2_main_dilemma_loyalty_positive_def_insurgents_2	wh2_main_dilemma_loyalty_positive_def_insurgents_2
wh2_main_dilemma_loyalty_positive_def_insurgents_3	wh2_main_dilemma_loyalty_positive_def_insurgents_3
wh2_main_dilemma_loyalty_positive_def_relic_2	wh2_main_dilemma_loyalty_positive_def_relic_2
wh2_main_dilemma_loyalty_positive_def_statue_1	wh2_main_dilemma_loyalty_positive_def_statue_1
wh2_main_dilemma_loyalty_positive_def_statue_3	wh2_main_dilemma_loyalty_positive_def_statue_3
wh2_main_dilemma_loyalty_positive_def_traitors_1	wh2_main_dilemma_loyalty_positive_def_traitors_1
wh2_main_dilemma_loyalty_positive_def_tribute_3	wh2_main_dilemma_loyalty_positive_def_tribute_3
wh2_main_dilemma_loyalty_positive_def_wrongly_accused_2	wh2_main_dilemma_loyalty_positive_def_wrongly_accused_2
wh2_main_dilemma_loyalty_positive_def_wrongly_accused_4	wh2_main_dilemma_loyalty_positive_def_wrongly_accused_4
wh2_main_dilemma_loyalty_positive_skv_dust_it_off_3	wh2_main_dilemma_loyalty_positive_skv_dust_it_off_3
wh2_main_dilemma_loyalty_positive_skv_keg_of_doom_3	wh2_main_dilemma_loyalty_positive_skv_keg_of_doom_3
wh2_main_dilemma_loyalty_positive_skv_loyal_mine_mine_2	wh2_main_dilemma_loyalty_positive_skv_loyal_mine_mine_2
wh2_main_dilemma_loyalty_positive_skv_loyal_musk_3	wh2_main_dilemma_loyalty_positive_skv_loyal_musk_3
wh2_main_dilemma_loyalty_positive_skv_noise_problem_2	wh2_main_dilemma_loyalty_positive_skv_noise_problem_2
