character_skill_level_to_effects_junctions_tables
1
character_skill_key	effect_key	effect_scope	level	value
wh2_dlc04_skill_vmp_lord_unique_helman_ghorst_battle_1	wh_main_effect_agent_action_success_chance_enemy_skill	character_to_character_own	1	-1
wh2_dlc04_skill_vmp_lord_unique_helman_ghorst_battle_1	wh_main_effect_agent_action_success_chance_skill	character_to_character_own	1	1
wh2_dlc04_skill_vmp_lord_unique_helman_ghorst_battle_1	wh_main_effect_agent_movement_range_mod	character_to_character_own	1	10
wh2_dlc04_skill_vmp_lord_unique_helman_ghorst_battle_1	wh_main_effect_character_stat_mod_battle_movement_speed	character_to_character_own	1	10
wh2_dlc04_skill_vmp_lord_unique_helman_ghorst_battle_2	wh_main_effect_agent_action_success_chance_enemy_skill	character_to_character_own	1	-1
wh2_dlc04_skill_vmp_lord_unique_helman_ghorst_battle_2	wh_main_effect_agent_action_success_chance_skill	character_to_character_own	1	1
wh2_dlc04_skill_vmp_lord_unique_helman_ghorst_battle_2	wh_main_effect_character_stat_mod_melee_attack	character_to_character_own	1	7
wh2_dlc04_skill_vmp_lord_unique_helman_ghorst_battle_2	wh_main_effect_character_stat_mod_melee_defence	character_to_character_own	1	7
wh2_dlc04_skill_vmp_lord_unique_helman_ghorst_battle_2	wh_main_effect_agent_action_success_chance_enemy_skill	character_to_character_own	2	-2
wh2_dlc04_skill_vmp_lord_unique_helman_ghorst_battle_2	wh_main_effect_agent_action_success_chance_skill	character_to_character_own	2	2
wh2_dlc04_skill_vmp_lord_unique_helman_ghorst_battle_2	wh_main_effect_character_stat_mod_melee_attack	character_to_character_own	2	15
wh2_dlc04_skill_vmp_lord_unique_helman_ghorst_battle_2	wh_main_effect_character_stat_mod_melee_defence	character_to_character_own	2	15
wh2_dlc04_skill_vmp_lord_unique_helman_ghorst_battle_3	wh_main_effect_agent_action_success_chance_enemy_skill	character_to_character_own	1	-1
wh2_dlc04_skill_vmp_lord_unique_helman_ghorst_battle_3	wh_main_effect_agent_action_success_chance_skill	character_to_character_own	1	1
wh2_dlc04_skill_vmp_lord_unique_helman_ghorst_battle_3	wh_main_effect_character_stat_mod_armour	character_to_character_own	1	12
wh2_dlc04_skill_vmp_lord_unique_helman_ghorst_battle_3	wh_main_effect_character_stat_mod_ward_save_missile	character_to_character_own	1	10
wh2_dlc04_skill_vmp_lord_unique_helman_ghorst_battle_3	wh_main_effect_agent_action_success_chance_enemy_skill	character_to_character_own	2	-2
wh2_dlc04_skill_vmp_lord_unique_helman_ghorst_battle_3	wh_main_effect_agent_action_success_chance_skill	character_to_character_own	2	2
wh2_dlc04_skill_vmp_lord_unique_helman_ghorst_battle_3	wh_main_effect_character_stat_mod_armour	character_to_character_own	2	25
wh2_dlc04_skill_vmp_lord_unique_helman_ghorst_battle_3	wh_main_effect_character_stat_mod_ward_save_missile	character_to_character_own	2	20
wh2_dlc04_skill_vmp_lord_unique_helman_ghorst_battle_4	wh_main_effect_agent_action_success_chance_enemy_skill	character_to_character_own	1	-1
wh2_dlc04_skill_vmp_lord_unique_helman_ghorst_battle_4	wh_main_effect_agent_action_success_chance_skill	character_to_character_own	1	1
wh2_dlc04_skill_vmp_lord_unique_helman_ghorst_battle_4	wh_main_effect_character_stat_mod_unit_health	character_to_character_own	1	12
wh2_dlc04_skill_vmp_lord_unique_helman_ghorst_battle_4	wh_main_effect_character_stat_mod_ward_save_physical	character_to_character_own	1	5
wh2_dlc04_skill_vmp_lord_unique_helman_ghorst_battle_4	wh_main_effect_agent_action_success_chance_enemy_skill	character_to_character_own	2	-2
wh2_dlc04_skill_vmp_lord_unique_helman_ghorst_battle_4	wh_main_effect_agent_action_success_chance_skill	character_to_character_own	2	2
wh2_dlc04_skill_vmp_lord_unique_helman_ghorst_battle_4	wh_main_effect_character_stat_mod_unit_health	character_to_character_own	2	25
wh2_dlc04_skill_vmp_lord_unique_helman_ghorst_battle_4	wh_main_effect_character_stat_mod_ward_save_physical	character_to_character_own	2	10
wh2_dlc04_skill_vmp_lord_unique_helman_ghorst_battle_5	wh2_main_effect_magic_vampires_miscast_reduction_vanhels_danse_macabre_upgraded	character_to_character_own	1	-50
wh2_dlc04_skill_vmp_lord_unique_helman_ghorst_battle_5	wh2_main_effect_magic_vampires_reduce_wom_cost_vanhels_danse_macabre	character_to_character_own	1	-2
wh2_dlc04_skill_vmp_lord_unique_helman_ghorst_battle_5	wh2_main_effect_magic_vampires_reduce_wom_cost_vanhels_danse_macabre_upgraded	character_to_character_own	1	-3
wh2_dlc04_skill_vmp_lord_unique_helman_ghorst_battle_5	wh_main_effect_agent_action_success_chance_enemy_skill	character_to_character_own	1	-1
wh2_dlc04_skill_vmp_lord_unique_helman_ghorst_battle_5	wh_main_effect_agent_action_success_chance_skill	character_to_character_own	1	1
wh2_dlc04_skill_vmp_lord_unique_helman_ghorst_battle_5	wh_main_effect_magic_vampires_cooldown_vanhels_danse_macabre	character_to_character_own	1	300
wh2_main_skill_LL_self_defense	wh_main_effect_agent_action_success_chance_enemy	character_to_character_own	1	-10
wh2_main_skill_LL_self_defense	wh_main_effect_agent_action_success_chance_enemy_skill	character_to_character_own	1	-1
wh2_main_skill_LL_self_defense	wh_main_effect_agent_action_success_chance_skill	character_to_character_own	1	1
wh2_main_skill_LL_self_defense	wh_main_effect_agent_defence_wound_chance_mod	character_to_character_own	1	25
wh2_main_skill_LL_self_defense	wh_main_effect_agent_movement_range_mod	character_to_character_own	1	5
wh2_main_skill_LL_self_defense	wh_main_effect_force_all_campaign_experience_base_all	character_to_character_own	1	1
wh2_main_skill_LL_self_defense	wh_main_effect_force_all_campaign_upkeep	general_to_force_own	1	-8
wh2_main_skill_all_dummy_agent_actions_brt_damsel	wh2_main_effect_agent_action_enable_wizard_assist_army_scouting	character_to_character_own	1	1
wh2_main_skill_all_dummy_agent_actions_brt_damsel	wh2_main_effect_agent_action_enable_wizard_hinder_agent_wound	character_to_character_own	1	1
wh2_main_skill_all_dummy_agent_actions_brt_damsel	wh2_main_effect_agent_action_enable_wizard_hinder_army_block_army	character_to_character_own	1	1
wh2_main_skill_all_dummy_agent_actions_brt_damsel	wh2_main_effect_agent_action_enable_wizard_hinder_settlement_scout_settlement	character_to_character_own	1	1
wh2_main_skill_all_dummy_agent_actions_brt_damsel	wh2_main_effect_agent_action_enable_wizard_hinder_settlement_steal_technology	character_to_character_own	1	1
wh2_main_skill_all_dummy_agent_actions_brt_damsel	wh2_main_effect_agent_action_enable_wizard_passive_spread_corruption	character_to_character_own	1	1
wh2_main_skill_all_dummy_agent_actions_brt_damsel	wh_main_effect_character_passive_religious_conversion	character_to_character_own	1	2
wh2_main_skill_all_dummy_agent_actions_brt_paladin	wh2_main_effect_agent_action_enable_champion_assist_army_training	character_to_character_own	1	1
wh2_main_skill_all_dummy_agent_actions_brt_paladin	wh2_main_effect_agent_action_enable_champion_hinder_agent_assassinate	character_to_character_own	1	1
wh2_main_skill_all_dummy_agent_actions_brt_paladin	wh2_main_effect_agent_action_enable_champion_hinder_army_assault_units	character_to_character_own	1	1
wh2_main_skill_all_dummy_agent_actions_brt_paladin	wh2_main_effect_agent_action_enable_champion_hinder_settlement_assault_garrison	character_to_character_own	1	1
wh2_main_skill_all_dummy_agent_actions_brt_paladin	wh2_main_effect_agent_action_enable_champion_hinder_settlement_scout_settlement	character_to_character_own	1	1
wh2_main_skill_all_dummy_agent_actions_brt_paladin	wh2_main_effect_agent_action_enable_champion_passive_spread_public_order	character_to_character_own	1	1
