character_skill_node_links_tables
3
child_key	initial_descent_tiers	parent_key	parent_link_position	child_link_position	unknown5	unknown6	unknown7
wh2_dlc04_skill_node_vmp_helman_ghorst_battle_2	0	wh2_dlc04_skill_node_vmp_helman_ghorst_battle_1	1	1	0	0	REQUIRED
wh2_dlc04_skill_node_vmp_helman_ghorst_battle_3	0	wh2_dlc04_skill_node_vmp_helman_ghorst_battle_1	1	1	0	0	REQUIRED
wh2_dlc04_skill_node_vmp_helman_ghorst_battle_4	0	wh2_dlc04_skill_node_vmp_helman_ghorst_battle_1	1	1	0	0	REQUIRED
wh2_dlc04_skill_node_vmp_helman_ghorst_battle_5	0	wh2_dlc04_skill_node_vmp_helman_ghorst_battle_2	1	1	0	0	SUBSET_REQUIRED
wh2_dlc04_skill_node_vmp_helman_ghorst_battle_5	0	wh2_dlc04_skill_node_vmp_helman_ghorst_battle_3	1	1	0	0	SUBSET_REQUIRED
wh2_dlc04_skill_node_vmp_helman_ghorst_battle_5	0	wh2_dlc04_skill_node_vmp_helman_ghorst_battle_4	1	1	0	0	SUBSET_REQUIRED
wh2_main_skill_node_chs_exalted_hero_self_02	0	wh2_main_skill_node_chs_exalted_hero_self_01	1	1	0	0	REQUIRED
wh2_main_skill_node_chs_exalted_hero_self_03	0	wh2_main_skill_node_chs_exalted_hero_self_01	1	1	0	0	REQUIRED
wh2_main_skill_node_chs_exalted_hero_self_04	0	wh2_main_skill_node_chs_exalted_hero_self_01	1	1	0	0	REQUIRED
wh2_main_skill_node_chs_exalted_hero_self_05	0	wh2_main_skill_node_chs_exalted_hero_self_01	1	1	0	0	REQUIRED
wh2_main_skill_node_chs_exalted_hero_self_06	0	wh2_main_skill_node_chs_exalted_hero_self_02	1	1	0	0	SUBSET_REQUIRED
wh2_main_skill_node_chs_exalted_hero_self_06	0	wh2_main_skill_node_chs_exalted_hero_self_03	1	1	0	0	SUBSET_REQUIRED
wh2_main_skill_node_chs_exalted_hero_self_06	0	wh2_main_skill_node_chs_exalted_hero_self_04	1	1	0	0	SUBSET_REQUIRED
wh2_main_skill_node_chs_exalted_hero_self_06	0	wh2_main_skill_node_chs_exalted_hero_self_05	1	1	0	0	SUBSET_REQUIRED
wh2_main_skill_node_chs_exalted_hero_self_07	0	wh2_main_skill_node_chs_exalted_hero_self_06	1	1	0	0	REQUIRED
wh2_main_skill_node_chs_exalted_hero_self_08	0	wh2_main_skill_node_chs_exalted_hero_self_06	1	1	0	0	REQUIRED
wh2_main_skill_node_chs_exalted_hero_self_09	0	wh2_main_skill_node_chs_exalted_hero_self_06	1	1	0	0	REQUIRED
